date,CCI4500,CCI5000,CCI5500,CCI3800out,CCI4700out,CCI5500out
2026-07-11,643.0,773.0,870.0,592.2447404880932,730.4652678128367,933.190354777956
2026-07-12,643.0,774.0,871.0,592.960612670979,731.0898922488012,934.5353301875476
2026-07-13,643.0,773.0,870.0,592.8862384752896,730.9423085351325,934.4944211586997
2026-07-14,643.0,772.0,867.0,592.4544279203927,730.2708219523439,934.6494431098732
2026-07-15,642.0,770.0,865.0,591.6607722182986,729.3730275548754,933.87222819531
2026-07-16,641.0,768.0,862.0,590.9175979486175,728.1843937580866,932.7119406328668
2026-07-17,643.0,771.0,865.0,592.3139893330042,730.1140190070391,936.053922176212
2026-07-18,648.0,779.0,873.0,596.2917518676369,734.6979087491968,942.8269681646126
2026-07-19,650.0,782.0,877.0,598.087748607412,736.6923893454672,945.6921118113552
2026-07-20,650.0,784.0,878.0,598.8953903973653,737.5627917600457,947.5751116472272
2026-07-21,650.0,782.0,875.0,598.0071632726589,737.0308614956739,948.1834184094344
2026-07-22,650.0,780.0,872.0,597.7645148760768,736.5109680088806,948.8502583878724
2026-07-23,649.0,778.0,869.0,596.5989098313482,735.1111488726958,948.665411679976
2026-07-24,648.0,776.0,866.0,595.5979903868204,733.8311636012371,947.920761132218
2026-07-25,649.0,778.0,868.0,597.0029088960652,735.6079363946299,950.9274632004386
2026-07-26,650.0,778.0,869.0,597.7118619965618,736.083210048372,951.4759387804642
2026-07-27,650.0,778.0,870.0,598.0038008807014,736.3056925529738,952.1085019278996
2026-07-28,650.0,778.0,869.0,597.5725068489792,736.0331982774204,951.696615653804
2026-07-29,652.0,781.0,873.0,599.3431908165733,738.27886103389,954.5706999767638
2026-07-30,653.0,781.0,874.0,600.0758378174322,738.8685119960172,955.3095335073168
2026-07-31,651.0,779.0,870.0,598.8965496057956,737.2558882359776,954.1610849018208
2026-08-01,651.0,778.0,870.0,598.3707231771829,736.837657854134,953.7384519106806
2026-08-02,650.0,776.0,866.0,597.3945536669772,735.5057763942824,951.7349501913384
2026-08-03,649.0,774.0,864.0,596.2920179855992,734.0013265757576,950.393668104566
2026-08-04,648.0,773.0,863.0,595.9979995232936,733.4966427589803,950.5209634913764
2026-08-05,649.0,774.0,864.0,596.1505141581366,733.9090267900478,950.972067304843
2026-08-06,650.0,776.0,866.0,597.3193887317042,735.1015256969706,952.8756253768884
2026-08-07,651.0,777.0,867.0,597.8576638601357,735.678749156068,953.8070911477108
2026-08-08,651.0,776.0,865.0,598.0538548951237,735.5461762474255,954.094406478328
2026-08-09,651.0,776.0,865.0,598.0257072670443,735.4777319994411,953.5679343594452
2026-08-10,650.0,773.0,861.0,597.5516647417495,734.6066308226967,952.6907330477244
2026-08-11,650.0,773.0,860.0,597.714688350535,734.843022879694,952.4225049872445
2026-08-12,652.0,776.0,864.0,599.5665120737193,736.9786031276261,954.768614022444
2026-08-13,653.0,778.0,866.0,600.7058975933651,738.3919338728776,956.1993615979784
2026-08-14,654.0,780.0,867.0,601.3076068528803,739.3561867802936,957.9586156737718
2026-08-15,656.0,783.0,870.0,602.5101918117867,741.1786607104402,961.328721843403
2026-08-16,656.0,782.0,869.0,602.1351898540383,741.1081260183998,962.0242072786904
2026-08-17,654.0,778.0,863.0,600.2130905875665,739.0664852037773,959.7054757098804
2026-08-18,654.0,777.0,862.0,600.3851801816041,739.0815363416768,960.4888868048532
2026-08-19,656.0,780.0,865.0,602.0529312249885,741.0042174606497,962.5595111858512
2026-08-20,659.0,785.0,870.0,604.9524577070879,744.2889910399051,967.1572194613416
2026-08-21,661.0,787.0,873.0,606.8250351039633,746.0445003000547,968.4277717660289
2026-08-22,662.0,790.0,876.0,608.1582935559344,747.4934723878307,970.7010852627044
2026-08-23,663.0,791.0,878.0,608.9484142352942,748.1621415712425,972.56300851567
2026-08-24,664.0,792.0,880.0,609.5479187614735,749.1380818306592,974.2465949098328
2026-08-25,663.0,790.0,876.0,608.1586923789037,747.6415152782748,972.7368133434256
2026-08-26,663.0,790.0,876.0,608.1654213279879,747.9760997926065,973.2320138069844
2026-08-27,662.0,787.0,873.0,607.2791212388286,746.9075863400834,972.2977238772784
2026-08-28,663.0,790.0,877.0,608.6696037942716,748.9084802363944,975.4333362226804
2026-08-29,663.0,790.0,877.0,608.9138202332157,748.7532765972326,973.9328984809054
2026-08-30,663.0,790.0,878.0,609.4189111038722,749.0715226275734,974.364811048644
2026-08-31,663.0,789.0,877.0,609.2559661235905,748.509465175486,974.1082207653428
