日期,数据类目,当期值(美元/吨),环比变化,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06-03,印尼塔巴尼奥-中国南通,13.99,-0.10,102,2024-06-03 00:00:00,1,0,2024-07-03 00:58:29,0,2024-07-03 00:58:29,,,
2024-06-03,澳大利亚纽卡斯尔-中国舟山,16.56,0.10,103,2024-06-03 00:00:00,1,0,2024-07-03 00:58:29,0,2024-07-03 00:58:29,,,
2024-06-03,印尼塔巴尼奥-中国广州,11.79,-0.10,104,2024-06-03 00:00:00,1,0,2024-07-03 00:58:29,0,2024-07-03 00:58:29,,,
2024-06-03,澳大利亚海波因特-中国舟山,15.46,-0.10,105,2024-06-03 00:00:00,1,0,2024-07-03 00:58:29,0,2024-07-03 00:58:29,,,
2024-05-31,澳大利亚海波因特-中国舟山,15.57,-0.10,106,2024-05-31 00:00:00,1,0,2024-07-03 00:58:29,0,2024-07-03 00:58:29,,,
2024-05-31,澳大利亚纽卡斯尔-中国舟山,16.42,0.30,107,2024-05-31 00:00:00,1,0,2024-07-03 00:58:29,0,2024-07-03 00:58:29,,,
2024-05-31,印尼塔巴尼奥-中国广州,11.87,-0.10,108,2024-05-31 00:00:00,1,0,2024-07-03 00:58:29,0,2024-07-03 00:58:29,,,
2024-05-31,印尼萨马林达-中国广州,9.05,-0.10,109,2024-05-31 00:00:00,1,0,2024-07-03 00:58:29,0,2024-07-03 00:58:29,,,
2024-05-31,印尼塔巴尼奥-中国南通,14.08,-0.10,110,2024-05-31 00:00:00,1,0,2024-07-03 00:58:29,0,2024-07-03 00:58:29,,,
2024-05-30,印尼萨马林达-中国广州,9.19,-0.10,111,2024-05-30 00:00:00,1,0,2024-07-03 00:58:29,0,2024-07-03 00:58:29,,,
2024-05-30,印尼塔巴尼奥-中国广州,11.97,0.00,112,2024-05-30 00:00:00,1,0,2024-07-03 00:58:29,0,2024-07-03 00:58:29,,,
2024-05-30,印尼塔巴尼奥-中国南通,14.14,-0.10,113,2024-05-30 00:00:00,1,0,2024-07-03 00:58:29,0,2024-07-03 00:58:29,,,
2024-05-30,澳大利亚纽卡斯尔-中国舟山,16.10,0.30,114,2024-05-30 00:00:00,1,0,2024-07-03 00:58:29,0,2024-07-03 00:58:29,,,
2024-05-30,澳大利亚海波因特-中国舟山,15.69,-0.10,115,2024-05-30 00:00:00,1,0,2024-07-03 00:58:29,0,2024-07-03 00:58:29,,,
