时间,地区,当月值(万千瓦时),同比增长(%),累计值(万千瓦时),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-03,内蒙古区,196626.00,4.20,499470.00,12.60,92,2024-03-31 00:00:00,1,0,2024-07-02 18:58:35,0,2024-07-02 18:58:35,,,
2024-03,山西省,167146.00,1.50,424032.00,5.30,93,2024-03-31 00:00:00,1,0,2024-07-02 18:58:35,0,2024-07-02 18:58:35,,,
2024-03,河北省,227378.00,-5.60,570921.00,0.20,94,2024-03-31 00:00:00,1,0,2024-07-02 18:58:35,0,2024-07-02 18:58:35,,,
2024-03,天津市,35946.00,161.90,80586.00,144.70,95,2024-03-31 00:00:00,1,0,2024-07-02 18:58:35,0,2024-07-02 18:58:35,,,
2024-03,北京市,1699.00,2.40,3925.00,-2.60,96,2024-03-31 00:00:00,1,0,2024-07-02 18:58:35,0,2024-07-02 18:58:35,,,
2024-02,全国,,,4903000.00,15.40,97,2024-02-29 00:00:00,1,0,2024-07-02 18:58:35,0,2024-07-02 18:58:35,,,
2024-02,新疆区,,,375251.00,57.10,98,2024-02-29 00:00:00,1,0,2024-07-02 18:58:35,0,2024-07-02 18:58:35,,,
2024-02,宁夏区,,,351548.00,25.20,99,2024-02-29 00:00:00,1,0,2024-07-02 18:58:35,0,2024-07-02 18:58:35,,,
2024-02,青海省,,,406094.00,17.40,100,2024-02-29 00:00:00,1,0,2024-07-02 18:58:35,0,2024-07-02 18:58:35,,,
2024-02,甘肃省,,,307237.00,20.10,101,2024-02-29 00:00:00,1,0,2024-07-02 18:58:35,0,2024-07-02 18:58:35,,,
2024-02,陕西省,,,157829.00,-4.10,102,2024-02-29 00:00:00,1,0,2024-07-02 18:58:35,0,2024-07-02 18:58:35,,,
2024-02,西藏区,,,10237.00,-8.00,103,2024-02-29 00:00:00,1,0,2024-07-02 18:58:35,0,2024-07-02 18:58:35,,,
2024-02,云南省,,,276625.00,184.80,104,2024-02-29 00:00:00,1,0,2024-07-02 18:58:35,0,2024-07-02 18:58:35,,,
2024-02,贵州省,,,170536.00,20.20,105,2024-02-29 00:00:00,1,0,2024-07-02 18:58:35,0,2024-07-02 18:58:35,,,
2024-02,四川省,,,109443.00,87.80,106,2024-02-29 00:00:00,1,0,2024-07-02 18:58:35,0,2024-07-02 18:58:35,,,
2024-02,重庆市,,,5207.00,35.50,107,2024-02-29 00:00:00,1,0,2024-07-02 18:58:35,0,2024-07-02 18:58:35,,,
2024-02,海南省,,,45065.00,48.30,108,2024-02-29 00:00:00,1,0,2024-07-02 18:58:35,0,2024-07-02 18:58:35,,,
2024-02,广西区,,,79017.00,48.00,109,2024-02-29 00:00:00,1,0,2024-07-02 18:58:35,0,2024-07-02 18:58:35,,,
2024-02,广东省,,,153368.00,27.70,110,2024-02-29 00:00:00,1,0,2024-07-02 18:58:35,0,2024-07-02 18:58:35,,,
2024-02,湖南省,,,43319.00,0.50,111,2024-02-29 00:00:00,1,0,2024-07-02 18:58:35,0,2024-07-02 18:58:35,,,
2024-02,湖北省,,,181417.00,32.90,112,2024-02-29 00:00:00,1,0,2024-07-02 18:58:35,0,2024-07-02 18:58:35,,,
2024-02,河南省,,,78443.00,-34.50,113,2024-02-29 00:00:00,1,0,2024-07-02 18:58:35,0,2024-07-02 18:58:35,,,
2024-02,山东省,,,198618.00,-0.40,114,2024-02-29 00:00:00,1,0,2024-07-02 18:58:35,0,2024-07-02 18:58:35,,,
2024-02,江西省,,,94333.00,7.70,115,2024-02-29 00:00:00,1,0,2024-07-02 18:58:35,0,2024-07-02 18:58:35,,,
