infer_date,data_type,market,horizon,actual_slope,old_slope,new_slope,old_correlation,new_correlation
2026-07-20,CCI4500infer,domestic,5,0.0,-8.0,-2.0,,
2026-07-20,CCI4700outinfer,import,5,-0.3779999999999973,-7.8202436717823165,-1.9280282011287568,0.4501548438178726,0.3281162630406658
2026-07-20,CCI5000infer,domestic,5,0.4,-10.0,-3.5,-0.8549911050430191,-0.8474083373484799
2026-07-20,CCI5500infer,domestic,5,0.6,-11.0,-2.7,-0.8564653724066937,-0.8963279287562924
2026-07-20,CCI5500outinfer,import,5,1.15,-11.965206365491156,-0.04260302520531241,-0.9487746231838202,-0.5654704133508499
2026-07-21,CCI3800outinfer,import,5,-0.6900000000000205,-8.7578309305698,-0.4353098096059057,0.7898267645884327,0.31519772942183955
2026-07-21,CCI4500infer,domestic,5,0.0,-8.0,0.0,,
2026-07-21,CCI4700outinfer,import,5,-0.6899999999999977,-7.699443273665065,-0.48663258507359614,0.7510277532503692,0.3467015525659016
2026-07-21,CCI5000infer,domestic,5,0.0,-9.5,-1.7,,
2026-07-21,CCI5500infer,domestic,5,0.0,-10.5,-1.0,,
2026-07-21,CCI5500outinfer,import,5,0.0,-10.879768159218111,3.334131801560443,-0.3001425896532061,-0.10983149567944059
2026-07-22,CCI3800outinfer,import,5,-0.7090000000000259,-0.19920000000005303,0.7473022757595913,0.8736537161514243,-0.3900665667319668
2026-07-22,CCI4500infer,domestic,5,0.0,-1.9,1.5,,
2026-07-22,CCI4700outinfer,import,5,-0.7720000000000027,-0.24960000000007768,0.6339265660739898,0.8948044196840954,-0.43586521588659516
2026-07-22,CCI5000infer,domestic,5,0.0,-2.5,-0.5,,
2026-07-22,CCI5500infer,domestic,5,0.0,-2.7,0.5,,
2026-07-22,CCI5500outinfer,import,5,-0.3839999999999918,-5.335819979322866,5.280115515802185,0.7144723283150971,-0.8677488737565648
2025-10-21,CCI3800outinfer,import,20,2.3394060150375924,-0.7760832424812032,-0.27272223211883523,-0.7578008060948974,-0.46387084677446416
2025-10-21,CCI4500infer,domestic,20,3.642105263157895,-1.7941947706766916,-1.1593984962406014,-0.6205732728886122,-0.7521215299595444
2025-10-21,CCI4700outinfer,import,20,3.8317593984962413,-1.7565807481203024,-0.2912635249209785,-0.9342259481619933,-0.539069200400769
2025-10-21,CCI5000infer,domestic,20,4.07218045112782,-1.8001474661654107,-1.4037593984962407,-0.920349742129274,-0.7267609247259941
2025-10-21,CCI5500infer,domestic,20,4.3007518796992485,-1.1422843928571413,-1.3864661654135337,-0.866826538656573,-0.8094697101528949
