date,永安_厂级_上网电量,永安_厂级_供热厂用电量,永安_厂级_供热用厂用电率,永安_厂级_利用小时,永安_厂级_发电厂用电率,永安_厂级_发电标煤量,永安_厂级_发电用厂用电量,永安_厂级_开机率,永安_厂级_日电网调度发电量,永安_厂级_综合供电煤耗,永安_厂级_综合厂用电率,永安_厂级_综合厂用电量,永安_厂级_耗煤量,永安_厂级_负荷率,永安_永安#8_上网电量,永安_永安#8_利用小时,永安_永安#8_发电厂用电率,永安_永安#8_发电标煤量,永安_永安#8_发电用厂用电量,永安_永安#8_开机率,永安_永安#8_综合供电煤耗,永安_永安#8_综合厂用电率,永安_永安#8_综合厂用电量,永安_永安#8_负荷率,永安_永安#8_运行小时,永安_永安#8_发电量
20220325.0,474.65,12.24,7.397768,8.741833,5.42411,1474.45276,28.45,50.0,528.0,310.64,9.506015,49.86,3979.0,72.848611,474.65,17.483667,5.423824,1474.45276,28.4485,100.0,310.64,9.506015,49.86,72.848611,24.0,524.51
20220514.0,559.79,9.76,9.134839,10.479,9.156408,1898.015698,57.57,95.833333,803.6,339.058522,10.966377,68.95,4118.0,45.56087,382.4405,14.006667,6.664493,1241.822548,28.0042,100.0,324.71,8.986078,37.7595,58.361111,24.0,420.2
20220515.0,476.8,8.85,8.793493,8.717833,6.373908,1503.668392,33.34,50.0,504.0,315.366693,8.847764,46.28,3365.0,72.648611,476.795,17.435667,6.373449,1503.668392,33.3376,100.0,315.37,8.846808,46.275,72.648611,24.0,523.07
20220516.0,501.0,9.05,8.335958,9.207833,5.922494,1568.665445,32.72,50.0,504.0,313.106875,9.318153,51.48,3360.0,76.731944,500.995,18.415667,5.922349,1568.665445,32.7192,100.0,313.11,9.317248,51.475,76.731944,24.0,552.47
20220517.0,506.72,9.03,8.102433,9.237167,5.889252,1583.737733,32.64,50.0,504.0,312.546916,8.572253,47.51,3312.0,76.976389,506.715,18.474333,5.889919,1583.737733,32.6437,100.0,312.55,8.573156,47.515,76.976389,24.0,554.23
20220518.0,702.19,8.76,7.981777,12.822333,7.364754,2375.498922,56.66,78.645833,630.7,338.298598,8.728261,67.15,4506.0,67.932892,507.026,18.188333,5.461816,1593.633421,29.8024,100.0,314.31,7.07853,38.624,75.784722,24.0,545.65
20220519.0,817.74,9.12,8.771905,14.778833,6.48901,2582.567691,57.54,100.0,898.3,315.817704,7.780271,68.99,5137.0,61.578472,446.5984,16.018333,6.357653,1409.017952,30.5517,100.0,315.5,7.065155,33.9516,66.743056,24.0,480.55
20220520.0,847.5,9.79,8.651352,15.3,6.384532,2667.514489,58.61,100.0,955.8,314.750972,7.680828,70.51,5061.0,63.75,463.7257,16.642,6.415675,1458.602817,32.0309,100.0,314.54,7.117394,35.5343,69.341667,24.0,499.26
20220521.0,827.64,9.84,8.658146,14.9683,6.444252,2605.301485,57.8757,100.0,973.6,314.786802,7.845246,70.458,5042.0,62.367917,454.7537,16.3482,6.47319,1428.472322,31.7475,100.0,314.12,7.277519,35.6923,68.1175,24.0,490.446
20220522.0,713.9,10.29,9.417178,12.986833,6.695243,2177.861484,52.17,89.583333,812.5,305.065343,8.381566,65.31,4053.0,60.403876,437.9087,15.773333,6.289053,1378.011097,29.7598,100.0,314.68,7.458009,35.2913,65.722222,24.0,473.2
20220523.0,461.34,9.35,8.643354,8.476667,6.415651,1445.747292,32.63,50.0,504.0,313.38,9.292175,47.26,2926.0,70.638889,461.34,16.953333,6.414864,1445.747292,32.626,100.0,313.38,9.292175,47.26,70.638889,24.0,508.6
20220524.0,448.31,9.69,8.837419,8.299167,6.52676,1408.439819,32.5,50.0,504.0,314.166496,9.970881,49.65,2909.0,69.159722,448.305,16.598333,6.525956,1408.439819,32.496,100.0,314.17,9.969876,49.645,69.159722,24.0,497.95
20220525.0,452.27,9.41,8.625217,8.310167,6.351658,1421.01663,31.67,50.0,504.0,314.196526,9.295842,46.35,3086.0,69.251389,452.265,16.620333,6.351718,1421.01663,31.6703,100.0,314.2,9.29484,46.345,69.251389,24.0,498.61
20220526.0,471.08,9.22,8.248884,8.625167,6.061719,1477.47963,31.37,50.0,515.9,313.636671,8.97374,46.44,3181.0,71.876389,471.075,17.250333,6.062646,1477.47963,31.3748,100.0,313.64,8.972773,46.435,71.876389,24.0,517.51
