name,index,mape_5,mape_10,mape_20,mape_60,mape_120,dir5_3class,dir5_binary,dir10_3class,dir10_binary,dir20_3class,dir20_binary,slope20_3class,corr20,slope60_3class,corr60,slope120_3class,corr120
seq32_shortfirst,CCI5000,1.7161468822734662,2.0795137155518586,2.8305469794655997,4.673997822172797,8.73282400917872,0.6498516320474778,0.7477744807121661,0.7584097859327217,0.7981651376146789,0.8241042345276873,0.8501628664495114,0.7370030581039755,0.3286767500351086,0.7247386759581882,0.3178403000166429,0.5859030837004405,0.1158570144288961
seq32_shortfirst,CCI5500,1.5034753893777093,1.782041880108905,2.3943941824687416,4.417417865064309,8.526469060395168,0.6231454005934718,0.7744807121661721,0.7614678899082569,0.7981651376146789,0.8306188925081434,0.8631921824104235,0.7155963302752294,0.3345018447583451,0.6933797909407665,0.2957544596515286,0.6299559471365639,0.1460509295163269
seq32_shortfirst,CCI3800out,2.108191878532738,2.470150117815016,2.978146874292346,4.89857349996829,6.110534862017026,0.6528189910979229,0.7418397626112759,0.7798165137614679,0.8165137614678899,0.7687296416938111,0.7947882736156352,0.581039755351682,0.14088173617115765,0.7317073170731707,0.3173490147213836,0.5726872246696035,0.3010574233896945
seq32_shortfirst,CCI4700out,1.6739181368585196,1.958413189573906,2.406181570860251,4.473188521689622,7.618977872278056,0.6261127596439169,0.6884272997032641,0.7064220183486238,0.7614678899082569,0.7361563517915309,0.8013029315960912,0.5290519877675841,0.11865856333386154,0.7770034843205574,0.3809466392815286,0.6299559471365639,0.2875194160812797
seq32_shortfirst,CCI5500out,1.94187825668313,2.190744443504246,2.683277122032559,3.958944419697827,7.059649540009553,0.655786350148368,0.7418397626112759,0.746177370030581,0.7951070336391437,0.8273615635179153,0.8631921824104235,0.6269113149847095,0.19210580308498743,0.6724738675958188,0.24681403031036506,0.5770925110132159,0.12312543550923494
seq16_shortfirst,CCI4500,3.0534072461960924,3.233292708367014,3.9460599177842983,6.4040211238107165,10.584972668191108,0.6528189910979229,0.7418397626112759,0.7951070336391437,0.8348623853211009,0.7296416938110749,0.7752442996742671,0.6452599388379205,0.23491410253046607,0.4076655052264808,-0.03411842660685099,0.3788546255506608,-0.14346856390464213
seq16_shortfirst,CCI5000,2.8774602609498663,3.037672363073106,3.6116271996578933,6.106736132662597,10.598271610487112,0.629080118694362,0.7388724035608308,0.7553516819571865,0.8165137614678899,0.7003257328990228,0.742671009771987,0.5688073394495413,0.14425434230343523,0.3588850174216028,-0.1290415774580548,0.34801762114537443,-0.223914020807292
seq16_shortfirst,CCI5500,2.535313051146628,2.52081271690872,2.9988003201731073,5.800859398747574,10.43408564174462,0.6172106824925816,0.7002967359050445,0.7033639143730887,0.7798165137614679,0.6938110749185668,0.7263843648208469,0.5504587155963303,0.12068343657395003,0.3240418118466899,-0.21194288163421657,0.32599118942731276,-0.27164717073909866
seq16_shortfirst,CCI3800out,3.1522053299411374,3.359071422738025,4.383576401523142,6.174941436486541,8.33234280106889,0.599406528189911,0.6765578635014837,0.6605504587155964,0.6972477064220184,0.6319218241042345,0.6579804560260586,0.4984709480122324,0.0022361499000757875,0.578397212543554,0.06363308107761127,0.3920704845814978,-0.006263786487281625
seq16_shortfirst,CCI4700out,2.901007000465851,3.060069329661864,3.9427754949276794,6.148694343686743,9.74112533415166,0.56973293768546,0.6498516320474778,0.6391437308868502,0.6788990825688074,0.5895765472312704,0.6286644951140065,0.4984709480122324,0.04013202526015271,0.5749128919860628,0.09020685024863705,0.47577092511013214,0.0015969099353162044
