[2025-10-10 10:45:30] 来源:/tmp/coal_direct_kgb562aw/60+, 表:输入00000278-CCTD-煤炭运费_水运价格_进口煤炭运费, 请求时间范围:2025-10-09 到 2025-10-09, 记录数:5, 是否有空值:False
[2025-10-10 10:45:30] 来源:/tmp/coal_direct_kgb562aw/60+, 表:输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费, 请求时间范围:2025-10-09 到 2025-10-09, 记录数:14, 是否有空值:False
[2025-10-10 10:45:30] 来源:/tmp/coal_direct_kgb562aw/500+, 表:输入00000351--煤炭运费_水运价格_进口煤炭运费, 请求时间范围:2025-10-09 到 2025-10-09, 记录数:5, 是否有空值:False
[2025-10-10 10:45:30] 来源:/tmp/coal_direct_kgb562aw/500+, 表:输入00000347--煤炭运费_水运价格_沿海煤炭运费, 请求时间范围:2025-10-09 到 2025-10-09, 记录数:14, 是否有空值:False
[2025-10-10 10:45:31] 来源:/tmp/coal_direct_kgb562aw/500+, 表:输入00000349--煤炭运费_水运价格_国际煤炭海运费, 请求时间范围:2025-10-09 到 2025-10-09, 记录数:0, 是否有空值:False
[2025-10-10 10:45:32] 来源:/tmp/coal_direct_kgb562aw/500+, 表:输入00000352--煤炭运费_水运指数_中国沿海煤炭运价综合指数, 请求时间范围:2025-10-09 到 2025-10-09, 记录数:1, 是否有空值:False
[2025-10-10 10:45:32] 来源:/tmp/coal_direct_kgb562aw/500+, 表:输入00000353--煤炭运费_水运指数_中国沿海散货运价指数, 请求时间范围:2025-10-09 到 2025-10-09, 记录数:0, 是否有空值:False
[2025-10-10 10:45:32] 来源:/tmp/coal_direct_kgb562aw/500+, 表:输入00000354--煤炭运费_水运指数_国际航运指数, 请求时间范围:2025-10-09 到 2025-10-09, 记录数:0, 是否有空值:False
[2025-10-10 10:45:32] 来源:/tmp/coal_direct_kgb562aw/500+, 表:输入00000355--煤炭运费_水运指数_海运煤炭价格指数, 请求时间范围:2025-10-09 到 2025-10-09, 记录数:0, 是否有空值:False
[2025-10-10 10:45:33] 来源:/tmp/coal_direct_kgb562aw/500+, 表:输入00000357--港口煤炭数据_港口库存及调度_港口库存及调度(日)_秦皇岛港, 请求时间范围:2025-10-09 到 2025-10-09, 记录数:1, 是否有空值:False
[2025-10-10 10:45:33] 来源:/tmp/coal_direct_kgb562aw/500+, 表:输入00000362--港口煤炭数据_港口库存及调度_港口库存及调度(日)_广州港, 请求时间范围:2025-10-09 到 2025-10-09, 记录数:1, 是否有空值:False
[2025-10-10 15:04:19] 来源:/tmp/coal_direct_ui34jbfo/60+, 表:输入00000019-CCI指数_处理后, 请求时间范围:2025-10-09 到 2025-10-09, 记录数:1, 是否有空值:False
