时间,数据名称,价格类型,本期价格(元/吨),环比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-04-24,螺纹钢,收盘价,3681.00,1.1%,117,2024-04-24 00:00:00,1,0,2024-07-20 12:16:21,0,2024-07-20 12:16:21,,,
2024-04-24,螺纹钢,结算价,3668.00,0.11%,118,2024-04-24 00:00:00,1,0,2024-07-20 12:16:21,0,2024-07-20 12:16:21,,,
2024-04-23,螺纹钢,收盘价,3641.00,-0.79%,119,2024-04-23 00:00:00,1,0,2024-07-20 12:16:21,0,2024-07-20 12:16:21,,,
2024-04-23,螺纹钢,结算价,3664.00,-0.22%,120,2024-04-23 00:00:00,1,0,2024-07-20 12:16:21,0,2024-07-20 12:16:21,,,
2024-04-22,螺纹钢,收盘价,3670.00,-0.14%,121,2024-04-22 00:00:00,1,0,2024-07-20 12:16:24,0,2024-07-20 12:16:24,,,
2024-04-22,螺纹钢,结算价,3672.00,-0.16%,122,2024-04-22 00:00:00,1,0,2024-07-20 12:16:24,0,2024-07-20 12:16:24,,,
2024-04-19,螺纹钢,收盘价,3675.00,-0.19%,123,2024-04-19 00:00:00,1,0,2024-07-20 12:16:24,0,2024-07-20 12:16:24,,,
2024-04-19,螺纹钢,结算价,3678.00,-0.22%,124,2024-04-19 00:00:00,1,0,2024-07-20 12:16:24,0,2024-07-20 12:16:24,,,
2024-04-18,螺纹钢,收盘价,3682.00,0.%,125,2024-04-18 00:00:00,1,0,2024-07-20 12:16:24,0,2024-07-20 12:16:24,,,
2024-04-18,螺纹钢,结算价,3686.00,1.29%,126,2024-04-18 00:00:00,1,0,2024-07-20 12:16:24,0,2024-07-20 12:16:24,,,
2024-04-17,螺纹钢,收盘价,3682.00,2.05%,127,2024-04-17 00:00:00,1,0,2024-07-20 12:16:24,0,2024-07-20 12:16:24,,,
2024-04-17,螺纹钢,结算价,3639.00,0.75%,128,2024-04-17 00:00:00,1,0,2024-07-20 12:16:24,0,2024-07-20 12:16:24,,,
2024-04-16,螺纹钢,收盘价,3608.00,-0.22%,129,2024-04-16 00:00:00,1,0,2024-07-20 12:16:24,0,2024-07-20 12:16:24,,,
2024-04-16,螺纹钢,结算价,3612.00,0.03%,130,2024-04-16 00:00:00,1,0,2024-07-20 12:16:24,0,2024-07-20 12:16:24,,,
2024-04-15,螺纹钢,收盘价,3616.00,-0.33%,131,2024-04-15 00:00:00,1,0,2024-07-20 12:16:24,0,2024-07-20 12:16:24,,,
