时间,数据名称,本期(点),上期(点),环比增减(点),环比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06-25,波罗的海干散货指数(BDI),1926.00,1973.00,-47.00,-2.38%,81,2024-06-25 00:00:00,1,0,2024-07-20 09:22:28,0,2024-07-20 09:22:28,,,
2024-06-25,波罗的海海岬型指数(BCI),2990.00,3093.00,-103.00,-3.33%,82,2024-06-25 00:00:00,1,0,2024-07-20 09:22:28,0,2024-07-20 09:22:28,,,
2024-06-25,波罗的海巴拿马指数(BPI),1735.00,1792.00,-57.00,-3.18%,83,2024-06-25 00:00:00,1,0,2024-07-20 09:22:28,0,2024-07-20 09:22:28,,,
2024-06-25,波罗的海超灵便运价指数(BSI),1412.00,1405.00,7.00,0.5%,84,2024-06-25 00:00:00,1,0,2024-07-20 09:22:28,0,2024-07-20 09:22:28,,,
2024-06-25,波罗的海灵便型船指数(BHSI),760.00,757.00,3.00,0.4%,85,2024-06-25 00:00:00,1,0,2024-07-20 09:22:28,0,2024-07-20 09:22:28,,,
2024-06-24,波罗的海干散货指数(BDI),1973.00,1997.00,-24.00,-1.2%,86,2024-06-24 00:00:00,1,0,2024-07-20 09:22:28,0,2024-07-20 09:22:28,,,
2024-06-24,波罗的海海岬型指数(BCI),3093.00,3142.00,-49.00,-1.56%,87,2024-06-24 00:00:00,1,0,2024-07-20 09:22:28,0,2024-07-20 09:22:28,,,
2024-06-24,波罗的海巴拿马指数(BPI),1792.00,1827.00,-35.00,-1.92%,88,2024-06-24 00:00:00,1,0,2024-07-20 09:22:28,0,2024-07-20 09:22:28,,,
2024-06-24,波罗的海超灵便运价指数(BSI),1405.00,1398.00,7.00,0.5%,89,2024-06-24 00:00:00,1,0,2024-07-20 09:22:28,0,2024-07-20 09:22:28,,,
2024-06-24,波罗的海灵便型船指数(BHSI),757.00,753.00,4.00,0.53%,90,2024-06-24 00:00:00,1,0,2024-07-20 09:22:28,0,2024-07-20 09:22:28,,,
2024-06-21,波罗的海干散货指数(BDI),1997.00,1984.00,13.00,0.66%,91,2024-06-21 00:00:00,1,0,2024-07-20 09:22:32,0,2024-07-20 09:22:32,,,
2024-06-21,波罗的海海岬型指数(BCI),3142.00,3079.00,63.00,2.05%,92,2024-06-21 00:00:00,1,0,2024-07-20 09:22:32,0,2024-07-20 09:22:32,,,
2024-06-21,波罗的海巴拿马指数(BPI),1827.00,1867.00,-40.00,-2.14%,93,2024-06-21 00:00:00,1,0,2024-07-20 09:22:32,0,2024-07-20 09:22:32,,,
2024-06-21,波罗的海超灵便运价指数(BSI),1398.00,1389.00,9.00,0.65%,94,2024-06-21 00:00:00,1,0,2024-07-20 09:22:32,0,2024-07-20 09:22:32,,,
2024-06-21,波罗的海灵便型船指数(BHSI),753.00,744.00,9.00,1.21%,95,2024-06-21 00:00:00,1,0,2024-07-20 09:22:32,0,2024-07-20 09:22:32,,,
2024-06-20,波罗的海干散货指数(BDI),1984.00,1943.00,41.00,2.11%,96,2024-06-20 00:00:00,1,0,2024-07-20 09:22:32,0,2024-07-20 09:22:32,,,
2024-06-20,波罗的海海岬型指数(BCI),3079.00,2927.00,152.00,5.19%,97,2024-06-20 00:00:00,1,0,2024-07-20 09:22:32,0,2024-07-20 09:22:32,,,
2024-06-20,波罗的海巴拿马指数(BPI),1867.00,1919.00,-52.00,-2.71%,98,2024-06-20 00:00:00,1,0,2024-07-20 09:22:32,0,2024-07-20 09:22:32,,,
