时间,地区,当月值(亿千瓦时),同比增长(%),累计值(亿千瓦时),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-04,海南省,0.50,33.60,1.70,-0.70,76,2024-04-30 00:00:00,1,0,2024-07-20 15:34:08,0,2024-07-20 15:34:08,,,
2024-04,广西区,24.50,4.50,100.60,15.30,77,2024-04-30 00:00:00,1,0,2024-07-20 15:34:08,0,2024-07-20 15:34:08,,,
2024-04,广东省,27.60,-4.00,135.40,9.70,78,2024-04-30 00:00:00,1,0,2024-07-20 15:34:08,0,2024-07-20 15:34:08,,,
2024-04,湖南省,15.80,-24.70,67.50,-5.30,79,2024-04-30 00:00:00,1,0,2024-07-20 15:34:08,0,2024-07-20 15:34:08,,,
2024-04,湖北省,12.80,-34.50,53.20,-11.50,80,2024-04-30 00:00:00,1,0,2024-07-20 15:34:08,0,2024-07-20 15:34:08,,,
2024-04,河南省,34.00,-20.70,132.30,-3.70,81,2024-04-30 00:00:00,1,0,2024-07-20 15:34:08,0,2024-07-20 15:34:08,,,
2024-04,山东省,52.80,-11.20,217.30,13.80,82,2024-04-30 00:00:00,1,0,2024-07-20 15:34:08,0,2024-07-20 15:34:08,,,
2024-04,江西省,11.00,-9.50,40.40,-9.30,83,2024-04-30 00:00:00,1,0,2024-07-20 15:34:08,0,2024-07-20 15:34:08,,,
2024-04,福建省,14.60,15.30,76.50,-3.10,84,2024-04-30 00:00:00,1,0,2024-07-20 15:34:08,0,2024-07-20 15:34:08,,,
2024-04,安徽省,10.20,-33.70,44.40,-10.40,85,2024-04-30 00:00:00,1,0,2024-07-20 15:34:08,0,2024-07-20 15:34:08,,,
2024-04,浙江省,8.50,7.60,45.40,37.80,86,2024-04-30 00:00:00,1,0,2024-07-20 15:34:08,0,2024-07-20 15:34:08,,,
2024-04,江苏省,40.10,-30.90,207.50,2.60,87,2024-04-30 00:00:00,1,0,2024-07-20 15:34:08,0,2024-07-20 15:34:08,,,
2024-04,上海市,1.60,-31.70,8.70,3.50,88,2024-04-30 00:00:00,1,0,2024-07-20 15:34:08,0,2024-07-20 15:34:08,,,
2024-04,黑龙江省,25.40,5.50,92.00,9.50,89,2024-04-30 00:00:00,1,0,2024-07-20 15:34:08,0,2024-07-20 15:34:08,,,
2024-04,吉林省,27.20,-13.70,94.40,-8.70,90,2024-04-30 00:00:00,1,0,2024-07-20 15:34:08,0,2024-07-20 15:34:08,,,
2024-04,辽宁省,28.40,-14.20,114.10,3.30,91,2024-04-30 00:00:00,1,0,2024-07-20 15:34:12,0,2024-07-20 15:34:12,,,
2024-04,内蒙古区,132.70,3.30,524.10,14.50,92,2024-04-30 00:00:00,1,0,2024-07-20 15:34:12,0,2024-07-20 15:34:12,,,
2024-04,山西省,41.40,-25.90,176.30,-9.70,93,2024-04-30 00:00:00,1,0,2024-07-20 15:34:12,0,2024-07-20 15:34:12,,,
2024-04,河北省,56.70,-15.30,228.40,-5.10,94,2024-04-30 00:00:00,1,0,2024-07-20 15:34:12,0,2024-07-20 15:34:12,,,
2024-04,天津市,3.20,-10.40,10.90,0.20,95,2024-04-30 00:00:00,1,0,2024-07-20 15:34:12,0,2024-07-20 15:34:12,,,
2024-04,北京市,0.10,-35.10,0.60,-6.80,96,2024-04-30 00:00:00,1,0,2024-07-20 15:34:12,0,2024-07-20 15:34:12,,,
2024-03,全国,905.00,16.80,2419.40,11.00,97,2024-03-31 00:00:00,1,0,2024-07-20 15:34:12,0,2024-07-20 15:34:12,,,
2024-03,新疆区,57.50,17.30,153.50,24.10,98,2024-03-31 00:00:00,1,0,2024-07-20 15:34:12,0,2024-07-20 15:34:12,,,
2024-03,宁夏区,25.30,29.90,61.60,-7.60,99,2024-03-31 00:00:00,1,0,2024-07-20 15:34:12,0,2024-07-20 15:34:12,,,
2024-03,青海省,13.20,20.10,31.50,3.60,100,2024-03-31 00:00:00,1,0,2024-07-20 15:34:12,0,2024-07-20 15:34:12,,,
2024-03,甘肃省,33.60,,87.40,-1.90,101,2024-03-31 00:00:00,1,0,2024-07-20 15:34:12,0,2024-07-20 15:34:12,,,
2024-03,陕西省,17.40,2.40,42.80,-12.90,102,2024-03-31 00:00:00,1,0,2024-07-20 15:34:12,0,2024-07-20 15:34:12,,,
2024-03,西藏区,,,,,103,2024-03-31 00:00:00,1,0,2024-07-20 15:34:12,0,2024-07-20 15:34:12,,,
