时间,地区名称,当月数量(吨),当月金额(美元),累计数量(吨),累计金额(美元),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2025-04,内蒙古区,118439.04,69066633.00,525799.67,294018507.00,4155,2025-04-30 00:00:00,1,0,2025-06-04 23:20:09,0,2025-06-04 23:20:09,,,
2025-04,山西省,82522.77,99195110.00,306054.88,341086684.00,4156,2025-04-30 00:00:00,1,0,2025-06-04 23:20:09,0,2025-06-04 23:20:09,,,
2025-04,河北省,587651.33,426371670.00,2164878.29,1494853547.00,4157,2025-04-30 00:00:00,1,0,2025-06-04 23:20:09,0,2025-06-04 23:20:09,,,
2025-04,天津市,428656.97,303025872.00,1326210.68,1080772013.00,4158,2025-04-30 00:00:00,1,0,2025-06-04 23:20:09,0,2025-06-04 23:20:09,,,
2025-04,北京市,357578.27,244356963.00,1500248.73,1060119868.00,4159,2025-04-30 00:00:00,1,0,2025-06-04 23:20:09,0,2025-06-04 23:20:09,,,
2025-04,新疆区,33294.71,21251161.00,75302.16,49029993.00,4160,2025-04-30 00:00:00,1,0,2025-06-04 23:20:09,0,2025-06-04 23:20:09,,,
2025-04,宁夏区,77.50,51579.00,77.73,53310.00,4161,2025-04-30 00:00:00,1,0,2025-06-04 23:20:09,0,2025-06-04 23:20:09,,,
2025-04,青海省,175.14,127954.00,344.98,361073.00,4162,2025-04-30 00:00:00,1,0,2025-06-04 23:20:09,0,2025-06-04 23:20:09,,,
2025-04,甘肃省,675.20,1064809.00,6024.52,5302852.00,4163,2025-04-30 00:00:00,1,0,2025-06-04 23:20:09,0,2025-06-04 23:20:09,,,
2025-04,陕西省,17422.26,21282084.00,631645.03,390327923.00,4164,2025-04-30 00:00:00,1,0,2025-06-04 23:20:09,0,2025-06-04 23:20:09,,,
2025-04,云南省,681875.46,354234547.00,954000.58,499881778.00,4165,2025-04-30 00:00:00,1,0,2025-06-04 23:20:09,0,2025-06-04 23:20:09,,,
2025-04,贵州省,1524.71,1183491.00,6484.35,5054889.00,4166,2025-04-30 00:00:00,1,0,2025-06-04 23:20:09,0,2025-06-04 23:20:09,,,
2025-04,四川省,744736.29,419221983.00,920497.86,548945070.00,4167,2025-04-30 00:00:00,1,0,2025-06-04 23:20:09,0,2025-06-04 23:20:09,,,
