时间,数据名称,价格类型,本期价格(元/吨),环比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05-10,焦炭,结算价,2276.00,-1.15%,100,2024-05-10 00:00:00,1,0,2024-07-20 12:04:37,0,2024-07-20 12:04:37,,,
2024-05-09,焦炭,收盘价,2297.00,-0.61%,101,2024-05-09 00:00:00,1,0,2024-07-20 12:04:37,0,2024-07-20 12:04:37,,,
2024-05-09,焦炭,结算价,2302.50,-1.81%,102,2024-05-09 00:00:00,1,0,2024-07-20 12:04:37,0,2024-07-20 12:04:37,,,
2024-05-08,焦炭,收盘价,2311.00,-3.18%,103,2024-05-08 00:00:00,1,0,2024-07-20 12:04:37,0,2024-07-20 12:04:37,,,
2024-05-08,焦炭,结算价,2345.00,-2.49%,104,2024-05-08 00:00:00,1,0,2024-07-20 12:04:37,0,2024-07-20 12:04:37,,,
2024-05-07,焦炭,收盘价,2387.00,-1.32%,105,2024-05-07 00:00:00,1,0,2024-07-20 12:04:37,0,2024-07-20 12:04:37,,,
2024-05-07,焦炭,结算价,2405.00,0.5%,106,2024-05-07 00:00:00,1,0,2024-07-20 12:04:37,0,2024-07-20 12:04:37,,,
2024-05-06,焦炭,收盘价,2419.00,2.72%,107,2024-05-06 00:00:00,1,0,2024-07-20 12:04:37,0,2024-07-20 12:04:37,,,
2024-05-06,焦炭,结算价,2393.00,1.27%,108,2024-05-06 00:00:00,1,0,2024-07-20 12:04:37,0,2024-07-20 12:04:37,,,
2024-04-30,焦炭,收盘价,2355.00,0.28%,109,2024-04-30 00:00:00,1,0,2024-07-20 12:04:37,0,2024-07-20 12:04:37,,,
2024-04-30,焦炭,结算价,2363.00,0.53%,110,2024-04-30 00:00:00,1,0,2024-07-20 12:04:37,0,2024-07-20 12:04:37,,,
2024-04-29,焦炭,收盘价,2348.50,-0.38%,111,2024-04-29 00:00:00,1,0,2024-07-20 12:04:37,0,2024-07-20 12:04:37,,,
2024-04-29,焦炭,结算价,2350.50,0.32%,112,2024-04-29 00:00:00,1,0,2024-07-20 12:04:37,0,2024-07-20 12:04:37,,,
