时间,数据项目,航线名称,载重,本期(点),上期(点),环比增减(点),环比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05-17,煤炭运价分航线指数,曹妃甸-宁波,(4-5万DWT),980.56,979.52,1.04,0.11%,108,2024-05-17 00:00:00,1,0,2024-07-20 09:07:51,0,2024-07-20 09:07:51,,,
2024-05-10,散货运价综合指数,,,991.48,983.59,7.89,0.8%,109,2024-05-10 00:00:00,1,0,2024-07-20 09:07:51,0,2024-07-20 09:07:51,,,
2024-05-10,煤炭货种运价指数,,,984.01,970.59,13.42,1.38%,110,2024-05-10 00:00:00,1,0,2024-07-20 09:07:51,0,2024-07-20 09:07:51,,,
2024-05-10,煤炭运价分航线指数,秦皇岛-广州,(5-6万DWT),912.32,900.64,11.68,1.3%,111,2024-05-10 00:00:00,1,0,2024-07-20 09:07:51,0,2024-07-20 09:07:51,,,
2024-05-10,煤炭运价分航线指数,秦皇岛-福州,(3-4万DWT),710.35,712.32,-1.97,-0.28%,112,2024-05-10 00:00:00,1,0,2024-07-20 09:07:51,0,2024-07-20 09:07:51,,,
2024-05-10,煤炭运价分航线指数,秦皇岛-宁波,(1.5-2万DWT),1009.61,1012.02,-2.41,-0.24%,113,2024-05-10 00:00:00,1,0,2024-07-20 09:07:51,0,2024-07-20 09:07:51,,,
2024-05-10,煤炭运价分航线指数,秦皇岛-上海,(4-5万DWT),976.92,957.82,19.10,1.99%,114,2024-05-10 00:00:00,1,0,2024-07-20 09:07:51,0,2024-07-20 09:07:51,,,
2024-05-10,煤炭运价分航线指数,秦皇岛-张家港,(2-3万DWT),1029.05,1020.26,8.79,0.86%,115,2024-05-10 00:00:00,1,0,2024-07-20 09:07:51,0,2024-07-20 09:07:51,,,
2024-05-10,煤炭运价分航线指数,秦皇岛-南京,(3-4万DWT),992.20,986.15,6.05,0.61%,116,2024-05-10 00:00:00,1,0,2024-07-20 09:07:51,0,2024-07-20 09:07:51,,,
2024-05-10,煤炭运价分航线指数,天津-上海,(2-3万DWT),1009.01,1001.16,7.85,0.78%,117,2024-05-10 00:00:00,1,0,2024-07-20 09:07:51,0,2024-07-20 09:07:51,,,
2024-05-10,煤炭运价分航线指数,天津-镇江,(1-1.5万DWT),1211.60,1215.12,-3.52,-0.29%,118,2024-05-10 00:00:00,1,0,2024-07-20 09:07:51,0,2024-07-20 09:07:51,,,
2024-05-10,煤炭运价分航线指数,黄骅-上海,(3-4万DWT),688.24,674.16,14.08,2.09%,119,2024-05-10 00:00:00,1,0,2024-07-20 09:07:51,0,2024-07-20 09:07:51,,,
2024-05-10,煤炭运价分航线指数,曹妃甸-宁波,(4-5万DWT),979.52,960.16,19.36,2.02%,120,2024-05-10 00:00:00,1,0,2024-07-20 09:07:51,0,2024-07-20 09:07:51,,,
2024-04-26,散货运价综合指数,,,983.59,987.93,-4.34,-0.44%,121,2024-04-26 00:00:00,1,0,2024-07-20 09:07:53,0,2024-07-20 09:07:53,,,
2024-04-26,煤炭货种运价指数,,,970.59,977.78,-7.19,-0.74%,122,2024-04-26 00:00:00,1,0,2024-07-20 09:07:53,0,2024-07-20 09:07:53,,,
2024-04-26,煤炭运价分航线指数,秦皇岛-广州,(5-6万DWT),900.64,915.11,-14.47,-1.58%,123,2024-04-26 00:00:00,1,0,2024-07-20 09:07:53,0,2024-07-20 09:07:53,,,
2024-04-26,煤炭运价分航线指数,秦皇岛-福州,(3-4万DWT),712.32,709.50,2.82,0.4%,124,2024-04-26 00:00:00,1,0,2024-07-20 09:07:53,0,2024-07-20 09:07:53,,,
2024-04-26,煤炭运价分航线指数,秦皇岛-宁波,(1.5-2万DWT),1012.02,1004.59,7.43,0.74%,125,2024-04-26 00:00:00,1,0,2024-07-20 09:07:53,0,2024-07-20 09:07:53,,,
2024-04-26,煤炭运价分航线指数,秦皇岛-上海,(4-5万DWT),957.82,960.12,-2.30,-0.24%,126,2024-04-26 00:00:00,1,0,2024-07-20 09:07:53,0,2024-07-20 09:07:53,,,
2024-04-26,煤炭运价分航线指数,秦皇岛-张家港,(2-3万DWT),1020.26,1026.76,-6.50,-0.63%,127,2024-04-26 00:00:00,1,0,2024-07-20 09:07:53,0,2024-07-20 09:07:53,,,
2024-04-26,煤炭运价分航线指数,秦皇岛-南京,(3-4万DWT),986.15,993.90,-7.75,-0.78%,128,2024-04-26 00:00:00,1,0,2024-07-20 09:07:53,0,2024-07-20 09:07:53,,,
2024-04-26,煤炭运价分航线指数,天津-上海,(2-3万DWT),1001.16,1004.55,-3.39,-0.34%,129,2024-04-26 00:00:00,1,0,2024-07-20 09:07:53,0,2024-07-20 09:07:53,,,
2024-04-26,煤炭运价分航线指数,天津-镇江,(1-1.5万DWT),1215.12,1215.19,-0.07,-0.01%,130,2024-04-26 00:00:00,1,0,2024-07-20 09:07:53,0,2024-07-20 09:07:53,,,
