时间,项目名称,当月值(亿千瓦时),同比增长(%),累计值(亿千瓦时),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-02,辽宁省,,,481.70,7.30,123,2024-02-29 00:00:00,1,0,2024-07-20 15:48:13,0,2024-07-20 15:48:13,,,
2024-02,内蒙古区,,,865.90,15.70,124,2024-02-29 00:00:00,1,0,2024-07-20 15:48:13,0,2024-07-20 15:48:13,,,
2024-02,山西省,,,515.70,5.90,125,2024-02-29 00:00:00,1,0,2024-07-20 15:48:13,0,2024-07-20 15:48:13,,,
2024-02,河北省,,,845.60,10.60,126,2024-02-29 00:00:00,1,0,2024-07-20 15:48:13,0,2024-07-20 15:48:13,,,
2024-02,天津市,,,183.40,8.40,127,2024-02-29 00:00:00,1,0,2024-07-20 15:48:13,0,2024-07-20 15:48:13,,,
2024-02,北京市,,,261.30,6.50,128,2024-02-29 00:00:00,1,0,2024-07-20 15:48:13,0,2024-07-20 15:48:13,,,
2023-12,全国,8563.00,10.20,92241.00,6.70,129,2023-12-31 00:00:00,1,0,2024-07-20 15:48:13,0,2024-07-20 15:48:13,,,
2023-12,新疆区,388.00,22.20,3820.60,9.60,130,2023-12-31 00:00:00,1,0,2024-07-20 15:48:13,0,2024-07-20 15:48:13,,,
2023-12,宁夏区,125.00,8.40,1386.90,11.00,131,2023-12-31 00:00:00,1,0,2024-07-20 15:48:13,0,2024-07-20 15:48:13,,,
2023-12,青海省,93.30,11.80,1018.30,10.40,132,2023-12-31 00:00:00,1,0,2024-07-20 15:48:13,0,2024-07-20 15:48:13,,,
2023-12,甘肃省,151.70,9.70,1644.70,9.60,133,2023-12-31 00:00:00,1,0,2024-07-20 15:48:13,0,2024-07-20 15:48:13,,,
2023-12,陕西省,241.40,6.30,2450.30,3.30,134,2023-12-31 00:00:00,1,0,2024-07-20 15:48:13,0,2024-07-20 15:48:13,,,
2023-12,西藏区,15.10,20.50,135.30,14.10,135,2023-12-31 00:00:00,1,0,2024-07-20 15:48:13,0,2024-07-20 15:48:13,,,
