时间,项目名称,期末值(亿元),同比增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2021-10,货币(M1)供应量,626100.00,2.80,98,2021-10-31 00:00:00,1,0,2024-07-21 05:01:35,0,2024-07-21 05:01:35,,,
2021-10,货币和准货币(M2)供应量,2336200.00,8.70,99,2021-10-31 00:00:00,1,0,2024-07-21 05:01:35,0,2024-07-21 05:01:35,,,
2021-09,流通中现金(M0)供应量,86900.00,5.50,100,2021-09-30 00:00:00,1,0,2024-07-21 05:01:35,0,2024-07-21 05:01:35,,,
2021-09,货币(M1)供应量,624600.00,3.70,101,2021-09-30 00:00:00,1,0,2024-07-21 05:01:35,0,2024-07-21 05:01:35,,,
2021-09,货币和准货币(M2)供应量,2342800.00,8.30,102,2021-09-30 00:00:00,1,0,2024-07-21 05:01:35,0,2024-07-21 05:01:35,,,
2021-08,货币(M1)供应量,626700.00,4.20,103,2021-08-31 00:00:00,1,0,2024-07-21 05:01:35,0,2024-07-21 05:01:35,,,
2021-08,流通中现金(M0)供应量,85100.00,6.30,104,2021-08-31 00:00:00,1,0,2024-07-21 05:01:35,0,2024-07-21 05:01:35,,,
2021-08,货币和准货币(M2)供应量,2312300.00,8.20,105,2021-08-31 00:00:00,1,0,2024-07-21 05:01:35,0,2024-07-21 05:01:35,,,
2021-07,货币(M1)供应量,620400.00,4.90,106,2021-07-31 00:00:00,1,0,2024-07-21 05:01:35,0,2024-07-21 05:01:35,,,
2021-07,流通中现金(M0)供应量,84700.00,6.10,107,2021-07-31 00:00:00,1,0,2024-07-21 05:01:35,0,2024-07-21 05:01:35,,,
2021-07,货币和准货币(M2)供应量,2302200.00,8.30,108,2021-07-31 00:00:00,1,0,2024-07-21 05:01:35,0,2024-07-21 05:01:35,,,
2021-06,货币(M1)供应量,637500.00,5.50,109,2021-06-30 00:00:00,1,0,2024-07-21 05:01:35,0,2024-07-21 05:01:35,,,
2021-06,流通中现金(M0)供应量,84300.00,6.20,110,2021-06-30 00:00:00,1,0,2024-07-21 05:01:35,0,2024-07-21 05:01:35,,,
2021-06,货币和准货币(M2)供应量,2317800.00,8.60,111,2021-06-30 00:00:00,1,0,2024-07-21 05:01:35,0,2024-07-21 05:01:35,,,
2021-05,货币(M1)供应量,616800.00,6.10,112,2021-05-31 00:00:00,1,0,2024-07-21 05:01:35,0,2024-07-21 05:01:35,,,
2021-05,流通中现金(M0)供应量,84200.00,5.60,113,2021-05-31 00:00:00,1,0,2024-07-21 05:01:35,0,2024-07-21 05:01:35,,,
2021-05,货币和准货币(M2)供应量,2275500.00,8.30,114,2021-05-31 00:00:00,1,0,2024-07-21 05:01:35,0,2024-07-21 05:01:35,,,
2021-04,流通中现金(M0)供应量,85800.00,5.30,115,2021-04-30 00:00:00,1,0,2024-07-21 05:01:35,0,2024-07-21 05:01:35,,,
2021-04,货币(M1)供应量,605400.00,6.20,116,2021-04-30 00:00:00,1,0,2024-07-21 05:01:35,0,2024-07-21 05:01:35,,,
2021-04,货币和准货币(M2)供应量,2262100.00,8.10,117,2021-04-30 00:00:00,1,0,2024-07-21 05:01:35,0,2024-07-21 05:01:35,,,
2021-03,货币(M1)供应量,616100.00,7.10,118,2021-03-31 00:00:00,1,0,2024-07-21 05:01:35,0,2024-07-21 05:01:35,,,
2021-03,流通中现金(M0)供应量,86500.00,4.20,119,2021-03-31 00:00:00,1,0,2024-07-21 05:01:35,0,2024-07-21 05:01:35,,,
2021-03,货币和准货币(M2)供应量,2276500.00,9.40,120,2021-03-31 00:00:00,1,0,2024-07-21 05:01:35,0,2024-07-21 05:01:35,,,
2021-02,货币(M1)供应量,593500.00,7.40,121,2021-02-28 00:00:00,1,0,2024-07-21 05:01:37,0,2024-07-21 05:01:37,,,
2021-02,流通中现金(M0)供应量,91900.00,4.20,122,2021-02-28 00:00:00,1,0,2024-07-21 05:01:37,0,2024-07-21 05:01:37,,,
2021-02,货币和准货币(M2)供应量,2236000.00,10.10,123,2021-02-28 00:00:00,1,0,2024-07-21 05:01:37,0,2024-07-21 05:01:37,,,
2021-01,货币(M1)供应量,625600.00,14.70,124,2021-01-31 00:00:00,1,0,2024-07-21 05:01:37,0,2024-07-21 05:01:37,,,
2021-01,流通中现金(M0)供应量,89600.00,-3.90,125,2021-01-31 00:00:00,1,0,2024-07-21 05:01:37,0,2024-07-21 05:01:37,,,
2021-01,货币和准货币(M2)供应量,2213000.00,9.40,126,2021-01-31 00:00:00,1,0,2024-07-21 05:01:37,0,2024-07-21 05:01:37,,,
2020-12,货币(M1)供应量,625600.00,8.60,127,2020-12-31 00:00:00,1,0,2024-07-21 05:01:37,0,2024-07-21 05:01:37,,,
2020-12,流通中现金(M0)供应量,84300.00,9.20,128,2020-12-31 00:00:00,1,0,2024-07-21 05:01:37,0,2024-07-21 05:01:37,,,
2020-12,货币和准货币(M2)供应量,2186800.00,10.10,129,2020-12-31 00:00:00,1,0,2024-07-21 05:01:37,0,2024-07-21 05:01:37,,,
2020-11,货币(M1)供应量,618600.00,10.00,130,2020-11-30 00:00:00,1,0,2024-07-21 05:01:37,0,2024-07-21 05:01:37,,,
2020-11,流通中现金(M0)供应量,81600.00,10.30,131,2020-11-30 00:00:00,1,0,2024-07-21 05:01:37,0,2024-07-21 05:01:37,,,
2020-11,货币和准货币(M2)供应量,2172000.00,10.70,132,2020-11-30 00:00:00,1,0,2024-07-21 05:01:37,0,2024-07-21 05:01:37,,,
2020-10,货币(M1)供应量,609200.00,9.10,133,2020-10-31 00:00:00,1,0,2024-07-21 05:01:37,0,2024-07-21 05:01:37,,,
2020-10,流通中现金(M0)供应量,81000.00,10.40,134,2020-10-31 00:00:00,1,0,2024-07-21 05:01:37,0,2024-07-21 05:01:37,,,
