时间,国别(地区),当月数量(吨),累计数量(吨),当月金额(千美元),累计金额(千美元),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2023-11,希腊,308.00,308.00,75.50,75.50,128,2023-11-30 00:00:00,1,0,2024-07-20 14:49:11,0,2024-07-20 14:49:11,,,
2023-11,意大利,1.50,331.50,0.60,102.90,129,2023-11-30 00:00:00,1,0,2024-07-20 14:49:11,0,2024-07-20 14:49:11,,,
2023-11,印度,42382.00,82304.00,11021.50,21403.80,130,2023-11-30 00:00:00,1,0,2024-07-20 14:49:11,0,2024-07-20 14:49:11,,,
2023-11,印尼,147162.00,1701333.90,33730.00,459419.00,131,2023-11-30 00:00:00,1,0,2024-07-20 14:49:11,0,2024-07-20 14:49:11,,,
2023-11,乍得,7.00,12.60,23.80,29.00,132,2023-11-30 00:00:00,1,0,2024-07-20 14:49:11,0,2024-07-20 14:49:11,,,
2023-10,比利时,31650.00,75698.00,6972.90,16422.70,133,2023-10-31 00:00:00,1,0,2024-07-20 14:49:11,0,2024-07-20 14:49:11,,,
2023-10,菲律宾,6.00,177.40,1.80,65.10,134,2023-10-31 00:00:00,1,0,2024-07-20 14:49:11,0,2024-07-20 14:49:11,,,
2023-10,韩国,8206.80,221657.50,2023.40,50700.80,135,2023-10-31 00:00:00,1,0,2024-07-20 14:49:11,0,2024-07-20 14:49:11,,,
2023-10,柬埔寨,1426.30,29698.10,233.90,5562.30,136,2023-10-31 00:00:00,1,0,2024-07-20 14:49:11,0,2024-07-20 14:49:11,,,
2023-10,肯尼亚,40.00,40.00,16.00,16.00,137,2023-10-31 00:00:00,1,0,2024-07-20 14:49:11,0,2024-07-20 14:49:11,,,
2023-10,马来西亚,59088.70,143112.60,12786.80,33615.60,138,2023-10-31 00:00:00,1,0,2024-07-20 14:49:11,0,2024-07-20 14:49:11,,,
2023-10,孟加拉国,250.00,703.40,58.10,141.90,139,2023-10-31 00:00:00,1,0,2024-07-20 14:49:11,0,2024-07-20 14:49:11,,,
2023-10,缅甸,1189.10,5780.80,156.00,715.00,140,2023-10-31 00:00:00,1,0,2024-07-20 14:49:11,0,2024-07-20 14:49:11,,,
2023-10,日本,56332.50,1236336.40,14269.20,348795.10,141,2023-10-31 00:00:00,1,0,2024-07-20 14:49:11,0,2024-07-20 14:49:11,,,
2023-10,台湾省,60.00,20148.00,20.50,5207.10,142,2023-10-31 00:00:00,1,0,2024-07-20 14:49:11,0,2024-07-20 14:49:11,,,
2023-10,泰国,21.00,470.10,8.50,184.60,143,2023-10-31 00:00:00,1,0,2024-07-20 14:49:11,0,2024-07-20 14:49:11,,,
2023-10,特立尼达和多巴哥,34.30,34.30,7.10,7.10,144,2023-10-31 00:00:00,1,0,2024-07-20 14:49:11,0,2024-07-20 14:49:11,,,
2023-10,西班牙,24.00,72.00,4.80,22.70,145,2023-10-31 00:00:00,1,0,2024-07-20 14:49:11,0,2024-07-20 14:49:11,,,
2023-10,香港,2.00,88.40,1.50,39.00,146,2023-10-31 00:00:00,1,0,2024-07-20 14:49:11,0,2024-07-20 14:49:11,,,
2023-10,伊拉克,52.00,227.00,46.40,104.60,147,2023-10-31 00:00:00,1,0,2024-07-20 14:49:11,0,2024-07-20 14:49:11,,,
2023-10,以色列,5.00,2105.00,1.50,760.20,148,2023-10-31 00:00:00,1,0,2024-07-20 14:49:11,0,2024-07-20 14:49:11,,,
2023-10,意大利,270.00,330.00,78.30,102.30,149,2023-10-31 00:00:00,1,0,2024-07-20 14:49:11,0,2024-07-20 14:49:11,,,
2023-10,印度,6.00,39922.00,2.40,10382.30,150,2023-10-31 00:00:00,1,0,2024-07-20 14:49:11,0,2024-07-20 14:49:11,,,
2023-10,印尼,136962.00,1554171.90,29907.10,425689.00,151,2023-10-31 00:00:00,1,0,2024-07-20 14:49:14,0,2024-07-20 14:49:14,,,
2023-10,越南,141.50,375.20,26.10,122.80,152,2023-10-31 00:00:00,1,0,2024-07-20 14:49:14,0,2024-07-20 14:49:14,,,
2023-09,玻利维亚,1.10,1.10,0.60,0.60,153,2023-09-30 00:00:00,1,0,2024-07-20 14:49:14,0,2024-07-20 14:49:14,,,
2023-09,菲律宾,20.00,171.40,9.00,63.30,154,2023-09-30 00:00:00,1,0,2024-07-20 14:49:14,0,2024-07-20 14:49:14,,,
2023-09,韩国,21341.70,213450.70,4850.20,48677.50,155,2023-09-30 00:00:00,1,0,2024-07-20 14:49:14,0,2024-07-20 14:49:14,,,
2023-09,柬埔寨,1449.10,28271.90,237.70,5328.40,156,2023-09-30 00:00:00,1,0,2024-07-20 14:49:14,0,2024-07-20 14:49:14,,,
2023-09,马来西亚,3398.40,84023.90,703.40,20828.80,157,2023-09-30 00:00:00,1,0,2024-07-20 14:49:14,0,2024-07-20 14:49:14,,,
2023-09,缅甸,663.30,4591.70,109.20,559.00,158,2023-09-30 00:00:00,1,0,2024-07-20 14:49:14,0,2024-07-20 14:49:14,,,
2023-09,日本,288144.80,1180003.90,62176.10,334525.80,159,2023-09-30 00:00:00,1,0,2024-07-20 14:49:14,0,2024-07-20 14:49:14,,,
2023-09,泰国,12.80,449.10,1.70,176.10,160,2023-09-30 00:00:00,1,0,2024-07-20 14:49:14,0,2024-07-20 14:49:14,,,
