时间,数据项目,本期值(点),环比增减(点),环比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2022-03-13,中国原油综合进口到岸价格指数,145.81,14.08,10.69,118,2022-03-13 00:00:00,1,0,2024-07-20 12:37:50,0,2024-07-20 12:37:50,,,
2022-02-27,中国原油综合进口到岸价格指数,131.73,0.98,0.75,119,2022-02-27 00:00:00,1,0,2024-07-20 12:37:50,0,2024-07-20 12:37:50,,,
2022-02-20,中国原油综合进口到岸价格指数,130.75,3.64,2.86,120,2022-02-20 00:00:00,1,0,2024-07-20 12:37:50,0,2024-07-20 12:37:50,,,
2022-02-13,中国原油综合进口到岸价格指数,127.11,1.13,0.90,121,2022-02-13 00:00:00,1,0,2024-07-20 12:37:53,0,2024-07-20 12:37:53,,,
2022-02-06,中国原油综合进口到岸价格指数,125.98,5.28,4.37,122,2022-02-06 00:00:00,1,0,2024-07-20 12:37:53,0,2024-07-20 12:37:53,,,
2022-01-30,中国原油综合进口到岸价格指数,120.70,6.20,5.41,123,2022-01-30 00:00:00,1,0,2024-07-20 12:37:53,0,2024-07-20 12:37:53,,,
2022-01-16,中国原油综合进口到岸价格指数,114.50,-2.19,-1.88,124,2022-01-16 00:00:00,1,0,2024-07-20 12:37:53,0,2024-07-20 12:37:53,,,
2022-01-09,中国原油综合进口到岸价格指数,116.69,0.83,0.72,125,2022-01-09 00:00:00,1,0,2024-07-20 12:37:53,0,2024-07-20 12:37:53,,,
2022-01-02,中国原油综合进口到岸价格指数,115.86,-1.80,-1.53,126,2022-01-02 00:00:00,1,0,2024-07-20 12:37:53,0,2024-07-20 12:37:53,,,
2021-12-26,中国原油综合进口到岸价格指数,117.66,-2.57,-2.14,127,2021-12-26 00:00:00,1,0,2024-07-20 12:37:53,0,2024-07-20 12:37:53,,,
2021-12-12,中国原油综合进口到岸价格指数,120.23,-3.43,-2.77,128,2021-12-12 00:00:00,1,0,2024-07-20 12:37:53,0,2024-07-20 12:37:53,,,
2021-12-05,中国原油综合进口到岸价格指数,123.66,3.96,3.31,129,2021-12-05 00:00:00,1,0,2024-07-20 12:37:53,0,2024-07-20 12:37:53,,,
2021-11-28,中国原油综合进口到岸价格指数,119.70,-5.09,-4.08,130,2021-11-28 00:00:00,1,0,2024-07-20 12:37:53,0,2024-07-20 12:37:53,,,
2021-11-21,中国原油综合进口到岸价格指数,124.79,1.04,0.84,131,2021-11-21 00:00:00,1,0,2024-07-20 12:37:53,0,2024-07-20 12:37:53,,,
2021-11-14,中国原油综合进口到岸价格指数,123.75,3.23,2.68,132,2021-11-14 00:00:00,1,0,2024-07-20 12:37:53,0,2024-07-20 12:37:53,,,
2021-11-07,中国原油综合进口到岸价格指数,120.52,-0.86,-0.71,133,2021-11-07 00:00:00,1,0,2024-07-20 12:37:53,0,2024-07-20 12:37:53,,,
2021-10-31,中国原油综合进口到岸价格指数,121.38,8.00,7.06,134,2021-10-31 00:00:00,1,0,2024-07-20 12:37:53,0,2024-07-20 12:37:53,,,
2021-10-24,中国原油综合进口到岸价格指数,113.38,0.58,0.51,135,2021-10-24 00:00:00,1,0,2024-07-20 12:37:53,0,2024-07-20 12:37:53,,,
2021-10-17,中国原油综合进口到岸价格指数,112.80,3.59,3.29,136,2021-10-17 00:00:00,1,0,2024-07-20 12:37:53,0,2024-07-20 12:37:53,,,
2021-10-10,中国原油综合进口到岸价格指数,109.21,-2.07,-1.86,137,2021-10-10 00:00:00,1,0,2024-07-20 12:37:53,0,2024-07-20 12:37:53,,,
2021-10-03,中国原油综合进口到岸价格指数,111.28,3.06,2.83,138,2021-10-03 00:00:00,1,0,2024-07-20 12:37:53,0,2024-07-20 12:37:53,,,
2021-09-26,中国原油综合进口到岸价格指数,108.22,-2.22,-2.01,139,2021-09-26 00:00:00,1,0,2024-07-20 12:37:53,0,2024-07-20 12:37:53,,,
2021-09-19,中国原油综合进口到岸价格指数,110.44,0.50,0.45,140,2021-09-19 00:00:00,1,0,2024-07-20 12:37:53,0,2024-07-20 12:37:53,,,
2021-09-12,中国原油综合进口到岸价格指数,109.94,2.32,2.16,141,2021-09-12 00:00:00,1,0,2024-07-20 12:37:53,0,2024-07-20 12:37:53,,,
2021-09-05,中国原油综合进口到岸价格指数,107.62,-2.29,-2.08,142,2021-09-05 00:00:00,1,0,2024-07-20 12:37:53,0,2024-07-20 12:37:53,,,
2021-08-29,中国原油综合进口到岸价格指数,109.91,-2.31,-2.06,143,2021-08-29 00:00:00,1,0,2024-07-20 12:37:53,0,2024-07-20 12:37:53,,,
2021-08-22,中国原油综合进口到岸价格指数,112.22,-1.23,-1.08,144,2021-08-22 00:00:00,1,0,2024-07-20 12:37:53,0,2024-07-20 12:37:53,,,
2021-08-15,中国原油综合进口到岸价格指数,113.45,1.87,1.68,145,2021-08-15 00:00:00,1,0,2024-07-20 12:37:53,0,2024-07-20 12:37:53,,,
2021-08-08,中国原油综合进口到岸价格指数,111.58,1.16,1.05,146,2021-08-08 00:00:00,1,0,2024-07-20 12:37:53,0,2024-07-20 12:37:53,,,
2021-08-01,中国原油综合进口到岸价格指数,110.42,-0.73,-0.66,147,2021-08-01 00:00:00,1,0,2024-07-20 12:37:53,0,2024-07-20 12:37:53,,,
2021-07-25,中国原油综合进口到岸价格指数,111.15,1.67,1.53,148,2021-07-25 00:00:00,1,0,2024-07-20 12:37:53,0,2024-07-20 12:37:53,,,
2021-07-18,中国原油综合进口到岸价格指数,109.48,0.39,0.36,149,2021-07-18 00:00:00,1,0,2024-07-20 12:37:53,0,2024-07-20 12:37:53,,,
2021-07-11,中国原油综合进口到岸价格指数,109.09,1.16,1.07,150,2021-07-11 00:00:00,1,0,2024-07-20 12:37:53,0,2024-07-20 12:37:53,,,
2021-07-04,中国原油综合进口到岸价格指数,107.93,2.41,2.28,151,2021-07-04 00:00:00,1,0,2024-07-20 12:37:57,0,2024-07-20 12:37:57,,,
2021-06-27,中国原油综合进口到岸价格指数,105.52,4.23,4.18,152,2021-06-27 00:00:00,1,0,2024-07-20 12:37:57,0,2024-07-20 12:37:57,,,
2021-06-20,中国原油综合进口到岸价格指数,101.29,-2.89,-2.77,153,2021-06-20 00:00:00,1,0,2024-07-20 12:37:57,0,2024-07-20 12:37:57,,,
2021-06-13,中国原油综合进口到岸价格指数,104.18,3.43,3.40,154,2021-06-13 00:00:00,1,0,2024-07-20 12:37:57,0,2024-07-20 12:37:57,,,
2021-06-06,中国原油综合进口到岸价格指数,100.75,-0.74,-0.73,155,2021-06-06 00:00:00,1,0,2024-07-20 12:37:57,0,2024-07-20 12:37:57,,,
2021-05-30,中国原油综合进口到岸价格指数,101.49,3.19,3.25,156,2021-05-30 00:00:00,1,0,2024-07-20 12:37:57,0,2024-07-20 12:37:57,,,
2021-05-23,中国原油综合进口到岸价格指数,98.30,-0.52,-0.53,157,2021-05-23 00:00:00,1,0,2024-07-20 12:37:57,0,2024-07-20 12:37:57,,,
