时间,项目名称,累计值(亿元),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2020-09,火电,330.00,164,2020-09-30 00:00:00,1,0,2024-07-20 16:08:59,0,2024-07-20 16:08:59,,,
2020-08,水电,552.00,165,2020-08-31 00:00:00,1,0,2024-07-20 16:08:59,0,2024-07-20 16:08:59,,,
2020-08,火电,267.00,166,2020-08-31 00:00:00,1,0,2024-07-20 16:08:59,0,2024-07-20 16:08:59,,,
2020-08,核电,202.00,167,2020-08-31 00:00:00,1,0,2024-07-20 16:08:59,0,2024-07-20 16:08:59,,,
2020-08,合计,2555.00,168,2020-08-31 00:00:00,1,0,2024-07-20 16:08:59,0,2024-07-20 16:08:59,,,
2020-07,核电,176.00,169,2020-07-31 00:00:00,1,0,2024-07-20 16:08:59,0,2024-07-20 16:08:59,,,
2020-07,火电,227.00,170,2020-07-31 00:00:00,1,0,2024-07-20 16:08:59,0,2024-07-20 16:08:59,,,
2020-07,合计,2139.00,171,2020-07-31 00:00:00,1,0,2024-07-20 16:08:59,0,2024-07-20 16:08:59,,,
2020-07,水电,444.00,172,2020-07-31 00:00:00,1,0,2024-07-20 16:08:59,0,2024-07-20 16:08:59,,,
2020-06,水电,399.00,173,2020-06-30 00:00:00,1,0,2024-07-20 16:08:59,0,2024-07-20 16:08:59,,,
2020-06,核电,156.00,174,2020-06-30 00:00:00,1,0,2024-07-20 16:08:59,0,2024-07-20 16:08:59,,,
2020-06,火电,183.00,175,2020-06-30 00:00:00,1,0,2024-07-20 16:08:59,0,2024-07-20 16:08:59,,,
2020-06,合计,1738.00,176,2020-06-30 00:00:00,1,0,2024-07-20 16:08:59,0,2024-07-20 16:08:59,,,
2020-05,火电,133.00,177,2020-05-31 00:00:00,1,0,2024-07-20 16:08:59,0,2024-07-20 16:08:59,,,
2020-05,水电,299.00,178,2020-05-31 00:00:00,1,0,2024-07-20 16:08:59,0,2024-07-20 16:08:59,,,
2020-05,合计,1264.00,179,2020-05-31 00:00:00,1,0,2024-07-20 16:08:59,0,2024-07-20 16:08:59,,,
2020-05,核电,103.00,180,2020-05-31 00:00:00,1,0,2024-07-20 16:08:59,0,2024-07-20 16:08:59,,,
2020-04,水电,212.00,181,2020-04-30 00:00:00,1,0,2024-07-20 16:09:03,0,2024-07-20 16:09:03,,,
2020-04,合计,889.00,182,2020-04-30 00:00:00,1,0,2024-07-20 16:09:03,0,2024-07-20 16:09:03,,,
2020-04,核电,80.00,183,2020-04-30 00:00:00,1,0,2024-07-20 16:09:03,0,2024-07-20 16:09:03,,,
2020-04,火电,96.00,184,2020-04-30 00:00:00,1,0,2024-07-20 16:09:03,0,2024-07-20 16:09:03,,,
2020-03,火电,62.00,185,2020-03-31 00:00:00,1,0,2024-07-20 16:09:03,0,2024-07-20 16:09:03,,,
2020-03,水电,136.00,186,2020-03-31 00:00:00,1,0,2024-07-20 16:09:03,0,2024-07-20 16:09:03,,,
2020-03,合计,596.00,187,2020-03-31 00:00:00,1,0,2024-07-20 16:09:03,0,2024-07-20 16:09:03,,,
2020-03,核电,65.00,188,2020-03-31 00:00:00,1,0,2024-07-20 16:09:03,0,2024-07-20 16:09:03,,,
2020-02,合计,217.00,189,2020-02-29 00:00:00,1,0,2024-07-20 16:09:03,0,2024-07-20 16:09:03,,,
2020-02,核电,29.00,190,2020-02-29 00:00:00,1,0,2024-07-20 16:09:03,0,2024-07-20 16:09:03,,,
2020-02,火电,34.00,191,2020-02-29 00:00:00,1,0,2024-07-20 16:09:03,0,2024-07-20 16:09:03,,,
2020-02,水电,65.00,192,2020-02-29 00:00:00,1,0,2024-07-20 16:09:03,0,2024-07-20 16:09:03,,,
2019-12,水电,814.00,193,2019-12-31 00:00:00,1,0,2024-07-20 16:09:03,0,2024-07-20 16:09:03,,,
2019-12,合计,3139.00,194,2019-12-31 00:00:00,1,0,2024-07-20 16:09:03,0,2024-07-20 16:09:03,,,
2019-12,核电,335.00,195,2019-12-31 00:00:00,1,0,2024-07-20 16:09:03,0,2024-07-20 16:09:03,,,
2019-12,火电,630.00,196,2019-12-31 00:00:00,1,0,2024-07-20 16:09:03,0,2024-07-20 16:09:03,,,
2019-11,火电,529.00,197,2019-11-30 00:00:00,1,0,2024-07-20 16:09:03,0,2024-07-20 16:09:03,,,
2019-11,水电,672.00,198,2019-11-30 00:00:00,1,0,2024-07-20 16:09:03,0,2024-07-20 16:09:03,,,
2019-11,合计,2471.00,199,2019-11-30 00:00:00,1,0,2024-07-20 16:09:03,0,2024-07-20 16:09:03,,,
2019-11,核电,265.00,200,2019-11-30 00:00:00,1,0,2024-07-20 16:09:03,0,2024-07-20 16:09:03,,,
2019-10,火电,415.00,201,2019-10-31 00:00:00,1,0,2024-07-20 16:09:03,0,2024-07-20 16:09:03,,,
2019-10,合计,2065.00,202,2019-10-31 00:00:00,1,0,2024-07-20 16:09:03,0,2024-07-20 16:09:03,,,
2019-10,核电,236.00,203,2019-10-31 00:00:00,1,0,2024-07-20 16:09:03,0,2024-07-20 16:09:03,,,
2019-10,水电,611.00,204,2019-10-31 00:00:00,1,0,2024-07-20 16:09:03,0,2024-07-20 16:09:03,,,
2019-09,合计,1797.00,205,2019-09-30 00:00:00,1,0,2024-07-20 16:09:03,0,2024-07-20 16:09:03,,,
2019-09,核电,218.00,206,2019-09-30 00:00:00,1,0,2024-07-20 16:09:03,0,2024-07-20 16:09:03,,,
2019-09,水电,526.00,207,2019-09-30 00:00:00,1,0,2024-07-20 16:09:03,0,2024-07-20 16:09:03,,,
2019-09,火电,374.00,208,2019-09-30 00:00:00,1,0,2024-07-20 16:09:03,0,2024-07-20 16:09:03,,,
2019-08,水电,456.00,209,2019-08-31 00:00:00,1,0,2024-07-20 16:09:03,0,2024-07-20 16:09:03,,,
2019-08,火电,334.00,210,2019-08-31 00:00:00,1,0,2024-07-20 16:09:03,0,2024-07-20 16:09:03,,,
2019-08,合计,1533.00,211,2019-08-31 00:00:00,1,0,2024-07-20 16:09:05,0,2024-07-20 16:09:05,,,
2019-08,核电,191.00,212,2019-08-31 00:00:00,1,0,2024-07-20 16:09:05,0,2024-07-20 16:09:05,,,
2019-07,合计,1246.00,213,2019-07-31 00:00:00,1,0,2024-07-20 16:09:05,0,2024-07-20 16:09:05,,,
2019-07,火电,254.00,214,2019-07-31 00:00:00,1,0,2024-07-20 16:09:05,0,2024-07-20 16:09:05,,,
2019-07,水电,411.00,215,2019-07-31 00:00:00,1,0,2024-07-20 16:09:05,0,2024-07-20 16:09:05,,,
2019-07,核电,165.00,216,2019-07-31 00:00:00,1,0,2024-07-20 16:09:05,0,2024-07-20 16:09:05,,,
2019-06,火电,219.00,217,2019-06-30 00:00:00,1,0,2024-07-20 16:09:05,0,2024-07-20 16:09:05,,,
2019-06,核电,143.00,218,2019-06-30 00:00:00,1,0,2024-07-20 16:09:05,0,2024-07-20 16:09:05,,,
2019-06,水电,304.00,219,2019-06-30 00:00:00,1,0,2024-07-20 16:09:05,0,2024-07-20 16:09:05,,,
