时间,项目名称,当期值,累计值,累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2021-05,出口数量(万吨),10.00,110.00,-27.40,75,2021-05-31 00:00:00,1,0,2024-07-20 14:45:01,0,2024-07-20 14:45:01,,,
2021-05,出口金额(千美元),17591.00,172592.00,-23.60,76,2021-05-31 00:00:00,1,0,2024-07-20 14:45:01,0,2024-07-20 14:45:01,,,
2021-04,出口数量(万吨),24.00,100.00,-29.50,77,2021-04-30 00:00:00,1,0,2024-07-20 14:45:01,0,2024-07-20 14:45:01,,,
2021-04,出口金额(千美元),45147.00,155001.00,-26.70,78,2021-04-30 00:00:00,1,0,2024-07-20 14:45:01,0,2024-07-20 14:45:01,,,
2021-03,出口数量(万吨),16.00,77.00,-30.90,79,2021-03-31 00:00:00,1,0,2024-07-20 14:45:01,0,2024-07-20 14:45:01,,,
2021-03,出口金额(千美元),29572.00,109872.00,-31.40,80,2021-03-31 00:00:00,1,0,2024-07-20 14:45:01,0,2024-07-20 14:45:01,,,
2021-02,出口数量(万吨),26.00,61.00,21.40,81,2021-02-28 00:00:00,1,0,2024-07-20 14:45:01,0,2024-07-20 14:45:01,,,
2021-02,出口金额(千美元),32305.00,80289.00,1.40,82,2021-02-28 00:00:00,1,0,2024-07-20 14:45:01,0,2024-07-20 14:45:01,,,
2021-01,出口数量(万吨),35.00,35.00,21.60,83,2021-01-31 00:00:00,1,0,2024-07-20 14:45:01,0,2024-07-20 14:45:01,,,
2021-01,出口金额(千美元),47984.00,47984.00,-0.80,84,2021-01-31 00:00:00,1,0,2024-07-20 14:45:01,0,2024-07-20 14:45:01,,,
2020-12,出口数量(万吨),9.00,319.00,-47.10,85,2020-12-31 00:00:00,1,0,2024-07-20 14:45:01,0,2024-07-20 14:45:01,,,
2020-12,出口金额(千美元),13686.00,435761.00,-53.30,86,2020-12-31 00:00:00,1,0,2024-07-20 14:45:01,0,2024-07-20 14:45:01,,,
2020-11,出口数量(万吨),17.00,310.00,-42.10,87,2020-11-30 00:00:00,1,0,2024-07-20 14:45:01,0,2024-07-20 14:45:01,,,
2020-11,出口金额(千美元),24316.00,422075.00,-50.00,88,2020-11-30 00:00:00,1,0,2024-07-20 14:45:01,0,2024-07-20 14:45:01,,,
2020-10,出口数量(万吨),19.00,293.00,-35.60,89,2020-10-31 00:00:00,1,0,2024-07-20 14:45:01,0,2024-07-20 14:45:01,,,
2020-10,出口金额(千美元),24094.00,397758.00,-46.20,90,2020-10-31 00:00:00,1,0,2024-07-20 14:45:01,0,2024-07-20 14:45:01,,,
2020-09,出口数量(万吨),34.00,274.00,-35.00,91,2020-09-30 00:00:00,1,0,2024-07-20 14:45:05,0,2024-07-20 14:45:05,,,
2020-09,出口金额(千美元),43900.00,373665.00,-45.60,92,2020-09-30 00:00:00,1,0,2024-07-20 14:45:05,0,2024-07-20 14:45:05,,,
2020-08,出口数量(万吨),17.00,241.00,-39.50,93,2020-08-31 00:00:00,1,0,2024-07-20 14:45:05,0,2024-07-20 14:45:05,,,
2020-08,出口金额(千美元),22757.00,329764.00,-48.90,94,2020-08-31 00:00:00,1,0,2024-07-20 14:45:05,0,2024-07-20 14:45:05,,,
2020-07,出口数量(万吨),50.00,223.00,-38.60,95,2020-07-31 00:00:00,1,0,2024-07-20 14:45:05,0,2024-07-20 14:45:05,,,
2020-07,出口金额(千美元),52250.00,307007.00,-48.30,96,2020-07-31 00:00:00,1,0,2024-07-20 14:45:05,0,2024-07-20 14:45:05,,,
2020-06,出口数量(万吨),22.00,174.00,-41.70,97,2020-06-30 00:00:00,1,0,2024-07-20 14:45:05,0,2024-07-20 14:45:05,,,
2020-06,出口金额(千美元),28770.00,254757.00,-49.40,98,2020-06-30 00:00:00,1,0,2024-07-20 14:45:05,0,2024-07-20 14:45:05,,,
2020-05,出口数量(万吨),10.00,152.00,-42.50,99,2020-05-31 00:00:00,1,0,2024-07-20 14:45:05,0,2024-07-20 14:45:05,,,
2020-05,出口金额(千美元),14558.00,225987.00,-49.50,100,2020-05-31 00:00:00,1,0,2024-07-20 14:45:05,0,2024-07-20 14:45:05,,,
2020-04,出口数量(万吨),31.00,142.00,-38.90,101,2020-04-30 00:00:00,1,0,2024-07-20 14:45:05,0,2024-07-20 14:45:05,,,
2020-04,出口金额(千美元),51265.00,211429.00,-45.60,102,2020-04-30 00:00:00,1,0,2024-07-20 14:45:05,0,2024-07-20 14:45:05,,,
2020-03,出口数量(万吨),61.00,111.00,-39.10,103,2020-03-31 00:00:00,1,0,2024-07-20 14:45:05,0,2024-07-20 14:45:05,,,
2020-03,出口金额(千美元),80985.00,160165.00,-46.60,104,2020-03-31 00:00:00,1,0,2024-07-20 14:45:05,0,2024-07-20 14:45:05,,,
2020-02,出口数量(万吨),0.00,50.00,-60.20,105,2020-02-29 00:00:00,1,0,2024-07-20 14:45:05,0,2024-07-20 14:45:05,,,
2020-02,出口金额(千美元),0.00,79180.00,-61.90,106,2020-02-29 00:00:00,1,0,2024-07-20 14:45:05,0,2024-07-20 14:45:05,,,
2019-12,出口数量(万吨),67.50,602.50,22.10,107,2019-12-31 00:00:00,1,0,2024-07-20 14:45:05,0,2024-07-20 14:45:05,,,
2019-12,出口金额(千美元),90300.00,933800.00,18.60,108,2019-12-31 00:00:00,1,0,2024-07-20 14:45:05,0,2024-07-20 14:45:05,,,
2019-11,出口数量(万吨),79.20,535.00,15.70,109,2019-11-30 00:00:00,1,0,2024-07-20 14:45:05,0,2024-07-20 14:45:05,,,
2019-11,出口金额(千美元),103800.00,843700.00,14.90,110,2019-11-30 00:00:00,1,0,2024-07-20 14:45:05,0,2024-07-20 14:45:05,,,
2019-10,出口数量(万吨),34.00,455.70,15.80,111,2019-10-31 00:00:00,1,0,2024-07-20 14:45:05,0,2024-07-20 14:45:05,,,
2019-10,出口金额(千美元),53000.00,739800.00,18.60,112,2019-10-31 00:00:00,1,0,2024-07-20 14:45:05,0,2024-07-20 14:45:05,,,
2019-09,出口数量(万吨),23.80,421.80,22.20,113,2019-09-30 00:00:00,1,0,2024-07-20 14:45:05,0,2024-07-20 14:45:05,,,
2019-09,出口金额(千美元),41700.00,686300.00,23.50,114,2019-09-30 00:00:00,1,0,2024-07-20 14:45:05,0,2024-07-20 14:45:05,,,
2019-08,出口数量(万吨),34.10,397.90,21.50,115,2019-08-31 00:00:00,1,0,2024-07-20 14:45:05,0,2024-07-20 14:45:05,,,
2019-08,出口金额(千美元),50700.00,644600.00,23.80,116,2019-08-31 00:00:00,1,0,2024-07-20 14:45:05,0,2024-07-20 14:45:05,,,
2019-07,出口数量(万吨),66.20,363.90,30.50,117,2019-07-31 00:00:00,1,0,2024-07-20 14:45:05,0,2024-07-20 14:45:05,,,
2019-07,出口金额(千美元),91000.00,594000.00,31.90,118,2019-07-31 00:00:00,1,0,2024-07-20 14:45:05,0,2024-07-20 14:45:05,,,
2019-06,出口数量(万吨),33.20,297.70,25.90,119,2019-06-30 00:00:00,1,0,2024-07-20 14:45:05,0,2024-07-20 14:45:05,,,
2019-06,出口金额(千美元),55400.00,503000.00,28.90,120,2019-06-30 00:00:00,1,0,2024-07-20 14:45:05,0,2024-07-20 14:45:05,,,
2019-05,出口数量(万吨),31.90,264.60,31.50,121,2019-05-31 00:00:00,1,0,2024-07-20 14:45:09,0,2024-07-20 14:45:09,,,
2019-05,出口金额(千美元),58800.00,447600.00,39.60,122,2019-05-31 00:00:00,1,0,2024-07-20 14:45:09,0,2024-07-20 14:45:09,,,
2019-04,出口数量(万吨),50.30,232.70,57.30,123,2019-04-30 00:00:00,1,0,2024-07-20 14:45:09,0,2024-07-20 14:45:09,,,
2019-04,出口金额(千美元),89100.00,388900.00,58.00,124,2019-04-30 00:00:00,1,0,2024-07-20 14:45:09,0,2024-07-20 14:45:09,,,
2019-03,出口数量(万吨),56.50,182.40,88.50,125,2019-03-31 00:00:00,1,0,2024-07-20 14:45:09,0,2024-07-20 14:45:09,,,
2019-03,出口金额(千美元),91800.00,299900.00,82.00,126,2019-03-31 00:00:00,1,0,2024-07-20 14:45:09,0,2024-07-20 14:45:09,,,
2019-02,出口数量(万吨),65.70,125.90,68.10,127,2019-02-28 00:00:00,1,0,2024-07-20 14:45:09,0,2024-07-20 14:45:09,,,
2019-02,出口金额(千美元),97700.00,208100.00,77.00,128,2019-02-28 00:00:00,1,0,2024-07-20 14:45:09,0,2024-07-20 14:45:09,,,
2019-01,出口数量(万吨),60.20,60.20,114.60,129,2019-01-31 00:00:00,1,0,2024-07-20 14:45:09,0,2024-07-20 14:45:09,,,
2019-01,出口金额(千美元),110400.00,110400.00,92.80,130,2019-01-31 00:00:00,1,0,2024-07-20 14:45:09,0,2024-07-20 14:45:09,,,
2018-12,出口数量(万吨),31.00,493.40,-39.00,131,2018-12-31 00:00:00,1,0,2024-07-20 14:45:09,0,2024-07-20 14:45:09,,,
2018-12,出口金额(千美元),53500.00,787300.00,-27.60,132,2018-12-31 00:00:00,1,0,2024-07-20 14:45:09,0,2024-07-20 14:45:09,,,
