时间,港口名称,规格品,本期价格(元/吨),上期(元/吨),环比增减(元/吨),环比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06-26,京唐港,4500K,580 - 590,580 - 590,0.00,0.00,100,2024-06-26 00:00:00,1,0,2024-07-20 05:48:55,0,2024-07-20 05:48:55,,,
2024-06-19,环渤海,5500K,718,718,0.00,0.00,101,2024-06-19 00:00:00,1,0,2024-07-20 05:48:55,0,2024-07-20 05:48:55,,,
2024-06-19,秦皇岛港,5800K,750 - 760,750 - 760,0.00,0.00,102,2024-06-19 00:00:00,1,0,2024-07-20 05:48:55,0,2024-07-20 05:48:55,,,
2024-06-19,秦皇岛港,5500K,715 - 725,715 - 725,0.00,0.00,103,2024-06-19 00:00:00,1,0,2024-07-20 05:48:55,0,2024-07-20 05:48:55,,,
2024-06-19,秦皇岛港,5000K,645 - 655,645 - 655,0.00,0.00,104,2024-06-19 00:00:00,1,0,2024-07-20 05:48:55,0,2024-07-20 05:48:55,,,
2024-06-19,秦皇岛港,4500K,580 - 590,580 - 590,0.00,0.00,105,2024-06-19 00:00:00,1,0,2024-07-20 05:48:55,0,2024-07-20 05:48:55,,,
2024-06-19,黄骅港,5800K,750 - 760,750 - 760,0.00,0.00,106,2024-06-19 00:00:00,1,0,2024-07-20 05:48:55,0,2024-07-20 05:48:55,,,
2024-06-19,黄骅港,5500K,715 - 725,715 - 725,0.00,0.00,107,2024-06-19 00:00:00,1,0,2024-07-20 05:48:55,0,2024-07-20 05:48:55,,,
2024-06-19,黄骅港,5000K,645 - 655,645 - 655,0.00,0.00,108,2024-06-19 00:00:00,1,0,2024-07-20 05:48:55,0,2024-07-20 05:48:55,,,
2024-06-19,黄骅港,4500K,580 - 590,580 - 590,0.00,0.00,109,2024-06-19 00:00:00,1,0,2024-07-20 05:48:55,0,2024-07-20 05:48:55,,,
2024-06-19,天津港,5800K,750 - 760,750 - 760,0.00,0.00,110,2024-06-19 00:00:00,1,0,2024-07-20 05:48:55,0,2024-07-20 05:48:55,,,
2024-06-19,天津港,5500K,715 - 725,715 - 725,0.00,0.00,111,2024-06-19 00:00:00,1,0,2024-07-20 05:48:55,0,2024-07-20 05:48:55,,,
2024-06-19,天津港,5000K,645 - 655,645 - 655,0.00,0.00,112,2024-06-19 00:00:00,1,0,2024-07-20 05:48:55,0,2024-07-20 05:48:55,,,
2024-06-19,天津港,4500K,580 - 590,580 - 590,0.00,0.00,113,2024-06-19 00:00:00,1,0,2024-07-20 05:48:55,0,2024-07-20 05:48:55,,,
2024-06-19,曹妃甸港,5800K,750 - 760,750 - 760,0.00,0.00,114,2024-06-19 00:00:00,1,0,2024-07-20 05:48:55,0,2024-07-20 05:48:55,,,
2024-06-19,曹妃甸港,5500K,715 - 725,715 - 725,0.00,0.00,115,2024-06-19 00:00:00,1,0,2024-07-20 05:48:55,0,2024-07-20 05:48:55,,,
