时间,数据类目,本期(美元/吨),上期(美元/吨),环比增减(美元/吨),环比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2018-09,HBA,104.81,107.83,-3.02,-2.8%,102,2018-09-30 00:00:00,1,0,2024-07-20 06:32:03,0,2024-07-20 06:32:03,,,
2018-08,HBA,107.83,104.65,3.18,3.04%,103,2018-08-31 00:00:00,1,0,2024-07-20 06:32:03,0,2024-07-20 06:32:03,,,
2018-07,HBA,104.65,96.61,8.04,8.32%,104,2018-07-31 00:00:00,1,0,2024-07-20 06:32:03,0,2024-07-20 06:32:03,,,
2018-06,HBA,96.61,89.53,7.08,7.91%,105,2018-06-30 00:00:00,1,0,2024-07-20 06:32:03,0,2024-07-20 06:32:03,,,
2018-05,HBA,89.53,94.75,-5.22,-5.51%,106,2018-05-31 00:00:00,1,0,2024-07-20 06:32:03,0,2024-07-20 06:32:03,,,
2018-04,HBA,94.75,101.90,-7.15,-7.02%,107,2018-04-30 00:00:00,1,0,2024-07-20 06:32:03,0,2024-07-20 06:32:03,,,
2018-03,HBA,101.90,100.70,1.20,1.19%,108,2018-03-31 00:00:00,1,0,2024-07-20 06:32:03,0,2024-07-20 06:32:03,,,
2018-02,HBA,100.70,95.54,5.16,5.4%,109,2018-02-28 00:00:00,1,0,2024-07-20 06:32:03,0,2024-07-20 06:32:03,,,
2018-01,HBA,95.54,94.04,1.50,1.6%,110,2018-01-31 00:00:00,1,0,2024-07-20 06:32:03,0,2024-07-20 06:32:03,,,
2017-12,HBA,94.04,94.80,-0.76,-0.8%,111,2017-12-31 00:00:00,1,0,2024-07-20 06:32:03,0,2024-07-20 06:32:03,,,
2017-11,HBA,94.80,94.00,0.80,0.85%,112,2017-11-30 00:00:00,1,0,2024-07-20 06:32:03,0,2024-07-20 06:32:03,,,
2017-10,HBA,94.00,92.00,2.00,2.17%,113,2017-10-31 00:00:00,1,0,2024-07-20 06:32:03,0,2024-07-20 06:32:03,,,
2017-09,HBA,92.00,83.97,8.03,9.56%,114,2017-09-30 00:00:00,1,0,2024-07-20 06:32:03,0,2024-07-20 06:32:03,,,
2017-08,HBA,83.97,79.00,4.97,6.29%,115,2017-08-31 00:00:00,1,0,2024-07-20 06:32:03,0,2024-07-20 06:32:03,,,
2017-07,HBA,79.00,75.46,3.54,4.69%,116,2017-07-31 00:00:00,1,0,2024-07-20 06:32:03,0,2024-07-20 06:32:03,,,
2017-06,HBA,75.46,83.80,-8.34,-9.95%,117,2017-06-30 00:00:00,1,0,2024-07-20 06:32:03,0,2024-07-20 06:32:03,,,
2017-05,HBA,83.80,82.50,1.30,1.58%,118,2017-05-31 00:00:00,1,0,2024-07-20 06:32:03,0,2024-07-20 06:32:03,,,
2017-04,HBA,82.50,81.90,0.60,0.73%,119,2017-04-30 00:00:00,1,0,2024-07-20 06:32:03,0,2024-07-20 06:32:03,,,
2017-03,HBA,81.90,83.32,-1.42,-1.7%,120,2017-03-31 00:00:00,1,0,2024-07-20 06:32:03,0,2024-07-20 06:32:03,,,
2017-02,HBA,83.32,86.23,-2.91,-3.37%,121,2017-02-28 00:00:00,1,0,2024-07-20 06:32:05,0,2024-07-20 06:32:05,,,
2017-01,HBA,86.23,101.70,-15.47,-15.21%,122,2017-01-31 00:00:00,1,0,2024-07-20 06:32:05,0,2024-07-20 06:32:05,,,
2024-07,HBA,130.44,123.00,7.44,6.05%,198,2024-07-31 00:00:00,1,0,2024-08-01 10:38:03,0,2024-08-01 10:38:03,,,
2024-07,HBA I,91.85,88.65,3.20,3.61%,199,2024-07-31 00:00:00,1,0,2024-08-01 10:38:03,0,2024-08-01 10:38:03,,,
2024-07,HBA II,56.09,54.79,1.30,2.37%,200,2024-07-31 00:00:00,1,0,2024-08-01 10:38:03,0,2024-08-01 10:38:03,,,
2024-10,HBA,131.17,125.15,6.02,4.81%,201,2024-10-31 00:00:00,1,0,2024-11-07 01:33:59,0,2024-11-07 01:33:59,,,
2024-10,HBA I,79.69,85.01,-5.32,-6.26%,202,2024-10-31 00:00:00,1,0,2024-11-07 01:33:59,0,2024-11-07 01:33:59,,,
2024-10,HBA II,52.41,53.26,-0.85,-1.6%,203,2024-10-31 00:00:00,1,0,2024-11-07 01:33:59,0,2024-11-07 01:33:59,,,
2024-09,HBA,125.15,115.29,9.86,8.55%,204,2024-09-30 00:00:00,1,0,2024-11-07 01:33:59,0,2024-11-07 01:33:59,,,
2024-09,HBA I,85.01,86.20,-1.19,-1.38%,205,2024-09-30 00:00:00,1,0,2024-11-07 01:33:59,0,2024-11-07 01:33:59,,,
2024-09,HBA II,53.26,54.63,-1.37,-2.51%,206,2024-09-30 00:00:00,1,0,2024-11-07 01:33:59,0,2024-11-07 01:33:59,,,
2024-08,HBA,115.29,130.44,-15.15,-11.61%,207,2024-08-31 00:00:00,1,0,2024-11-07 01:33:59,0,2024-11-07 01:33:59,,,
2024-08,HBA I,86.20,91.85,-5.65,-6.15%,208,2024-08-31 00:00:00,1,0,2024-11-07 01:33:59,0,2024-11-07 01:33:59,,,
2024-08,HBA II,54.63,56.09,-1.46,-2.6%,209,2024-08-31 00:00:00,1,0,2024-11-07 01:33:59,0,2024-11-07 01:33:59,,,
2024-11,HBA,114.43,131.17,-16.74,-12.76%,210,2024-11-30 00:00:00,1,0,2024-11-22 23:15:24,0,2024-11-22 23:15:24,,,
2024-11,HBA I,83.46,79.69,3.77,4.73%,211,2024-11-30 00:00:00,1,0,2024-11-22 23:15:24,0,2024-11-22 23:15:24,,,
2024-11,HBA II,51.91,52.41,-0.50,-0.95%,212,2024-11-30 00:00:00,1,0,2024-11-22 23:15:24,0,2024-11-22 23:15:24,,,
2024-12,HBA,122.51,114.43,8.08,7.06%,213,2024-12-31 00:00:00,1,0,2024-12-24 23:15:12,0,2024-12-24 23:15:12,,,
2024-12,HBA I,81.59,83.46,-1.87,-2.24%,214,2024-12-31 00:00:00,1,0,2024-12-24 23:15:12,0,2024-12-24 23:15:12,,,
2024-12,HBA II,51.78,51.91,-0.13,-0.25%,215,2024-12-31 00:00:00,1,0,2024-12-24 23:15:12,0,2024-12-24 23:15:12,,,
2025-01,HBA,124.01,122.51,1.50,1.22%,216,2025-01-31 00:00:00,1,0,2025-01-24 23:14:53,0,2025-01-24 23:14:53,,,
2025-01,HBA I,83.95,81.59,2.36,2.89%,217,2025-01-31 00:00:00,1,0,2025-01-24 23:14:53,0,2025-01-24 23:14:53,,,
2025-01,HBA II,52.75,51.78,0.97,1.87%,218,2025-01-31 00:00:00,1,0,2025-01-24 23:14:53,0,2025-01-24 23:14:53,,,
2025-02,HBA,124.24,124.01,0.23,0.19%,219,2025-02-28 00:00:00,1,0,2025-02-21 23:14:46,0,2025-02-21 23:14:46,,,
2025-02,HBA I,82.26,83.95,-1.69,-2.01%,220,2025-02-28 00:00:00,1,0,2025-02-21 23:14:46,0,2025-02-21 23:14:46,,,
2025-02,HBA II,50.52,52.75,-2.23,-4.23%,221,2025-02-28 00:00:00,1,0,2025-02-21 23:14:46,0,2025-02-21 23:14:46,,,
2025-03,HBA,128.24,124.24,4.00,3.22%,222,2025-03-31 00:00:00,1,0,2025-03-03 23:15:17,0,2025-03-03 23:15:17,,,
2025-03,HBA I,82.66,82.26,0.40,0.49%,223,2025-03-31 00:00:00,1,0,2025-03-03 23:15:17,0,2025-03-03 23:15:17,,,
2025-03,HBA II,50.70,50.52,0.18,0.36%,224,2025-03-31 00:00:00,1,0,2025-03-03 23:15:17,0,2025-03-03 23:15:17,,,
2025-03-01,HBA,128.24,124.24,4.00,3.22%,225,2025-03-01 00:00:00,1,0,2025-03-17 23:14:34,0,2025-03-17 23:14:34,,,
2025-03-01,HBA I,82.66,82.26,0.40,0.49%,226,2025-03-01 00:00:00,1,0,2025-03-17 23:14:34,0,2025-03-17 23:14:34,,,
2025-03-01,HBA II,50.70,50.52,0.18,0.36%,227,2025-03-01 00:00:00,1,0,2025-03-17 23:14:34,0,2025-03-17 23:14:34,,,
2025-03-01,HBA III,34.16,34.38,-0.22,-0.64%,228,2025-03-01 00:00:00,1,0,2025-03-17 23:14:34,0,2025-03-17 23:14:34,,,
2025-03-15,HBA,117.76,128.24,-10.48,-8.17%,229,2025-03-15 00:00:00,1,0,2025-03-18 23:15:21,0,2025-03-18 23:15:21,,,
2025-03-15,HBA I,80.70,82.66,-1.96,-2.37%,230,2025-03-15 00:00:00,1,0,2025-03-18 23:15:21,0,2025-03-18 23:15:21,,,
2025-03-15,HBA II,49.44,50.70,-1.26,-2.49%,231,2025-03-15 00:00:00,1,0,2025-03-18 23:15:21,0,2025-03-18 23:15:21,,,
2025-03-15,HBA III,33.71,34.16,-0.45,-1.32%,232,2025-03-15 00:00:00,1,0,2025-03-18 23:15:21,0,2025-03-18 23:15:21,,,
2025-04-01,HBA,123.32,117.76,5.56,4.72%,233,2025-04-01 00:00:00,1,0,2025-04-01 23:14:30,0,2025-04-01 23:14:30,,,
2025-04-01,HBA I,78.40,80.70,-2.30,-2.85%,234,2025-04-01 00:00:00,1,0,2025-04-01 23:14:30,0,2025-04-01 23:14:30,,,
2025-04-01,HBA II,49.54,49.44,0.10,0.2%,235,2025-04-01 00:00:00,1,0,2025-04-01 23:14:30,0,2025-04-01 23:14:30,,,
2025-04-01,HBA III,32.71,33.71,-1.00,-2.97%,236,2025-04-01 00:00:00,1,0,2025-04-01 23:14:30,0,2025-04-01 23:14:30,,,
2025-04-15,HBA,120.02,123.32,-3.30,-2.68%,237,2025-04-15 00:00:00,1,0,2025-04-15 23:14:49,0,2025-04-15 23:14:49,,,
2025-04-15,HBA I,78.46,78.40,0.06,0.08%,238,2025-04-15 00:00:00,1,0,2025-04-15 23:14:49,0,2025-04-15 23:14:49,,,
2025-04-15,HBA II,50.07,49.54,0.53,1.07%,239,2025-04-15 00:00:00,1,0,2025-04-15 23:14:49,0,2025-04-15 23:14:49,,,
2025-04-15,HBA III,34.32,32.71,1.61,4.92%,240,2025-04-15 00:00:00,1,0,2025-04-15 23:14:49,0,2025-04-15 23:14:49,,,
2025-05-01,HBA,121.15,120.02,1.13,0.94%,241,2025-05-01 00:00:00,1,0,2025-05-07 23:15:16,0,2025-05-07 23:15:16,,,
2025-05-01,HBA I,80.80,78.46,2.34,2.98%,242,2025-05-01 00:00:00,1,0,2025-05-07 23:15:16,0,2025-05-07 23:15:16,,,
2025-05-01,HBA II,50.43,50.07,0.36,0.72%,243,2025-05-01 00:00:00,1,0,2025-05-07 23:15:16,0,2025-05-07 23:15:16,,,
