时间,地区,当月值(万重量箱),同比增长(%),累计值(万重量箱),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-04,河北省,1197.67,,4850.31,,88,2024-04-30 00:00:00,1,0,2024-07-21 04:09:05,0,2024-07-21 04:09:05,,,
2024-04,天津市,223.06,,922.45,,89,2024-04-30 00:00:00,1,0,2024-07-21 04:09:05,0,2024-07-21 04:09:05,,,
2024-04,北京市,4.98,,18.67,,90,2024-04-30 00:00:00,1,0,2024-07-21 04:09:05,0,2024-07-21 04:09:05,,,
2024-03,全国,8652.40,9.60,24805.20,7.80,91,2024-03-31 00:00:00,1,0,2024-07-21 04:09:09,0,2024-07-21 04:09:09,,,
2024-03,新疆区,82.48,,239.76,,92,2024-03-31 00:00:00,1,0,2024-07-21 04:09:09,0,2024-07-21 04:09:09,,,
2024-03,宁夏区,37.06,,107.16,,93,2024-03-31 00:00:00,1,0,2024-07-21 04:09:09,0,2024-07-21 04:09:09,,,
2024-03,青海省,0.00,,0.00,,94,2024-03-31 00:00:00,1,0,2024-07-21 04:09:09,0,2024-07-21 04:09:09,,,
2024-03,甘肃省,81.17,,185.02,,95,2024-03-31 00:00:00,1,0,2024-07-21 04:09:09,0,2024-07-21 04:09:09,,,
2024-03,陕西省,128.82,,395.86,,96,2024-03-31 00:00:00,1,0,2024-07-21 04:09:09,0,2024-07-21 04:09:09,,,
2024-03,云南省,95.20,,265.84,,97,2024-03-31 00:00:00,1,0,2024-07-21 04:09:09,0,2024-07-21 04:09:09,,,
2024-03,贵州省,176.39,,452.00,,98,2024-03-31 00:00:00,1,0,2024-07-21 04:09:09,0,2024-07-21 04:09:09,,,
2024-03,四川省,538.39,,1627.86,,99,2024-03-31 00:00:00,1,0,2024-07-21 04:09:09,0,2024-07-21 04:09:09,,,
2024-03,重庆市,199.20,,526.89,,100,2024-03-31 00:00:00,1,0,2024-07-21 04:09:09,0,2024-07-21 04:09:09,,,
2024-03,海南省,91.98,,280.93,,101,2024-03-31 00:00:00,1,0,2024-07-21 04:09:09,0,2024-07-21 04:09:09,,,
2024-03,广西区,288.44,,829.32,,102,2024-03-31 00:00:00,1,0,2024-07-21 04:09:09,0,2024-07-21 04:09:09,,,
2024-03,广东省,859.40,,2497.53,,103,2024-03-31 00:00:00,1,0,2024-07-21 04:09:09,0,2024-07-21 04:09:09,,,
2024-03,湖南省,457.16,,1087.91,,104,2024-03-31 00:00:00,1,0,2024-07-21 04:09:09,0,2024-07-21 04:09:09,,,
2024-03,湖北省,994.77,,2861.72,,105,2024-03-31 00:00:00,1,0,2024-07-21 04:09:09,0,2024-07-21 04:09:09,,,
2024-03,河南省,143.84,,418.13,,106,2024-03-31 00:00:00,1,0,2024-07-21 04:09:09,0,2024-07-21 04:09:09,,,
2024-03,山东省,749.25,,2192.10,,107,2024-03-31 00:00:00,1,0,2024-07-21 04:09:09,0,2024-07-21 04:09:09,,,
2024-03,江西省,59.38,,125.10,,108,2024-03-31 00:00:00,1,0,2024-07-21 04:09:09,0,2024-07-21 04:09:09,,,
2024-03,福建省,450.24,,1320.96,,109,2024-03-31 00:00:00,1,0,2024-07-21 04:09:09,0,2024-07-21 04:09:09,,,
2024-03,安徽省,390.91,,1115.34,,110,2024-03-31 00:00:00,1,0,2024-07-21 04:09:09,0,2024-07-21 04:09:09,,,
2024-03,浙江省,339.53,,1036.92,,111,2024-03-31 00:00:00,1,0,2024-07-21 04:09:09,0,2024-07-21 04:09:09,,,
2024-03,江苏省,106.44,,311.20,,112,2024-03-31 00:00:00,1,0,2024-07-21 04:09:09,0,2024-07-21 04:09:09,,,
2024-03,黑龙江省,39.44,,115.41,,113,2024-03-31 00:00:00,1,0,2024-07-21 04:09:09,0,2024-07-21 04:09:09,,,
2024-03,吉林省,105.98,,297.69,,114,2024-03-31 00:00:00,1,0,2024-07-21 04:09:09,0,2024-07-21 04:09:09,,,
2024-03,辽宁省,447.07,,1280.23,,115,2024-03-31 00:00:00,1,0,2024-07-21 04:09:09,0,2024-07-21 04:09:09,,,
