时间,地区/港口,产品名称,灰份,发热量,本期价格(美元/吨),较上期,价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06-07,印度西海岸,动力煤1#,,5500(NAR),110.60,0.30,CFR,72,2024-06-07 00:00:00,1,0,2024-07-17 13:41:36,0,2024-07-17 13:41:36,,,
2024-06-06,印度西海岸,动力煤3#,,4200(GAR),67.70,-0.30,CFR,73,2024-06-06 00:00:00,1,0,2024-07-17 13:41:36,0,2024-07-17 13:41:36,,,
2024-06-06,印度西海岸,动力煤2#,,5000(GAR),85.55,0.20,CFR,74,2024-06-06 00:00:00,1,0,2024-07-17 13:41:36,0,2024-07-17 13:41:36,,,
2024-06-06,印度西海岸,动力煤1#,,5500(NAR),110.30,0.25,CFR,75,2024-06-06 00:00:00,1,0,2024-07-17 13:41:36,0,2024-07-17 13:41:36,,,
2024-06-05,印度西海岸,动力煤3#,,4200(GAR),68.00,-0.55,CFR,76,2024-06-05 00:00:00,1,0,2024-07-17 13:41:36,0,2024-07-17 13:41:36,,,
2024-06-05,印度西海岸,动力煤2#,,5000(GAR),85.35,-0.05,CFR,77,2024-06-05 00:00:00,1,0,2024-07-17 13:41:36,0,2024-07-17 13:41:36,,,
2024-06-05,印度西海岸,动力煤1#,,5500(NAR),110.05,0.00,CFR,78,2024-06-05 00:00:00,1,0,2024-07-17 13:41:36,0,2024-07-17 13:41:36,,,
2024-06-04,印度西海岸,动力煤3#,,4200(GAR),68.55,0.15,CFR,79,2024-06-04 00:00:00,1,0,2024-07-17 13:41:36,0,2024-07-17 13:41:36,,,
2024-06-04,印度西海岸,动力煤2#,,5000(GAR),85.40,-0.20,CFR,80,2024-06-04 00:00:00,1,0,2024-07-17 13:41:36,0,2024-07-17 13:41:36,,,
2024-06-04,印度西海岸,动力煤1#,,5500(NAR),110.05,0.40,CFR,81,2024-06-04 00:00:00,1,0,2024-07-17 13:41:36,0,2024-07-17 13:41:36,,,
2024-06-03,印度西海岸,动力煤3#,,4200(GAR),68.40,0.00,CFR,82,2024-06-03 00:00:00,1,0,2024-07-17 13:41:36,0,2024-07-17 13:41:36,,,
2024-06-03,印度西海岸,动力煤2#,,5000(GAR),85.60,-0.20,CFR,83,2024-06-03 00:00:00,1,0,2024-07-17 13:41:36,0,2024-07-17 13:41:36,,,
2024-06-03,印度西海岸,动力煤1#,,5500(NAR),109.65,0.30,CFR,84,2024-06-03 00:00:00,1,0,2024-07-17 13:41:36,0,2024-07-17 13:41:36,,,
2024-05-31,印度西海岸,动力煤3#,,4200(GAR),68.40,-0.25,CFR,85,2024-05-31 00:00:00,1,0,2024-07-17 13:41:36,0,2024-07-17 13:41:36,,,
2024-05-31,印度西海岸,动力煤2#,,5000(GAR),85.80,-0.25,CFR,86,2024-05-31 00:00:00,1,0,2024-07-17 13:41:36,0,2024-07-17 13:41:36,,,
2024-05-31,印度西海岸,动力煤1#,,5500(NAR),109.35,-1.05,CFR,87,2024-05-31 00:00:00,1,0,2024-07-17 13:41:36,0,2024-07-17 13:41:36,,,
2024-05-30,印度西海岸,动力煤3#,,4200(GAR),68.65,-0.55,CFR,88,2024-05-30 00:00:00,1,0,2024-07-17 13:41:36,0,2024-07-17 13:41:36,,,
2024-05-30,印度西海岸,动力煤2#,,5000(GAR),86.05,-0.35,CFR,89,2024-05-30 00:00:00,1,0,2024-07-17 13:41:36,0,2024-07-17 13:41:36,,,
2024-05-30,印度西海岸,动力煤1#,,5500(NAR),110.40,-1.30,CFR,90,2024-05-30 00:00:00,1,0,2024-07-17 13:41:36,0,2024-07-17 13:41:36,,,
2024-05-29,印度西海岸,动力煤3#,,4200(GAR),69.20,-0.25,CFR,91,2024-05-29 00:00:00,1,0,2024-07-17 13:41:39,0,2024-07-17 13:41:39,,,
2024-05-29,印度西海岸,动力煤2#,,5000(GAR),86.40,-0.25,CFR,92,2024-05-29 00:00:00,1,0,2024-07-17 13:41:39,0,2024-07-17 13:41:39,,,
2024-05-29,印度西海岸,动力煤1#,,5500(NAR),111.70,0.30,CFR,93,2024-05-29 00:00:00,1,0,2024-07-17 13:41:39,0,2024-07-17 13:41:39,,,
2024-05-28,印度西海岸,动力煤3#,,4200(GAR),69.45,0.15,CFR,94,2024-05-28 00:00:00,1,0,2024-07-17 13:41:39,0,2024-07-17 13:41:39,,,
2024-05-28,印度西海岸,动力煤2#,,5000(GAR),86.65,0.20,CFR,95,2024-05-28 00:00:00,1,0,2024-07-17 13:41:39,0,2024-07-17 13:41:39,,,
2024-05-28,印度西海岸,动力煤1#,,5500(NAR),111.40,0.35,CFR,96,2024-05-28 00:00:00,1,0,2024-07-17 13:41:39,0,2024-07-17 13:41:39,,,
2024-05-27,印度西海岸,动力煤3#,,4200(GAR),69.30,0.20,CFR,97,2024-05-27 00:00:00,1,0,2024-07-17 13:41:39,0,2024-07-17 13:41:39,,,
2024-05-27,印度西海岸,动力煤2#,,5000(GAR),86.45,0.20,CFR,98,2024-05-27 00:00:00,1,0,2024-07-17 13:41:39,0,2024-07-17 13:41:39,,,
2024-05-27,印度西海岸,动力煤1#,,5500(NAR),111.05,0.20,CFR,99,2024-05-27 00:00:00,1,0,2024-07-17 13:41:39,0,2024-07-17 13:41:39,,,
2024-05-24,印度西海岸,动力煤3#,,4200(GAR),69.10,-0.25,CFR,100,2024-05-24 00:00:00,1,0,2024-07-17 13:41:39,0,2024-07-17 13:41:39,,,
