时间,钢材类型,库存量(万吨),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2023-12-15,螺纹钢,357.63,156,2023-12-15 00:00:00,1,0,2024-07-20 23:50:12,0,2024-07-20 23:50:12,,,
2023-12-15,线材,48.09,157,2023-12-15 00:00:00,1,0,2024-07-20 23:50:12,0,2024-07-20 23:50:12,,,
2023-12-15,冷轧,110.28,158,2023-12-15 00:00:00,1,0,2024-07-20 23:50:12,0,2024-07-20 23:50:12,,,
2023-12-15,中厚板,113.99,159,2023-12-15 00:00:00,1,0,2024-07-20 23:50:12,0,2024-07-20 23:50:12,,,
2023-12-15,热卷,236.84,160,2023-12-15 00:00:00,1,0,2024-07-20 23:50:12,0,2024-07-20 23:50:12,,,
2023-12-08,线材,47.75,161,2023-12-08 00:00:00,1,0,2024-07-20 23:50:12,0,2024-07-20 23:50:12,,,
2023-12-08,热卷,239.81,162,2023-12-08 00:00:00,1,0,2024-07-20 23:50:12,0,2024-07-20 23:50:12,,,
2023-12-08,中厚板,119.42,163,2023-12-08 00:00:00,1,0,2024-07-20 23:50:12,0,2024-07-20 23:50:12,,,
2023-12-08,螺纹钢,357.23,164,2023-12-08 00:00:00,1,0,2024-07-20 23:50:12,0,2024-07-20 23:50:12,,,
2023-12-08,冷轧,109.68,165,2023-12-08 00:00:00,1,0,2024-07-20 23:50:12,0,2024-07-20 23:50:12,,,
2023-12-01,中厚板,121.06,166,2023-12-01 00:00:00,1,0,2024-07-20 23:50:12,0,2024-07-20 23:50:12,,,
2023-12-01,螺纹钢,360.27,167,2023-12-01 00:00:00,1,0,2024-07-20 23:50:12,0,2024-07-20 23:50:12,,,
2023-12-01,冷轧,108.75,168,2023-12-01 00:00:00,1,0,2024-07-20 23:50:12,0,2024-07-20 23:50:12,,,
2023-12-01,热卷,249.56,169,2023-12-01 00:00:00,1,0,2024-07-20 23:50:12,0,2024-07-20 23:50:12,,,
2023-12-01,线材,47.01,170,2023-12-01 00:00:00,1,0,2024-07-20 23:50:12,0,2024-07-20 23:50:12,,,
2023-11-24,螺纹钢,358.24,171,2023-11-24 00:00:00,1,0,2024-07-20 23:50:12,0,2024-07-20 23:50:12,,,
2023-11-24,中厚板,121.87,172,2023-11-24 00:00:00,1,0,2024-07-20 23:50:12,0,2024-07-20 23:50:12,,,
2023-11-24,热卷,256.47,173,2023-11-24 00:00:00,1,0,2024-07-20 23:50:12,0,2024-07-20 23:50:12,,,
