时间,库存合计(万吨),调入量(万吨),吞吐量(万吨),锚地船舶(艘),预到船舶(艘),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-04-02,181.00,4.90,4.90,3.00,1.00,109,2024-04-02 00:00:00,1,0,2024-07-20 11:02:10,0,2024-07-20 11:02:10,,,
2024-04-01,181.00,3.90,4.90,5.00,1.00,110,2024-04-01 00:00:00,1,0,2024-07-20 11:02:10,0,2024-07-20 11:02:10,,,
2024-03-31,182.00,3.20,1.20,7.00,1.00,111,2024-03-31 00:00:00,1,0,2024-07-20 11:02:10,0,2024-07-20 11:02:10,,,
2024-03-30,180.00,3.50,1.50,7.00,2.00,112,2024-03-30 00:00:00,1,0,2024-07-20 11:02:10,0,2024-07-20 11:02:10,,,
2024-03-29,178.00,4.40,2.40,4.00,2.00,113,2024-03-29 00:00:00,1,0,2024-07-20 11:02:10,0,2024-07-20 11:02:10,,,
2024-03-28,176.00,3.40,4.40,4.00,2.00,114,2024-03-28 00:00:00,1,0,2024-07-20 11:02:10,0,2024-07-20 11:02:10,,,
2024-03-27,177.00,4.30,7.30,3.00,1.00,115,2024-03-27 00:00:00,1,0,2024-07-20 11:02:10,0,2024-07-20 11:02:10,,,
2024-03-26,180.00,3.50,2.50,5.00,0.00,116,2024-03-26 00:00:00,1,0,2024-07-20 11:02:10,0,2024-07-20 11:02:10,,,
2024-03-25,179.00,3.30,1.30,3.00,4.00,117,2024-03-25 00:00:00,1,0,2024-07-20 11:02:10,0,2024-07-20 11:02:10,,,
2024-03-24,177.00,3.50,2.50,5.00,4.00,118,2024-03-24 00:00:00,1,0,2024-07-20 11:02:10,0,2024-07-20 11:02:10,,,
2024-03-23,176.00,3.70,1.70,3.00,5.00,119,2024-03-23 00:00:00,1,0,2024-07-20 11:02:10,0,2024-07-20 11:02:10,,,
2024-03-22,174.00,4.00,3.00,3.00,4.00,120,2024-03-22 00:00:00,1,0,2024-07-20 11:02:10,0,2024-07-20 11:02:10,,,
2024-03-21,173.00,3.00,3.00,2.00,5.00,121,2024-03-21 00:00:00,1,0,2024-07-20 11:02:12,0,2024-07-20 11:02:12,,,
2024-03-20,173.00,3.30,2.30,2.00,2.00,122,2024-03-20 00:00:00,1,0,2024-07-20 11:02:12,0,2024-07-20 11:02:12,,,
2024-03-19,172.00,3.30,2.30,3.00,1.00,123,2024-03-19 00:00:00,1,0,2024-07-20 11:02:12,0,2024-07-20 11:02:12,,,
2024-03-18,171.00,4.00,2.00,5.00,1.00,124,2024-03-18 00:00:00,1,0,2024-07-20 11:02:12,0,2024-07-20 11:02:12,,,
2024-03-17,169.00,3.20,3.20,6.00,1.00,125,2024-03-17 00:00:00,1,0,2024-07-20 11:02:12,0,2024-07-20 11:02:12,,,
2024-03-16,169.00,2.70,3.70,2.00,0.00,126,2024-03-16 00:00:00,1,0,2024-07-20 11:02:12,0,2024-07-20 11:02:12,,,
2024-03-15,170.00,3.00,2.00,1.00,1.00,127,2024-03-15 00:00:00,1,0,2024-07-20 11:02:12,0,2024-07-20 11:02:12,,,
2024-03-14,169.00,3.00,0.00,1.00,2.00,128,2024-03-14 00:00:00,1,0,2024-07-20 11:02:12,0,2024-07-20 11:02:12,,,
2024-03-13,166.00,3.40,0.40,1.00,2.00,129,2024-03-13 00:00:00,1,0,2024-07-20 11:02:12,0,2024-07-20 11:02:12,,,
2024-03-12,163.00,4.40,5.40,0.00,3.00,130,2024-03-12 00:00:00,1,0,2024-07-20 11:02:12,0,2024-07-20 11:02:12,,,
2024-03-11,164.00,3.00,4.00,1.00,2.00,131,2024-03-11 00:00:00,1,0,2024-07-20 11:02:12,0,2024-07-20 11:02:12,,,
2024-03-10,165.00,4.00,4.00,1.00,2.00,132,2024-03-10 00:00:00,1,0,2024-07-20 11:02:12,0,2024-07-20 11:02:12,,,
2024-03-09,165.00,2.40,3.40,1.00,0.00,133,2024-03-09 00:00:00,1,0,2024-07-20 11:02:12,0,2024-07-20 11:02:12,,,
2024-03-08,166.00,3.50,3.50,1.00,1.00,134,2024-03-08 00:00:00,1,0,2024-07-20 11:02:12,0,2024-07-20 11:02:12,,,
2024-03-07,166.00,3.30,5.30,1.00,0.00,135,2024-03-07 00:00:00,1,0,2024-07-20 11:02:12,0,2024-07-20 11:02:12,,,
