时间,数据项目,本期(元/吨),环比增减(元/吨),环比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-03-15,北方港5500K平仓价格指数,896.00,-18.40,-2.01,72,2024-03-15 00:00:00,1,0,2024-07-20 06:28:03,0,2024-07-20 06:28:03,,,
2024-03-08,长江口5000K平仓价格指数,849.80,-18.60,-2.14,73,2024-03-08 00:00:00,1,0,2024-07-20 06:28:03,0,2024-07-20 06:28:03,,,
2024-03-08,长江口5500K平仓价格指数,953.60,-12.40,-1.28,74,2024-03-08 00:00:00,1,0,2024-07-20 06:28:03,0,2024-07-20 06:28:03,,,
2024-03-08,北方港5000K平仓价格指数,805.00,-23.20,-2.80,75,2024-03-08 00:00:00,1,0,2024-07-20 06:28:03,0,2024-07-20 06:28:03,,,
2024-03-08,北方港5500K平仓价格指数,914.40,-18.20,-1.95,76,2024-03-08 00:00:00,1,0,2024-07-20 06:28:03,0,2024-07-20 06:28:03,,,
2024-03-01,长江口5000K平仓价格指数,868.40,1.40,0.16,77,2024-03-01 00:00:00,1,0,2024-07-20 06:28:03,0,2024-07-20 06:28:03,,,
2024-03-01,长江口5500K平仓价格指数,966.00,1.80,0.19,78,2024-03-01 00:00:00,1,0,2024-07-20 06:28:03,0,2024-07-20 06:28:03,,,
2024-03-01,北方港5000K平仓价格指数,828.20,2.80,0.34,79,2024-03-01 00:00:00,1,0,2024-07-20 06:28:03,0,2024-07-20 06:28:03,,,
2024-03-01,北方港5500K平仓价格指数,932.60,1.60,0.17,80,2024-03-01 00:00:00,1,0,2024-07-20 06:28:03,0,2024-07-20 06:28:03,,,
2024-02-23,长江口5000K平仓价格指数,867.00,23.00,2.73,81,2024-02-23 00:00:00,1,0,2024-07-20 06:28:03,0,2024-07-20 06:28:03,,,
2024-02-23,长江口5500K平仓价格指数,964.20,21.20,2.25,82,2024-02-23 00:00:00,1,0,2024-07-20 06:28:03,0,2024-07-20 06:28:03,,,
2024-02-23,北方港5000K平仓价格指数,825.40,28.40,3.56,83,2024-02-23 00:00:00,1,0,2024-07-20 06:28:03,0,2024-07-20 06:28:03,,,
2024-02-23,北方港5500K平仓价格指数,931.00,26.00,2.87,84,2024-02-23 00:00:00,1,0,2024-07-20 06:28:03,0,2024-07-20 06:28:03,,,
2024-02-09,长江口5000K平仓价格指数,844.00,0.60,0.07,85,2024-02-09 00:00:00,1,0,2024-07-20 06:28:03,0,2024-07-20 06:28:03,,,
2024-02-09,长江口5500K平仓价格指数,943.00,0.00,0.00,86,2024-02-09 00:00:00,1,0,2024-07-20 06:28:03,0,2024-07-20 06:28:03,,,
2024-02-09,北方港5000K平仓价格指数,797.00,2.20,0.28,87,2024-02-09 00:00:00,1,0,2024-07-20 06:28:03,0,2024-07-20 06:28:03,,,
2024-02-09,北方港5500K平仓价格指数,905.00,2.40,0.27,88,2024-02-09 00:00:00,1,0,2024-07-20 06:28:03,0,2024-07-20 06:28:03,,,
2024-02-02,长江口5000K平仓价格指数,843.40,-1.60,-0.19,89,2024-02-02 00:00:00,1,0,2024-07-20 06:28:03,0,2024-07-20 06:28:03,,,
2024-02-02,长江口5500K平仓价格指数,943.00,-2.00,-0.21,90,2024-02-02 00:00:00,1,0,2024-07-20 06:28:03,0,2024-07-20 06:28:03,,,
2024-02-02,北方港5000K平仓价格指数,794.80,-7.20,-0.90,91,2024-02-02 00:00:00,1,0,2024-07-20 06:28:06,0,2024-07-20 06:28:06,,,
2024-02-02,北方港5500K平仓价格指数,902.60,-7.40,-0.81,92,2024-02-02 00:00:00,1,0,2024-07-20 06:28:06,0,2024-07-20 06:28:06,,,
2024-01-26,长江口5000K平仓价格指数,845.00,0.00,0.00,93,2024-01-26 00:00:00,1,0,2024-07-20 06:28:06,0,2024-07-20 06:28:06,,,
2024-01-26,长江口5500K平仓价格指数,945.00,0.00,0.00,94,2024-01-26 00:00:00,1,0,2024-07-20 06:28:06,0,2024-07-20 06:28:06,,,
2024-01-26,北方港5000K平仓价格指数,802.00,0.00,0.00,95,2024-01-26 00:00:00,1,0,2024-07-20 06:28:06,0,2024-07-20 06:28:06,,,
2024-01-26,北方港5500K平仓价格指数,910.00,0.00,0.00,96,2024-01-26 00:00:00,1,0,2024-07-20 06:28:06,0,2024-07-20 06:28:06,,,
2024-01-19,长江口5000K平仓价格指数,845.00,-10.20,-1.19,97,2024-01-19 00:00:00,1,0,2024-07-20 06:28:06,0,2024-07-20 06:28:06,,,
2024-01-19,长江口5500K平仓价格指数,945.00,-13.20,-1.38,98,2024-01-19 00:00:00,1,0,2024-07-20 06:28:06,0,2024-07-20 06:28:06,,,
2024-01-19,北方港5000K平仓价格指数,802.00,-10.00,-1.23,99,2024-01-19 00:00:00,1,0,2024-07-20 06:28:06,0,2024-07-20 06:28:06,,,
2024-01-19,北方港5500K平仓价格指数,910.00,-11.60,-1.26,100,2024-01-19 00:00:00,1,0,2024-07-20 06:28:06,0,2024-07-20 06:28:06,,,
2024-01-12,长江口5000K平仓价格指数,855.20,-8.20,-0.95,101,2024-01-12 00:00:00,1,0,2024-07-20 06:28:06,0,2024-07-20 06:28:06,,,
2024-01-12,长江口5500K平仓价格指数,958.20,-11.60,-1.20,102,2024-01-12 00:00:00,1,0,2024-07-20 06:28:06,0,2024-07-20 06:28:06,,,
2024-01-12,北方港5000K平仓价格指数,812.00,-8.40,-1.02,103,2024-01-12 00:00:00,1,0,2024-07-20 06:28:06,0,2024-07-20 06:28:06,,,
2024-01-12,北方港5500K平仓价格指数,921.60,-9.60,-1.03,104,2024-01-12 00:00:00,1,0,2024-07-20 06:28:06,0,2024-07-20 06:28:06,,,
2024-01-05,长江口5000K平仓价格指数,863.40,1.00,0.12,105,2024-01-05 00:00:00,1,0,2024-07-20 06:28:06,0,2024-07-20 06:28:06,,,
2024-01-05,长江口5500K平仓价格指数,969.80,-4.60,-0.47,106,2024-01-05 00:00:00,1,0,2024-07-20 06:28:06,0,2024-07-20 06:28:06,,,
2024-01-05,北方港5000K平仓价格指数,820.40,-4.00,-0.49,107,2024-01-05 00:00:00,1,0,2024-07-20 06:28:06,0,2024-07-20 06:28:06,,,
2024-01-05,北方港5500K平仓价格指数,931.20,-7.00,-0.75,108,2024-01-05 00:00:00,1,0,2024-07-20 06:28:06,0,2024-07-20 06:28:06,,,
2023-12-29,长江口5000K平仓价格指数,862.40,-8.20,-0.94,109,2023-12-29 00:00:00,1,0,2024-07-20 06:28:06,0,2024-07-20 06:28:06,,,
2023-12-29,长江口5500K平仓价格指数,974.40,-12.20,-1.24,110,2023-12-29 00:00:00,1,0,2024-07-20 06:28:06,0,2024-07-20 06:28:06,,,
2023-12-29,北方港5000K平仓价格指数,824.40,-19.20,-2.28,111,2023-12-29 00:00:00,1,0,2024-07-20 06:28:06,0,2024-07-20 06:28:06,,,
2023-12-29,北方港5500K平仓价格指数,938.20,-16.60,-1.74,112,2023-12-29 00:00:00,1,0,2024-07-20 06:28:06,0,2024-07-20 06:28:06,,,
2023-12-22,长江口5000K平仓价格指数,870.60,-1.40,-0.16,113,2023-12-22 00:00:00,1,0,2024-07-20 06:28:06,0,2024-07-20 06:28:06,,,
