时间,当期值(万吨),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-03-29,100.08,112,2024-03-29 00:00:00,1,0,2024-07-20 13:27:51,0,2024-07-20 13:27:51,,,
2024-03-28,120.04,113,2024-03-28 00:00:00,1,0,2024-07-20 13:27:51,0,2024-07-20 13:27:51,,,
2024-03-27,120.44,114,2024-03-27 00:00:00,1,0,2024-07-20 13:27:51,0,2024-07-20 13:27:51,,,
2024-03-26,105.22,115,2024-03-26 00:00:00,1,0,2024-07-20 13:27:51,0,2024-07-20 13:27:51,,,
2024-03-25,122.40,116,2024-03-25 00:00:00,1,0,2024-07-20 13:27:51,0,2024-07-20 13:27:51,,,
2024-03-24,125.27,117,2024-03-24 00:00:00,1,0,2024-07-20 13:27:51,0,2024-07-20 13:27:51,,,
2024-03-23,120.66,118,2024-03-23 00:00:00,1,0,2024-07-20 13:27:51,0,2024-07-20 13:27:51,,,
2024-03-22,105.26,119,2024-03-22 00:00:00,1,0,2024-07-20 13:27:51,0,2024-07-20 13:27:51,,,
2024-03-21,118.11,120,2024-03-21 00:00:00,1,0,2024-07-20 13:27:51,0,2024-07-20 13:27:51,,,
2024-03-20,110.80,121,2024-03-20 00:00:00,1,0,2024-07-20 13:27:54,0,2024-07-20 13:27:54,,,
2024-03-19,100.08,122,2024-03-19 00:00:00,1,0,2024-07-20 13:27:54,0,2024-07-20 13:27:54,,,
2024-03-18,125.04,123,2024-03-18 00:00:00,1,0,2024-07-20 13:27:54,0,2024-07-20 13:27:54,,,
2024-03-17,125.30,124,2024-03-17 00:00:00,1,0,2024-07-20 13:27:54,0,2024-07-20 13:27:54,,,
2024-03-16,125.17,125,2024-03-16 00:00:00,1,0,2024-07-20 13:27:54,0,2024-07-20 13:27:54,,,
2024-03-15,105.56,126,2024-03-15 00:00:00,1,0,2024-07-20 13:27:54,0,2024-07-20 13:27:54,,,
2024-03-14,125.61,127,2024-03-14 00:00:00,1,0,2024-07-20 13:27:54,0,2024-07-20 13:27:54,,,
2024-03-13,125.62,128,2024-03-13 00:00:00,1,0,2024-07-20 13:27:54,0,2024-07-20 13:27:54,,,
2024-03-12,110.40,129,2024-03-12 00:00:00,1,0,2024-07-20 13:27:54,0,2024-07-20 13:27:54,,,
2024-03-11,125.39,130,2024-03-11 00:00:00,1,0,2024-07-20 13:27:54,0,2024-07-20 13:27:54,,,
2024-03-10,125.51,131,2024-03-10 00:00:00,1,0,2024-07-20 13:27:54,0,2024-07-20 13:27:54,,,
2024-03-09,125.52,132,2024-03-09 00:00:00,1,0,2024-07-20 13:27:54,0,2024-07-20 13:27:54,,,
2024-03-08,105.07,133,2024-03-08 00:00:00,1,0,2024-07-20 13:27:54,0,2024-07-20 13:27:54,,,
2024-03-07,120.32,134,2024-03-07 00:00:00,1,0,2024-07-20 13:27:54,0,2024-07-20 13:27:54,,,
2024-03-06,120.22,135,2024-03-06 00:00:00,1,0,2024-07-20 13:27:54,0,2024-07-20 13:27:54,,,
2024-03-05,100.30,136,2024-03-05 00:00:00,1,0,2024-07-20 13:27:54,0,2024-07-20 13:27:54,,,
2024-03-04,125.33,137,2024-03-04 00:00:00,1,0,2024-07-20 13:27:54,0,2024-07-20 13:27:54,,,
2024-03-03,118.06,138,2024-03-03 00:00:00,1,0,2024-07-20 13:27:54,0,2024-07-20 13:27:54,,,
2024-03-02,115.18,139,2024-03-02 00:00:00,1,0,2024-07-20 13:27:54,0,2024-07-20 13:27:54,,,
2024-03-01,100.63,140,2024-03-01 00:00:00,1,0,2024-07-20 13:27:54,0,2024-07-20 13:27:54,,,
2024-02-29,108.11,141,2024-02-29 00:00:00,1,0,2024-07-20 13:27:54,0,2024-07-20 13:27:54,,,
2024-02-28,105.57,142,2024-02-28 00:00:00,1,0,2024-07-20 13:27:54,0,2024-07-20 13:27:54,,,
2024-02-27,105.05,143,2024-02-27 00:00:00,1,0,2024-07-20 13:27:54,0,2024-07-20 13:27:54,,,
2024-02-26,105.19,144,2024-02-26 00:00:00,1,0,2024-07-20 13:27:54,0,2024-07-20 13:27:54,,,
2024-02-25,105.69,145,2024-02-25 00:00:00,1,0,2024-07-20 13:27:54,0,2024-07-20 13:27:54,,,
2024-02-24,105.59,146,2024-02-24 00:00:00,1,0,2024-07-20 13:27:54,0,2024-07-20 13:27:54,,,
2024-02-23,87.15,147,2024-02-23 00:00:00,1,0,2024-07-20 13:27:54,0,2024-07-20 13:27:54,,,
2024-02-22,103.36,148,2024-02-22 00:00:00,1,0,2024-07-20 13:27:54,0,2024-07-20 13:27:54,,,
2024-02-21,100.30,149,2024-02-21 00:00:00,1,0,2024-07-20 13:27:54,0,2024-07-20 13:27:54,,,
2024-02-20,96.84,150,2024-02-20 00:00:00,1,0,2024-07-20 13:27:54,0,2024-07-20 13:27:54,,,
2024-02-19,115.12,151,2024-02-19 00:00:00,1,0,2024-07-20 13:27:56,0,2024-07-20 13:27:56,,,
2024-02-18,115.11,152,2024-02-18 00:00:00,1,0,2024-07-20 13:27:56,0,2024-07-20 13:27:56,,,
2024-02-17,98.50,153,2024-02-17 00:00:00,1,0,2024-07-20 13:27:56,0,2024-07-20 13:27:56,,,
