时间,焦企产能利用率,环比变化,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2023-07-27,74.68,-0.80,96,2023-07-27 00:00:00,1,0,2025-06-06 23:21:24,0,2025-06-06 23:21:24,,,
2023-07-20,75.43,0.10,97,2023-07-20 00:00:00,1,0,2025-06-06 23:21:24,0,2025-06-06 23:21:24,,,
2023-07-13,75.36,0.60,98,2023-07-13 00:00:00,1,0,2025-06-06 23:21:24,0,2025-06-06 23:21:24,,,
2023-07-06,74.78,-0.10,99,2023-07-06 00:00:00,1,0,2025-06-06 23:21:24,0,2025-06-06 23:21:24,,,
2023-06-29,74.92,-1.10,100,2023-06-29 00:00:00,1,0,2025-06-06 23:21:24,0,2025-06-06 23:21:24,,,
2023-06-22,76.02,0.60,101,2023-06-22 00:00:00,1,0,2025-06-06 23:21:24,0,2025-06-06 23:21:24,,,
2023-06-15,75.40,0.50,102,2023-06-15 00:00:00,1,0,2025-06-06 23:21:24,0,2025-06-06 23:21:24,,,
2023-06-08,74.87,0.50,103,2023-06-08 00:00:00,1,0,2025-06-06 23:21:24,0,2025-06-06 23:21:24,,,
2023-06-01,74.34,-0.20,104,2023-06-01 00:00:00,1,0,2025-06-06 23:21:24,0,2025-06-06 23:21:24,,,
2023-05-25,74.51,0.00,105,2023-05-25 00:00:00,1,0,2025-06-06 23:21:24,0,2025-06-06 23:21:24,,,
2023-05-18,74.55,-0.40,106,2023-05-18 00:00:00,1,0,2025-06-06 23:21:24,0,2025-06-06 23:21:24,,,
2023-05-11,74.96,-1.60,107,2023-05-11 00:00:00,1,0,2025-06-06 23:21:24,0,2025-06-06 23:21:24,,,
2023-05-04,76.57,-1.50,108,2023-05-04 00:00:00,1,0,2025-06-06 23:21:24,0,2025-06-06 23:21:24,,,
2023-04-27,78.03,-0.70,109,2023-04-27 00:00:00,1,0,2025-06-06 23:21:24,0,2025-06-06 23:21:24,,,
2023-04-20,78.72,0.40,110,2023-04-20 00:00:00,1,0,2025-06-06 23:21:24,0,2025-06-06 23:21:24,,,
2023-04-13,78.30,1.70,111,2023-04-13 00:00:00,1,0,2025-06-06 23:21:24,0,2025-06-06 23:21:24,,,
2023-04-06,76.56,1.00,112,2023-04-06 00:00:00,1,0,2025-06-06 23:21:24,0,2025-06-06 23:21:24,,,
2023-03-30,75.56,0.70,113,2023-03-30 00:00:00,1,0,2025-06-06 23:21:24,0,2025-06-06 23:21:24,,,
2023-03-23,74.87,0.20,114,2023-03-23 00:00:00,1,0,2025-06-06 23:21:24,0,2025-06-06 23:21:24,,,
2023-03-16,74.71,0.10,115,2023-03-16 00:00:00,1,0,2025-06-06 23:21:24,0,2025-06-06 23:21:24,,,
2023-03-09,74.58,-0.90,116,2023-03-09 00:00:00,1,0,2025-06-06 23:21:24,0,2025-06-06 23:21:24,,,
2023-03-02,75.47,0.20,117,2023-03-02 00:00:00,1,0,2025-06-06 23:21:24,0,2025-06-06 23:21:24,,,
2023-02-23,75.31,0.50,118,2023-02-23 00:00:00,1,0,2025-06-06 23:21:24,0,2025-06-06 23:21:24,,,
2023-02-16,74.85,0.90,119,2023-02-16 00:00:00,1,0,2025-06-06 23:21:24,0,2025-06-06 23:21:24,,,
2023-02-09,73.96,0.20,120,2023-02-09 00:00:00,1,0,2025-06-06 23:21:24,0,2025-06-06 23:21:24,,,
2023-02-02,73.74,0.40,121,2023-02-02 00:00:00,1,0,2025-06-06 23:21:26,0,2025-06-06 23:21:26,,,
2023-01-26,73.31,-0.20,122,2023-01-26 00:00:00,1,0,2025-06-06 23:21:26,0,2025-06-06 23:21:26,,,
2023-01-19,73.52,-0.40,123,2023-01-19 00:00:00,1,0,2025-06-06 23:21:26,0,2025-06-06 23:21:26,,,
2023-01-12,73.89,-0.80,124,2023-01-12 00:00:00,1,0,2025-06-06 23:21:26,0,2025-06-06 23:21:26,,,
2023-01-05,74.68,,125,2023-01-05 00:00:00,1,0,2025-06-06 23:21:26,0,2025-06-06 23:21:26,,,
2025-06-12,72.84,-2.00,126,2025-06-12 00:00:00,1,0,2025-06-13 23:19:32,0,2025-06-13 23:19:32,,,
2025-06-05,74.83,-0.30,127,2025-06-05 00:00:00,1,0,2025-06-13 23:19:32,0,2025-06-13 23:19:32,,,
2025-05-29,75.12,-0.50,128,2025-05-29 00:00:00,1,0,2025-06-13 23:19:32,0,2025-06-13 23:19:32,,,
2025-06-19,73.11,0.30,129,2025-06-19 00:00:00,1,0,2025-06-20 23:22:21,0,2025-06-20 23:22:21,,,
2025-06-26,72.87,-0.20,130,2025-06-26 00:00:00,1,0,2025-06-30 23:19:19,0,2025-06-30 23:19:19,,,
2025-07-03,72.63,-0.20,131,2025-07-03 00:00:00,1,0,2025-07-04 23:18:59,0,2025-07-04 23:18:59,,,
2025-07-10,72.30,-0.30,132,2025-07-10 00:00:00,1,0,2025-07-18 23:18:57,0,2025-07-18 23:18:57,,,
2025-07-17,72.31,0.00,133,2025-07-17 00:00:00,1,0,2025-07-21 23:20:18,0,2025-07-21 23:20:18,,,
2025-07-24,72.81,0.50,134,2025-07-24 00:00:00,1,0,2025-07-28 23:18:49,0,2025-07-28 23:18:49,,,
2025-07-31,72.49,-0.30,135,2025-07-31 00:00:00,1,0,2025-08-08 23:19:07,0,2025-08-08 23:19:07,,,
2025-08-07,72.87,0.40,136,2025-08-07 00:00:00,1,0,2025-08-15 23:20:26,0,2025-08-15 23:20:26,,,
2025-08-14,73.15,0.30,137,2025-08-14 00:00:00,1,0,2025-08-18 23:18:19,0,2025-08-18 23:18:19,,,
2025-08-21,73.16,0.00,138,2025-08-21 00:00:00,1,0,2025-08-25 23:20:17,0,2025-08-25 23:20:17,,,
2025-08-28,71.87,-1.30,139,2025-08-28 00:00:00,1,0,2025-09-01 23:19:25,0,2025-09-01 23:19:25,,,
2025-09-04,72.08,0.20,140,2025-09-04 00:00:00,1,0,2025-09-08 23:20:01,0,2025-09-08 23:20:01,,,
