时间,项目名称,累计值(万千瓦),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2023-05,水电发电设备容量,41700.00,5.20,58,2023-05-31 00:00:00,1,0,2024-07-20 16:02:09,0,2024-07-20 16:02:09,,,
2023-05,发电设备容量,267240.00,10.30,59,2023-05-31 00:00:00,1,0,2024-07-20 16:02:09,0,2024-07-20 16:02:09,,,
2023-05,风电发电设备容量,38212.20,,60,2023-05-31 00:00:00,1,0,2024-07-20 16:02:09,0,2024-07-20 16:02:09,,,
2023-05,发电设备容量,267240.00,10.30,61,2023-05-31 00:00:00,1,0,2024-07-20 16:02:13,0,2024-07-20 16:02:13,,,
2023-05,风电发电设备容量,38212.20,,62,2023-05-31 00:00:00,1,0,2024-07-20 16:02:13,0,2024-07-20 16:02:13,,,
2023-04,水电发电设备容量,41633.00,5.30,63,2023-04-30 00:00:00,1,0,2024-07-20 16:02:13,0,2024-07-20 16:02:13,,,
2023-04,发电设备容量,264893.00,9.70,64,2023-04-30 00:00:00,1,0,2024-07-20 16:02:13,0,2024-07-20 16:02:13,,,
2023-04,风电发电设备容量,37966.00,12.20,65,2023-04-30 00:00:00,1,0,2024-07-20 16:02:13,0,2024-07-20 16:02:13,,,
2023-04,核电发电设备容量,5676.00,4.30,66,2023-04-30 00:00:00,1,0,2024-07-20 16:02:13,0,2024-07-20 16:02:13,,,
2023-04,火电发电设备容量,134489.00,3.30,67,2023-04-30 00:00:00,1,0,2024-07-20 16:02:13,0,2024-07-20 16:02:13,,,
2023-03,风电发电设备容量,37573.00,11.70,68,2023-03-31 00:00:00,1,0,2024-07-20 16:02:13,0,2024-07-20 16:02:13,,,
2023-03,核电发电设备容量,5676.00,4.30,69,2023-03-31 00:00:00,1,0,2024-07-20 16:02:13,0,2024-07-20 16:02:13,,,
2023-03,水电发电设备容量,41546.00,5.40,70,2023-03-31 00:00:00,1,0,2024-07-20 16:02:13,0,2024-07-20 16:02:13,,,
2023-03,发电设备容量,262342.00,9.10,71,2023-03-31 00:00:00,1,0,2024-07-20 16:02:13,0,2024-07-20 16:02:13,,,
2023-03,火电发电设备容量,134019.00,3.00,72,2023-03-31 00:00:00,1,0,2024-07-20 16:02:13,0,2024-07-20 16:02:13,,,
2023-02,发电设备容量,259993.00,8.50,73,2023-02-28 00:00:00,1,0,2024-07-20 16:02:13,0,2024-07-20 16:02:13,,,
2023-02,火电发电设备容量,133786.00,3.00,74,2023-02-28 00:00:00,1,0,2024-07-20 16:02:13,0,2024-07-20 16:02:13,,,
2023-02,核电发电设备容量,5557.00,4.30,75,2023-02-28 00:00:00,1,0,2024-07-20 16:02:13,0,2024-07-20 16:02:13,,,
2023-02,水电发电设备容量,41425.00,5.50,76,2023-02-28 00:00:00,1,0,2024-07-20 16:02:13,0,2024-07-20 16:02:13,,,
2023-02,风电发电设备容量,37126.00,11.00,77,2023-02-28 00:00:00,1,0,2024-07-20 16:02:13,0,2024-07-20 16:02:13,,,
2022-12,火电发电设备容量,133239.00,2.70,78,2022-12-31 00:00:00,1,0,2024-07-20 16:02:13,0,2024-07-20 16:02:13,,,
2022-12,核电发电设备容量,5553.00,4.30,79,2022-12-31 00:00:00,1,0,2024-07-20 16:02:13,0,2024-07-20 16:02:13,,,
2022-12,发电设备容量,256405.00,7.80,80,2022-12-31 00:00:00,1,0,2024-07-20 16:02:13,0,2024-07-20 16:02:13,,,
2022-12,风电发电设备容量,36544.00,11.20,81,2022-12-31 00:00:00,1,0,2024-07-20 16:02:13,0,2024-07-20 16:02:13,,,
2022-12,水电发电设备容量,41350.00,5.80,82,2022-12-31 00:00:00,1,0,2024-07-20 16:02:13,0,2024-07-20 16:02:13,,,
2022-11,风电发电设备容量,35096.00,15.10,83,2022-11-30 00:00:00,1,0,2024-07-20 16:02:13,0,2024-07-20 16:02:13,,,
2022-11,水电发电设备容量,41013.00,5.70,84,2022-11-30 00:00:00,1,0,2024-07-20 16:02:13,0,2024-07-20 16:02:13,,,
2022-11,核电发电设备容量,5553.00,4.30,85,2022-11-30 00:00:00,1,0,2024-07-20 16:02:13,0,2024-07-20 16:02:13,,,
2022-11,发电设备容量,251060.00,8.10,86,2022-11-30 00:00:00,1,0,2024-07-20 16:02:13,0,2024-07-20 16:02:13,,,
2022-11,火电发电设备容量,131983.00,2.40,87,2022-11-30 00:00:00,1,0,2024-07-20 16:02:13,0,2024-07-20 16:02:13,,,
2022-10,风电发电设备容量,34939.00,16.60,88,2022-10-31 00:00:00,1,0,2024-07-20 16:02:13,0,2024-07-20 16:02:13,,,
2022-10,火电发电设备容量,131632.00,2.50,89,2022-10-31 00:00:00,1,0,2024-07-20 16:02:13,0,2024-07-20 16:02:13,,,
2022-10,核电发电设备容量,5553.00,4.30,90,2022-10-31 00:00:00,1,0,2024-07-20 16:02:13,0,2024-07-20 16:02:13,,,
2022-10,火电发电设备容量,131632.00,2.50,91,2022-10-31 00:00:00,1,0,2024-07-20 16:02:16,0,2024-07-20 16:02:16,,,
2022-10,核电发电设备容量,5553.00,4.30,92,2022-10-31 00:00:00,1,0,2024-07-20 16:02:16,0,2024-07-20 16:02:16,,,
2022-09,火电发电设备容量,131374.00,2.40,93,2022-09-30 00:00:00,1,0,2024-07-20 16:02:16,0,2024-07-20 16:02:16,,,
2022-09,风电发电设备容量,34767.00,16.90,94,2022-09-30 00:00:00,1,0,2024-07-20 16:02:16,0,2024-07-20 16:02:16,,,
2022-09,水电发电设备容量,40576.00,5.80,95,2022-09-30 00:00:00,1,0,2024-07-20 16:02:16,0,2024-07-20 16:02:16,,,
2022-09,发电设备容量,248328.00,8.10,96,2022-09-30 00:00:00,1,0,2024-07-20 16:02:16,0,2024-07-20 16:02:16,,,
2022-09,核电发电设备容量,5553.00,4.30,97,2022-09-30 00:00:00,1,0,2024-07-20 16:02:16,0,2024-07-20 16:02:16,,,
2022-08,风电发电设备容量,34450.00,16.60,98,2022-08-31 00:00:00,1,0,2024-07-20 16:02:16,0,2024-07-20 16:02:16,,,
2022-08,发电设备容量,246631.00,8.00,99,2022-08-31 00:00:00,1,0,2024-07-20 16:02:16,0,2024-07-20 16:02:16,,,
2022-08,火电发电设备容量,131153.00,2.70,100,2022-08-31 00:00:00,1,0,2024-07-20 16:02:16,0,2024-07-20 16:02:16,,,
2022-08,水电发电设备容量,40307.00,5.50,101,2022-08-31 00:00:00,1,0,2024-07-20 16:02:16,0,2024-07-20 16:02:16,,,
2022-08,核电发电设备容量,5553.00,4.30,102,2022-08-31 00:00:00,1,0,2024-07-20 16:02:16,0,2024-07-20 16:02:16,,,
2022-07,发电设备容量,245517.00,8.00,103,2022-07-31 00:00:00,1,0,2024-07-20 16:02:16,0,2024-07-20 16:02:16,,,
2022-07,火电发电设备容量,130937.00,2.80,104,2022-07-31 00:00:00,1,0,2024-07-20 16:02:16,0,2024-07-20 16:02:16,,,
2022-07,核电发电设备容量,5553.00,4.30,105,2022-07-31 00:00:00,1,0,2024-07-20 16:02:16,0,2024-07-20 16:02:16,,,
2022-07,水电发电设备容量,40154.00,5.30,106,2022-07-31 00:00:00,1,0,2024-07-20 16:02:16,0,2024-07-20 16:02:16,,,
2022-07,风电发电设备容量,34370.00,17.20,107,2022-07-31 00:00:00,1,0,2024-07-20 16:02:16,0,2024-07-20 16:02:16,,,
2022-06,水电发电设备容量,39999.00,5.90,108,2022-06-30 00:00:00,1,0,2024-07-20 16:02:16,0,2024-07-20 16:02:16,,,
2022-06,核电发电设备容量,5553.00,6.50,109,2022-06-30 00:00:00,1,0,2024-07-20 16:02:16,0,2024-07-20 16:02:16,,,
2022-06,风电发电设备容量,34224.00,17.20,110,2022-06-30 00:00:00,1,0,2024-07-20 16:02:16,0,2024-07-20 16:02:16,,,
2022-06,发电设备容量,244101.00,8.10,111,2022-06-30 00:00:00,1,0,2024-07-20 16:02:16,0,2024-07-20 16:02:16,,,
2022-06,火电发电设备容量,130496.00,2.90,112,2022-06-30 00:00:00,1,0,2024-07-20 16:02:16,0,2024-07-20 16:02:16,,,
2022-05,核电发电设备容量,5443.00,6.60,113,2022-05-31 00:00:00,1,0,2024-07-20 16:02:16,0,2024-07-20 16:02:16,,,
2022-05,水电发电设备容量,39647.00,6.10,114,2022-05-31 00:00:00,1,0,2024-07-20 16:02:16,0,2024-07-20 16:02:16,,,
2022-05,发电设备容量,242087.00,7.90,115,2022-05-31 00:00:00,1,0,2024-07-20 16:02:16,0,2024-07-20 16:02:16,,,
2022-05,火电发电设备容量,130136.00,2.80,116,2022-05-31 00:00:00,1,0,2024-07-20 16:02:16,0,2024-07-20 16:02:16,,,
2022-05,风电发电设备容量,33936.00,17.60,117,2022-05-31 00:00:00,1,0,2024-07-20 16:02:16,0,2024-07-20 16:02:16,,,
2022-04,核电发电设备容量,5443.00,6.60,118,2022-04-30 00:00:00,1,0,2024-07-20 16:02:16,0,2024-07-20 16:02:16,,,
2022-04,水电发电设备容量,39555.00,6.00,119,2022-04-30 00:00:00,1,0,2024-07-20 16:02:16,0,2024-07-20 16:02:16,,,
2022-04,风电发电设备容量,33826.00,17.70,120,2022-04-30 00:00:00,1,0,2024-07-20 16:02:16,0,2024-07-20 16:02:16,,,
2022-04,水电发电设备容量,39555.00,6.00,121,2022-04-30 00:00:00,1,0,2024-07-20 16:02:19,0,2024-07-20 16:02:19,,,
2022-04,火电发电设备容量,130033.00,2.90,122,2022-04-30 00:00:00,1,0,2024-07-20 16:02:19,0,2024-07-20 16:02:19,,,
2022-03,水电发电设备容量,39427.00,6.20,123,2022-03-31 00:00:00,1,0,2024-07-20 16:02:19,0,2024-07-20 16:02:19,,,
2022-03,火电发电设备容量,129872.00,3.00,124,2022-03-31 00:00:00,1,0,2024-07-20 16:02:19,0,2024-07-20 16:02:19,,,
2022-03,风电发电设备容量,33652.00,17.40,125,2022-03-31 00:00:00,1,0,2024-07-20 16:02:19,0,2024-07-20 16:02:19,,,
2022-03,核电发电设备容量,5443.00,6.60,126,2022-03-31 00:00:00,1,0,2024-07-20 16:02:19,0,2024-07-20 16:02:19,,,
2022-03,发电设备容量,240367.00,7.80,127,2022-03-31 00:00:00,1,0,2024-07-20 16:02:19,0,2024-07-20 16:02:19,,,
2022-02,水电发电设备容量,39248.00,6.00,128,2022-02-28 00:00:00,1,0,2024-07-20 16:02:19,0,2024-07-20 16:02:19,,,
2022-02,核电发电设备容量,5328.00,4.40,129,2022-02-28 00:00:00,1,0,2024-07-20 16:02:19,0,2024-07-20 16:02:19,,,
2022-02,火电发电设备容量,129681.00,3.10,130,2022-02-28 00:00:00,1,0,2024-07-20 16:02:19,0,2024-07-20 16:02:19,,,
2022-02,发电设备容量,239397.00,7.80,131,2022-02-28 00:00:00,1,0,2024-07-20 16:02:19,0,2024-07-20 16:02:19,,,
2022-02,风电发电设备容量,33442.00,17.50,132,2022-02-28 00:00:00,1,0,2024-07-20 16:02:19,0,2024-07-20 16:02:19,,,
2021-12,火电发电设备容量,129678.00,4.10,133,2021-12-31 00:00:00,1,0,2024-07-20 16:02:19,0,2024-07-20 16:02:19,,,
