时间,地区,旬度值(万吨),旬度环比(万吨),旬度同比(万吨),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2017-07-10,甘肃省,101.00,29.00,13.00,1762,2017-07-10 00:00:00,1,0,2024-07-20 13:16:40,0,2024-07-20 13:16:40,,,
2017-07-10,宁夏区,198.00,63.00,49.00,1763,2017-07-10 00:00:00,1,0,2024-07-20 13:16:40,0,2024-07-20 13:16:40,,,
2017-06-20,地区合计,3688.00,-182.00,173.00,1764,2017-06-20 00:00:00,1,0,2024-07-20 13:16:40,0,2024-07-20 13:16:40,,,
2017-06-20,河北省,293.00,44.00,37.00,1765,2017-06-20 00:00:00,1,0,2024-07-20 13:16:40,0,2024-07-20 13:16:40,,,
2017-06-20,山西省,1141.00,-145.00,1.00,1766,2017-06-20 00:00:00,1,0,2024-07-20 13:16:40,0,2024-07-20 13:16:40,,,
2017-06-20,黑龙江省,144.00,-3.00,5.00,1767,2017-06-20 00:00:00,1,0,2024-07-20 13:16:40,0,2024-07-20 13:16:40,,,
2017-06-20,江西省,14.00,0.00,-3.00,1768,2017-06-20 00:00:00,1,0,2024-07-20 13:16:40,0,2024-07-20 13:16:40,,,
2017-06-20,山东省,529.00,98.00,63.00,1769,2017-06-20 00:00:00,1,0,2024-07-20 13:16:40,0,2024-07-20 13:16:40,,,
2017-06-20,河南省,357.00,-156.00,-122.00,1770,2017-06-20 00:00:00,1,0,2024-07-20 13:16:40,0,2024-07-20 13:16:40,,,
2017-06-20,重庆市,45.00,2.00,4.00,1771,2017-06-20 00:00:00,1,0,2024-07-20 13:16:42,0,2024-07-20 13:16:42,,,
2017-06-20,陕西省,702.00,61.00,170.00,1772,2017-06-20 00:00:00,1,0,2024-07-20 13:16:42,0,2024-07-20 13:16:42,,,
2017-06-20,甘肃省,189.00,12.00,0.00,1773,2017-06-20 00:00:00,1,0,2024-07-20 13:16:42,0,2024-07-20 13:16:42,,,
2017-06-20,宁夏区,274.00,-95.00,17.00,1774,2017-06-20 00:00:00,1,0,2024-07-20 13:16:42,0,2024-07-20 13:16:42,,,
2017-06-10,地区合计,2054.00,74.00,353.00,1775,2017-06-10 00:00:00,1,0,2024-07-20 13:16:42,0,2024-07-20 13:16:42,,,
2017-06-10,河北省,135.00,69.00,-4.00,1776,2017-06-10 00:00:00,1,0,2024-07-20 13:16:42,0,2024-07-20 13:16:42,,,
2017-06-10,山西省,653.00,0.00,148.00,1777,2017-06-10 00:00:00,1,0,2024-07-20 13:16:42,0,2024-07-20 13:16:42,,,
2017-06-10,黑龙江省,69.00,-5.00,8.00,1778,2017-06-10 00:00:00,1,0,2024-07-20 13:16:42,0,2024-07-20 13:16:42,,,
2017-06-10,江西省,7.00,0.00,-1.00,1779,2017-06-10 00:00:00,1,0,2024-07-20 13:16:42,0,2024-07-20 13:16:42,,,
2017-06-10,山东省,281.00,70.00,27.00,1780,2017-06-10 00:00:00,1,0,2024-07-20 13:16:42,0,2024-07-20 13:16:42,,,
2017-06-10,河南省,221.00,-39.00,23.00,1781,2017-06-10 00:00:00,1,0,2024-07-20 13:16:42,0,2024-07-20 13:16:42,,,
2017-06-10,重庆市,20.00,-2.00,1.00,1782,2017-06-10 00:00:00,1,0,2024-07-20 13:16:42,0,2024-07-20 13:16:42,,,
2017-06-10,陕西省,351.00,51.00,145.00,1783,2017-06-10 00:00:00,1,0,2024-07-20 13:16:42,0,2024-07-20 13:16:42,,,
2017-06-10,甘肃省,72.00,-17.00,-19.00,1784,2017-06-10 00:00:00,1,0,2024-07-20 13:16:42,0,2024-07-20 13:16:42,,,
2017-06-10,宁夏区,135.00,-54.00,10.00,1785,2017-06-10 00:00:00,1,0,2024-07-20 13:16:42,0,2024-07-20 13:16:42,,,
2017-05-20,地区合计,3870.00,-510.00,387.00,1786,2017-05-20 00:00:00,1,0,2024-07-20 13:16:42,0,2024-07-20 13:16:42,,,
2017-05-20,河北省,249.00,-58.00,-24.00,1787,2017-05-20 00:00:00,1,0,2024-07-20 13:16:42,0,2024-07-20 13:16:42,,,
2017-05-20,山西省,1286.00,9.00,162.00,1788,2017-05-20 00:00:00,1,0,2024-07-20 13:16:42,0,2024-07-20 13:16:42,,,
2017-05-20,黑龙江省,147.00,-20.00,32.00,1789,2017-05-20 00:00:00,1,0,2024-07-20 13:16:42,0,2024-07-20 13:16:42,,,
2017-05-20,江西省,14.00,0.00,-4.00,1790,2017-05-20 00:00:00,1,0,2024-07-20 13:16:42,0,2024-07-20 13:16:42,,,
2017-05-20,山东省,431.00,-93.00,-68.00,1791,2017-05-20 00:00:00,1,0,2024-07-20 13:16:42,0,2024-07-20 13:16:42,,,
2017-05-20,河南省,513.00,-25.00,175.00,1792,2017-05-20 00:00:00,1,0,2024-07-20 13:16:42,0,2024-07-20 13:16:42,,,
2017-05-20,重庆市,43.00,3.00,6.00,1793,2017-05-20 00:00:00,1,0,2024-07-20 13:16:42,0,2024-07-20 13:16:42,,,
2017-05-20,陕西省,641.00,-123.00,111.00,1794,2017-05-20 00:00:00,1,0,2024-07-20 13:16:42,0,2024-07-20 13:16:42,,,
2017-05-20,甘肃省,177.00,-12.00,12.00,1795,2017-05-20 00:00:00,1,0,2024-07-20 13:16:42,0,2024-07-20 13:16:42,,,
2017-05-20,宁夏区,369.00,-22.00,124.00,1796,2017-05-20 00:00:00,1,0,2024-07-20 13:16:42,0,2024-07-20 13:16:42,,,
2017-05-10,地区合计,1980.00,-285.00,373.00,1797,2017-05-10 00:00:00,1,0,2024-07-20 13:16:42,0,2024-07-20 13:16:42,,,
2017-05-10,河北省,66.00,-8.00,-5.00,1798,2017-05-10 00:00:00,1,0,2024-07-20 13:16:42,0,2024-07-20 13:16:42,,,
2017-05-10,山西省,653.00,38.00,119.00,1799,2017-05-10 00:00:00,1,0,2024-07-20 13:16:42,0,2024-07-20 13:16:42,,,
2017-05-10,黑龙江省,74.00,-6.00,19.00,1800,2017-05-10 00:00:00,1,0,2024-07-20 13:16:42,0,2024-07-20 13:16:42,,,
2017-05-10,江西省,7.00,1.00,-3.00,1801,2017-05-10 00:00:00,1,0,2024-07-20 13:16:46,0,2024-07-20 13:16:46,,,
2017-05-10,山东省,211.00,-44.00,-16.00,1802,2017-05-10 00:00:00,1,0,2024-07-20 13:16:46,0,2024-07-20 13:16:46,,,
2017-05-10,河南省,260.00,-3.00,41.00,1803,2017-05-10 00:00:00,1,0,2024-07-20 13:16:46,0,2024-07-20 13:16:46,,,
2017-05-10,重庆市,22.00,3.00,6.00,1804,2017-05-10 00:00:00,1,0,2024-07-20 13:16:46,0,2024-07-20 13:16:46,,,
2017-05-10,陕西省,300.00,-28.00,300.00,1805,2017-05-10 00:00:00,1,0,2024-07-20 13:16:46,0,2024-07-20 13:16:46,,,
2017-05-10,甘肃省,89.00,-24.00,1.00,1806,2017-05-10 00:00:00,1,0,2024-07-20 13:16:46,0,2024-07-20 13:16:46,,,
2017-05-10,宁夏区,189.00,-23.00,70.00,1807,2017-05-10 00:00:00,1,0,2024-07-20 13:16:46,0,2024-07-20 13:16:46,,,
2017-04-20,地区合计,4380.00,172.00,828.00,1808,2017-04-20 00:00:00,1,0,2024-07-20 13:16:46,0,2024-07-20 13:16:46,,,
2017-04-20,河北省,406.00,226.00,239.00,1809,2017-04-20 00:00:00,1,0,2024-07-20 13:16:46,0,2024-07-20 13:16:46,,,
2017-04-20,山西省,1280.00,-13.00,135.00,1810,2017-04-20 00:00:00,1,0,2024-07-20 13:16:46,0,2024-07-20 13:16:46,,,
2017-04-20,黑龙江省,262.00,-28.00,156.00,1811,2017-04-20 00:00:00,1,0,2024-07-20 13:16:46,0,2024-07-20 13:16:46,,,
2017-04-20,江西省,14.00,3.00,-4.00,1812,2017-04-20 00:00:00,1,0,2024-07-20 13:16:46,0,2024-07-20 13:16:46,,,
2017-04-20,山东省,524.00,-8.00,-18.00,1813,2017-04-20 00:00:00,1,0,2024-07-20 13:16:46,0,2024-07-20 13:16:46,,,
2017-04-20,河南省,509.00,-15.00,38.00,1814,2017-04-20 00:00:00,1,0,2024-07-20 13:16:46,0,2024-07-20 13:16:46,,,
2017-04-20,重庆市,41.00,-9.00,-4.00,1815,2017-04-20 00:00:00,1,0,2024-07-20 13:16:46,0,2024-07-20 13:16:46,,,
2017-04-20,陕西省,764.00,61.00,113.00,1816,2017-04-20 00:00:00,1,0,2024-07-20 13:16:46,0,2024-07-20 13:16:46,,,
2017-04-20,甘肃省,189.00,-11.00,-8.00,1817,2017-04-20 00:00:00,1,0,2024-07-20 13:16:46,0,2024-07-20 13:16:46,,,
2017-04-20,宁夏区,391.00,-34.00,181.00,1818,2017-04-20 00:00:00,1,0,2024-07-20 13:16:46,0,2024-07-20 13:16:46,,,
2017-04-10,地区合计,2265.00,-84.00,302.00,1819,2017-04-10 00:00:00,1,0,2024-07-20 13:16:46,0,2024-07-20 13:16:46,,,
2017-04-10,河北省,241.00,68.00,88.00,1820,2017-04-10 00:00:00,1,0,2024-07-20 13:16:46,0,2024-07-20 13:16:46,,,
2017-04-10,山西省,614.00,-25.00,25.00,1821,2017-04-10 00:00:00,1,0,2024-07-20 13:16:46,0,2024-07-20 13:16:46,,,
2017-04-10,黑龙江省,80.00,-6.00,25.00,1822,2017-04-10 00:00:00,1,0,2024-07-20 13:16:46,0,2024-07-20 13:16:46,,,
2017-04-10,江西省,7.00,2.00,-3.00,1823,2017-04-10 00:00:00,1,0,2024-07-20 13:16:46,0,2024-07-20 13:16:46,,,
2017-04-10,山东省,255.00,-10.00,-7.00,1824,2017-04-10 00:00:00,1,0,2024-07-20 13:16:46,0,2024-07-20 13:16:46,,,
2017-04-10,河南省,263.00,-27.00,56.00,1825,2017-04-10 00:00:00,1,0,2024-07-20 13:16:46,0,2024-07-20 13:16:46,,,
2017-04-10,重庆市,20.00,-6.00,1.00,1826,2017-04-10 00:00:00,1,0,2024-07-20 13:16:46,0,2024-07-20 13:16:46,,,
2017-04-10,陕西省,354.00,-26.00,33.00,1827,2017-04-10 00:00:00,1,0,2024-07-20 13:16:46,0,2024-07-20 13:16:46,,,
2017-04-10,甘肃省,112.00,-3.00,17.00,1828,2017-04-10 00:00:00,1,0,2024-07-20 13:16:46,0,2024-07-20 13:16:46,,,
2017-04-10,宁夏区,211.00,-6.00,114.00,1829,2017-04-10 00:00:00,1,0,2024-07-20 13:16:46,0,2024-07-20 13:16:46,,,
2017-03-20,地区合计,4191.00,88.00,376.00,1830,2017-03-20 00:00:00,1,0,2024-07-20 13:16:46,0,2024-07-20 13:16:46,,,
2017-03-20,河北省,305.00,-23.00,8.00,1831,2017-03-20 00:00:00,1,0,2024-07-20 13:16:48,0,2024-07-20 13:16:48,,,
2017-03-20,山西省,1293.00,33.00,42.00,1832,2017-03-20 00:00:00,1,0,2024-07-20 13:16:48,0,2024-07-20 13:16:48,,,
2017-03-20,黑龙江省,148.00,-39.00,8.00,1833,2017-03-20 00:00:00,1,0,2024-07-20 13:16:48,0,2024-07-20 13:16:48,,,
2017-03-20,江西省,11.00,-2.00,-10.00,1834,2017-03-20 00:00:00,1,0,2024-07-20 13:16:48,0,2024-07-20 13:16:48,,,
2017-03-20,山东省,532.00,56.00,-35.00,1835,2017-03-20 00:00:00,1,0,2024-07-20 13:16:48,0,2024-07-20 13:16:48,,,
2017-03-20,河南省,524.00,-42.00,36.00,1836,2017-03-20 00:00:00,1,0,2024-07-20 13:16:48,0,2024-07-20 13:16:48,,,
2017-03-20,重庆市,50.00,10.00,5.00,1837,2017-03-20 00:00:00,1,0,2024-07-20 13:16:48,0,2024-07-20 13:16:48,,,
2017-03-20,陕西省,703.00,61.00,106.00,1838,2017-03-20 00:00:00,1,0,2024-07-20 13:16:48,0,2024-07-20 13:16:48,,,
2017-03-20,甘肃省,200.00,29.00,7.00,1839,2017-03-20 00:00:00,1,0,2024-07-20 13:16:48,0,2024-07-20 13:16:48,,,
2017-03-20,宁夏区,425.00,5.00,209.00,1840,2017-03-20 00:00:00,1,0,2024-07-20 13:16:48,0,2024-07-20 13:16:48,,,
2017-03-10,地区合计,2140.00,130.00,237.00,1841,2017-03-10 00:00:00,1,0,2024-07-20 13:16:48,0,2024-07-20 13:16:48,,,
2017-03-10,河北省,173.00,9.00,19.00,1842,2017-03-10 00:00:00,1,0,2024-07-20 13:16:48,0,2024-07-20 13:16:48,,,
2017-03-10,山西省,639.00,11.00,14.00,1843,2017-03-10 00:00:00,1,0,2024-07-20 13:16:48,0,2024-07-20 13:16:48,,,
2017-03-10,黑龙江省,85.00,-10.00,13.00,1844,2017-03-10 00:00:00,1,0,2024-07-20 13:16:48,0,2024-07-20 13:16:48,,,
2017-03-10,江西省,5.00,-1.00,-6.00,1845,2017-03-10 00:00:00,1,0,2024-07-20 13:16:48,0,2024-07-20 13:16:48,,,
2017-03-10,山东省,266.00,42.00,10.00,1846,2017-03-10 00:00:00,1,0,2024-07-20 13:16:48,0,2024-07-20 13:16:48,,,
2017-03-10,河南省,283.00,1.00,56.00,1847,2017-03-10 00:00:00,1,0,2024-07-20 13:16:48,0,2024-07-20 13:16:48,,,
2017-03-10,重庆市,25.00,4.00,4.00,1848,2017-03-10 00:00:00,1,0,2024-07-20 13:16:48,0,2024-07-20 13:16:48,,,
2017-03-10,陕西省,344.00,19.00,15.00,1849,2017-03-10 00:00:00,1,0,2024-07-20 13:16:48,0,2024-07-20 13:16:48,,,
2017-03-10,甘肃省,115.00,30.00,16.00,1850,2017-03-10 00:00:00,1,0,2024-07-20 13:16:48,0,2024-07-20 13:16:48,,,
2017-03-10,宁夏区,204.00,24.00,96.00,1851,2017-03-10 00:00:00,1,0,2024-07-20 13:16:48,0,2024-07-20 13:16:48,,,
2017-02-20,地区合计,4109.00,18.00,654.00,1852,2017-02-20 00:00:00,1,0,2024-07-20 13:16:48,0,2024-07-20 13:16:48,,,
2017-02-20,河北省,335.00,85.00,73.00,1853,2017-02-20 00:00:00,1,0,2024-07-20 13:16:48,0,2024-07-20 13:16:48,,,
2017-02-20,山西省,1260.00,9.00,-3.00,1854,2017-02-20 00:00:00,1,0,2024-07-20 13:16:48,0,2024-07-20 13:16:48,,,
2017-02-20,黑龙江省,187.00,27.00,62.00,1855,2017-02-20 00:00:00,1,0,2024-07-20 13:16:48,0,2024-07-20 13:16:48,,,
2017-02-20,江西省,13.00,-4.00,8.00,1856,2017-02-20 00:00:00,1,0,2024-07-20 13:16:48,0,2024-07-20 13:16:48,,,
2017-02-20,山东省,476.00,-18.00,66.00,1857,2017-02-20 00:00:00,1,0,2024-07-20 13:16:48,0,2024-07-20 13:16:48,,,
2017-02-20,河南省,566.00,-15.00,207.00,1858,2017-02-20 00:00:00,1,0,2024-07-20 13:16:48,0,2024-07-20 13:16:48,,,
2017-02-20,重庆市,40.00,-1.00,8.00,1859,2017-02-20 00:00:00,1,0,2024-07-20 13:16:48,0,2024-07-20 13:16:48,,,
2017-02-20,陕西省,642.00,2.00,-61.00,1860,2017-02-20 00:00:00,1,0,2024-07-20 13:16:48,0,2024-07-20 13:16:48,,,
