时间,煤炭产地,产品名称,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2022-04-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,2900.00,出厂价,55,2022-04-01 00:00:00,1,0,2024-07-17 09:15:00,0,2024-07-17 09:15:00,,,
2022-04-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,2410.00,出厂价,56,2022-04-01 00:00:00,1,0,2024-07-17 09:15:00,0,2024-07-17 09:15:00,,,
2022-03-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,2045.00,出厂价,57,2022-03-01 00:00:00,1,0,2024-07-17 09:15:00,0,2024-07-17 09:15:00,,,
2022-03-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,2400.00,出厂价,58,2022-03-01 00:00:00,1,0,2024-07-17 09:15:00,0,2024-07-17 09:15:00,,,
2022-02-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,2045.00,出厂价,59,2022-02-01 00:00:00,1,0,2024-07-17 09:15:00,0,2024-07-17 09:15:00,,,
2022-02-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,2400.00,出厂价,60,2022-02-01 00:00:00,1,0,2024-07-17 09:15:00,0,2024-07-17 09:15:00,,,
2022-01-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,2010.00,出厂价,61,2022-01-01 00:00:00,1,0,2024-07-17 09:15:04,0,2024-07-17 09:15:04,,,
2022-01-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,2300.00,出厂价,62,2022-01-01 00:00:00,1,0,2024-07-17 09:15:04,0,2024-07-17 09:15:04,,,
2021-12-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,1920.00,出厂价,63,2021-12-01 00:00:00,1,0,2024-07-17 09:15:04,0,2024-07-17 09:15:04,,,
2021-12-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,2300.00,出厂价,64,2021-12-01 00:00:00,1,0,2024-07-17 09:15:04,0,2024-07-17 09:15:04,,,
2021-11-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,2310.00,出厂价,65,2021-11-01 00:00:00,1,0,2024-07-17 09:15:04,0,2024-07-17 09:15:04,,,
