时间,煤种,当月数量(吨),累计数量(吨),当月金额(千美元),累计金额(千美元),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2022-03,煤炭,16422779.30,51813456.20,2315239.10,8175502.60,142,2022-03-31 00:00:00,1,0,2024-07-20 14:19:25,0,2024-07-20 14:19:25,,,
2022-03,褐煤,7605880.30,19802985.10,665993.90,1774228.10,143,2022-03-31 00:00:00,1,0,2024-07-20 14:19:25,0,2024-07-20 14:19:25,,,
2022-03,其他煤,2454530.40,7626903.70,288898.10,952481.40,144,2022-03-31 00:00:00,1,0,2024-07-20 14:19:25,0,2024-07-20 14:19:25,,,
2022-03,其他烟煤,1873402.50,10184605.10,287979.30,1664673.30,145,2022-03-31 00:00:00,1,0,2024-07-20 14:19:25,0,2024-07-20 14:19:25,,,
2022-02,煤炭,11229802.80,35390676.90,1723298.60,5860263.40,146,2022-02-28 00:00:00,1,0,2024-07-20 14:19:25,0,2024-07-20 14:19:25,,,
2022-02,无烟煤,528053.90,1212263.00,102411.80,241750.80,147,2022-02-28 00:00:00,1,0,2024-07-20 14:19:25,0,2024-07-20 14:19:25,,,
2022-02,其他烟煤,1567964.00,8311202.60,246093.80,1376694.00,148,2022-02-28 00:00:00,1,0,2024-07-20 14:19:25,0,2024-07-20 14:19:25,,,
2022-02,褐煤,4139321.30,12197104.90,327699.50,1108234.20,149,2022-02-28 00:00:00,1,0,2024-07-20 14:19:25,0,2024-07-20 14:19:25,,,
2022-02,炼焦煤,2986580.20,8497733.20,829309.00,2470001.10,150,2022-02-28 00:00:00,1,0,2024-07-20 14:19:25,0,2024-07-20 14:19:25,,,
2022-02,其他煤,2007883.50,5172373.30,217784.40,663583.20,151,2022-02-28 00:00:00,1,0,2024-07-20 14:19:29,0,2024-07-20 14:19:29,,,
2022-01,无烟煤,684209.10,684209.10,139339.00,139339.00,152,2022-01-31 00:00:00,1,0,2024-07-20 14:19:29,0,2024-07-20 14:19:29,,,
2022-01,其他烟煤,6743238.60,6743238.60,1130600.20,1130600.20,153,2022-01-31 00:00:00,1,0,2024-07-20 14:19:29,0,2024-07-20 14:19:29,,,
2022-01,其他煤,3164489.80,3164489.80,445798.80,445798.80,154,2022-01-31 00:00:00,1,0,2024-07-20 14:19:29,0,2024-07-20 14:19:29,,,
2022-01,褐煤,8057783.60,8057783.60,780534.70,780534.70,155,2022-01-31 00:00:00,1,0,2024-07-20 14:19:29,0,2024-07-20 14:19:29,,,
2022-01,煤炭,24160874.20,24160874.20,4136964.80,4136964.80,156,2022-01-31 00:00:00,1,0,2024-07-20 14:19:29,0,2024-07-20 14:19:29,,,
2022-01,炼焦煤,5511153.10,5511153.10,1640692.10,1640692.10,157,2022-01-31 00:00:00,1,0,2024-07-20 14:19:29,0,2024-07-20 14:19:29,,,
2021-12,褐煤,10745089.80,119032500.00,1289953.20,8952199.40,158,2021-12-31 00:00:00,1,0,2024-07-20 14:19:29,0,2024-07-20 14:19:29,,,
2021-12,其他煤,4401406.90,58253406.50,712709.00,5977938.40,159,2021-12-31 00:00:00,1,0,2024-07-20 14:19:29,0,2024-07-20 14:19:29,,,
2021-12,其他烟煤,7808305.50,82380782.20,1231859.10,8502448.00,160,2021-12-31 00:00:00,1,0,2024-07-20 14:19:29,0,2024-07-20 14:19:29,,,
