时间,地区,当月值(万吨),累计值(万吨),同比增长(%),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05,湖南省,0.00,0.00,0.00,0.00,63,2024-05-31 00:00:00,1,0,2024-07-21 02:16:34,0,2024-07-21 02:16:34,,,
2024-05,海南省,5.20,24.70,5.90,6.00,64,2024-05-31 00:00:00,1,0,2024-07-21 02:16:34,0,2024-07-21 02:16:34,,,
2024-04,全国,1746.70,7095.40,1.30,2.10,65,2024-04-30 00:00:00,1,0,2024-07-21 02:16:34,0,2024-07-21 02:16:34,,,
2024-04,河北省,38.90,157.20,-1.30,-2.50,66,2024-04-30 00:00:00,1,0,2024-07-21 02:16:34,0,2024-07-21 02:16:34,,,
2024-04,广东省,176.50,716.10,9.60,7.30,67,2024-04-30 00:00:00,1,0,2024-07-21 02:16:34,0,2024-07-21 02:16:34,,,
2024-04,四川省,2.00,8.10,31.10,51.30,68,2024-04-30 00:00:00,1,0,2024-07-21 02:16:34,0,2024-07-21 02:16:34,,,
2024-04,湖北省,4.40,17.80,0.30,0.80,69,2024-04-30 00:00:00,1,0,2024-07-21 02:16:34,0,2024-07-21 02:16:34,,,
2024-04,天津市,325.60,1299.60,3.90,5.40,70,2024-04-30 00:00:00,1,0,2024-07-21 02:16:34,0,2024-07-21 02:16:34,,,
2024-04,河南省,19.50,78.50,-0.10,0.90,71,2024-04-30 00:00:00,1,0,2024-07-21 02:16:34,0,2024-07-21 02:16:34,,,
2024-04,西藏区,,,,,72,2024-04-30 00:00:00,1,0,2024-07-21 02:16:34,0,2024-07-21 02:16:34,,,
2024-04,山东省,182.30,734.80,0.60,1.70,73,2024-04-30 00:00:00,1,0,2024-07-21 02:16:34,0,2024-07-21 02:16:34,,,
2024-04,北京市,,,,,74,2024-04-30 00:00:00,1,0,2024-07-21 02:16:34,0,2024-07-21 02:16:34,,,
2024-04,江西省,,,,,75,2024-04-30 00:00:00,1,0,2024-07-21 02:16:34,0,2024-07-21 02:16:34,,,
2024-04,海南省,4.90,19.50,2.50,6.00,76,2024-04-30 00:00:00,1,0,2024-07-21 02:16:34,0,2024-07-21 02:16:34,,,
2024-04,福建省,,,,,77,2024-04-30 00:00:00,1,0,2024-07-21 02:16:34,0,2024-07-21 02:16:34,,,
2024-04,新疆区,269.80,1107.80,-3.00,-0.70,78,2024-04-30 00:00:00,1,0,2024-07-21 02:16:34,0,2024-07-21 02:16:34,,,
2024-04,安徽省,,,,,79,2024-04-30 00:00:00,1,0,2024-07-21 02:16:34,0,2024-07-21 02:16:34,,,
2024-04,云南省,,,,,80,2024-04-30 00:00:00,1,0,2024-07-21 02:16:34,0,2024-07-21 02:16:34,,,
2024-04,浙江省,,,,,81,2024-04-30 00:00:00,1,0,2024-07-21 02:16:34,0,2024-07-21 02:16:34,,,
2024-04,宁夏区,10.20,41.50,-6.00,-1.50,82,2024-04-30 00:00:00,1,0,2024-07-21 02:16:34,0,2024-07-21 02:16:34,,,
2024-04,江苏省,14.00,55.60,6.50,6.60,83,2024-04-30 00:00:00,1,0,2024-07-21 02:16:34,0,2024-07-21 02:16:34,,,
2024-04,重庆市,0.20,0.90,-2.80,61.40,84,2024-04-30 00:00:00,1,0,2024-07-21 02:16:34,0,2024-07-21 02:16:34,,,
2024-04,上海市,5.80,22.10,30.60,22.70,85,2024-04-30 00:00:00,1,0,2024-07-21 02:16:34,0,2024-07-21 02:16:34,,,
2024-04,青海省,19.30,78.90,0.30,2.80,86,2024-04-30 00:00:00,1,0,2024-07-21 02:16:34,0,2024-07-21 02:16:34,,,
2024-04,黑龙江省,240.90,980.90,0.20,0.50,87,2024-04-30 00:00:00,1,0,2024-07-21 02:16:34,0,2024-07-21 02:16:34,,,
2024-04,贵州省,,,,,88,2024-04-30 00:00:00,1,0,2024-07-21 02:16:34,0,2024-07-21 02:16:34,,,
2024-04,吉林省,33.00,146.60,-7.50,0.70,89,2024-04-30 00:00:00,1,0,2024-07-21 02:16:34,0,2024-07-21 02:16:34,,,
2024-04,甘肃省,99.40,406.50,2.80,6.50,90,2024-04-30 00:00:00,1,0,2024-07-21 02:16:34,0,2024-07-21 02:16:34,,,
2024-04,辽宁省,80.20,326.00,-0.50,-2.20,91,2024-04-30 00:00:00,1,0,2024-07-21 02:16:38,0,2024-07-21 02:16:38,,,
2024-04,广西区,3.20,14.30,-50.20,-50.50,92,2024-04-30 00:00:00,1,0,2024-07-21 02:16:38,0,2024-07-21 02:16:38,,,
2024-04,内蒙古区,16.20,66.00,22.00,21.40,93,2024-04-30 00:00:00,1,0,2024-07-21 02:16:38,0,2024-07-21 02:16:38,,,
2024-04,陕西省,200.60,816.90,0.30,-0.60,94,2024-04-30 00:00:00,1,0,2024-07-21 02:16:38,0,2024-07-21 02:16:38,,,
2024-04,山西省,,,,,95,2024-04-30 00:00:00,1,0,2024-07-21 02:16:38,0,2024-07-21 02:16:38,,,
2024-04,湖南省,,,,,96,2024-04-30 00:00:00,1,0,2024-07-21 02:16:38,0,2024-07-21 02:16:38,,,
2024-03,全国,1837.10,5348.10,1.20,2.30,97,2024-03-31 00:00:00,1,0,2024-07-21 02:16:38,0,2024-07-21 02:16:38,,,
2024-03,广东省,182.40,539.60,5.00,6.60,98,2024-03-31 00:00:00,1,0,2024-07-21 02:16:38,0,2024-07-21 02:16:38,,,
2024-03,湖南省,,,,,99,2024-03-31 00:00:00,1,0,2024-07-21 02:16:38,0,2024-07-21 02:16:38,,,
2024-03,湖北省,4.60,13.40,-0.10,0.90,100,2024-03-31 00:00:00,1,0,2024-07-21 02:16:38,0,2024-07-21 02:16:38,,,
2024-03,河南省,20.10,59.00,-0.10,1.30,101,2024-03-31 00:00:00,1,0,2024-07-21 02:16:38,0,2024-07-21 02:16:38,,,
2024-03,山东省,188.40,552.50,0.80,2.10,102,2024-03-31 00:00:00,1,0,2024-07-21 02:16:38,0,2024-07-21 02:16:38,,,
2024-03,江西省,,,,,103,2024-03-31 00:00:00,1,0,2024-07-21 02:16:38,0,2024-07-21 02:16:38,,,
2024-03,福建省,,,,,104,2024-03-31 00:00:00,1,0,2024-07-21 02:16:38,0,2024-07-21 02:16:38,,,
2024-03,安徽省,,,,,105,2024-03-31 00:00:00,1,0,2024-07-21 02:16:38,0,2024-07-21 02:16:38,,,
2024-03,浙江省,,,,,106,2024-03-31 00:00:00,1,0,2024-07-21 02:16:38,0,2024-07-21 02:16:38,,,
2024-03,江苏省,14.40,41.60,6.60,6.60,107,2024-03-31 00:00:00,1,0,2024-07-21 02:16:38,0,2024-07-21 02:16:38,,,
2024-03,上海市,6.20,16.30,37.80,20.10,108,2024-03-31 00:00:00,1,0,2024-07-21 02:16:38,0,2024-07-21 02:16:38,,,
2024-03,黑龙江省,254.10,740.00,-2.90,0.50,109,2024-03-31 00:00:00,1,0,2024-07-21 02:16:38,0,2024-07-21 02:16:38,,,
2024-03,吉林省,38.30,113.60,4.80,3.40,110,2024-03-31 00:00:00,1,0,2024-07-21 02:16:38,0,2024-07-21 02:16:38,,,
2024-03,辽宁省,83.80,245.80,-3.80,-2.70,111,2024-03-31 00:00:00,1,0,2024-07-21 02:16:38,0,2024-07-21 02:16:38,,,
2024-03,内蒙古区,16.80,49.80,22.40,21.50,112,2024-03-31 00:00:00,1,0,2024-07-21 02:16:38,0,2024-07-21 02:16:38,,,
2024-03,河北省,39.70,118.30,-4.60,-2.90,113,2024-03-31 00:00:00,1,0,2024-07-21 02:16:38,0,2024-07-21 02:16:38,,,
2024-03,天津市,336.00,974.00,5.30,5.90,114,2024-03-31 00:00:00,1,0,2024-07-21 02:16:38,0,2024-07-21 02:16:38,,,
2024-03,北京市,,,,,115,2024-03-31 00:00:00,1,0,2024-07-21 02:16:38,0,2024-07-21 02:16:38,,,
2024-03,新疆区,283.90,838.00,-2.50,0.10,116,2024-03-31 00:00:00,1,0,2024-07-21 02:16:38,0,2024-07-21 02:16:38,,,
2024-03,宁夏区,10.60,31.30,0.50,0.10,117,2024-03-31 00:00:00,1,0,2024-07-21 02:16:38,0,2024-07-21 02:16:38,,,
2024-03,青海省,21.10,59.60,7.90,3.60,118,2024-03-31 00:00:00,1,0,2024-07-21 02:16:38,0,2024-07-21 02:16:38,,,
2024-03,甘肃省,106.20,307.00,6.00,7.80,119,2024-03-31 00:00:00,1,0,2024-07-21 02:16:38,0,2024-07-21 02:16:38,,,
2024-03,陕西省,220.00,616.30,1.30,-0.90,120,2024-03-31 00:00:00,1,0,2024-07-21 02:16:38,0,2024-07-21 02:16:38,,,
2024-03,西藏区,,,,,121,2024-03-31 00:00:00,1,0,2024-07-21 02:16:40,0,2024-07-21 02:16:40,,,
2024-03,云南省,,,,,122,2024-03-31 00:00:00,1,0,2024-07-21 02:16:40,0,2024-07-21 02:16:40,,,
2024-03,贵州省,,,,,123,2024-03-31 00:00:00,1,0,2024-07-21 02:16:40,0,2024-07-21 02:16:40,,,
2024-03,四川省,1.80,5.50,23.40,42.30,124,2024-03-31 00:00:00,1,0,2024-07-21 02:16:40,0,2024-07-21 02:16:40,,,
2024-03,重庆市,0.20,0.60,121.60,116.20,125,2024-03-31 00:00:00,1,0,2024-07-21 02:16:40,0,2024-07-21 02:16:40,,,
2024-03,海南省,5.10,14.60,4.20,7.30,126,2024-03-31 00:00:00,1,0,2024-07-21 02:16:40,0,2024-07-21 02:16:40,,,
2024-03,广西区,3.60,11.10,-48.50,-50.60,127,2024-03-31 00:00:00,1,0,2024-07-21 02:16:40,0,2024-07-21 02:16:40,,,
2024-03,山西省,,,,,128,2024-03-31 00:00:00,1,0,2024-07-21 02:16:40,0,2024-07-21 02:16:40,,,
2024-02,广西区,,7.50,,-51.50,129,2024-02-29 00:00:00,1,0,2024-07-21 02:16:40,0,2024-07-21 02:16:40,,,
2024-02,广东省,,357.20,,7.50,130,2024-02-29 00:00:00,1,0,2024-07-21 02:16:40,0,2024-07-21 02:16:40,,,
2024-02,重庆市,,0.40,,112.80,131,2024-02-29 00:00:00,1,0,2024-07-21 02:16:40,0,2024-07-21 02:16:40,,,
2024-02,四川省,,3.70,,53.40,132,2024-02-29 00:00:00,1,0,2024-07-21 02:16:40,0,2024-07-21 02:16:40,,,
2024-02,贵州省,,,,,133,2024-02-29 00:00:00,1,0,2024-07-21 02:16:40,0,2024-07-21 02:16:40,,,
2024-02,云南省,,,,,134,2024-02-29 00:00:00,1,0,2024-07-21 02:16:40,0,2024-07-21 02:16:40,,,
2024-02,西藏区,,,,,135,2024-02-29 00:00:00,1,0,2024-07-21 02:16:40,0,2024-07-21 02:16:40,,,
2024-02,陕西省,,396.30,,-2.00,136,2024-02-29 00:00:00,1,0,2024-07-21 02:16:40,0,2024-07-21 02:16:40,,,
2024-02,甘肃省,,200.90,,8.70,137,2024-02-29 00:00:00,1,0,2024-07-21 02:16:40,0,2024-07-21 02:16:40,,,
2024-02,青海省,,38.50,,1.40,138,2024-02-29 00:00:00,1,0,2024-07-21 02:16:40,0,2024-07-21 02:16:40,,,
2024-02,宁夏区,,20.70,,-0.10,139,2024-02-29 00:00:00,1,0,2024-07-21 02:16:40,0,2024-07-21 02:16:40,,,
2024-02,新疆区,,554.10,,1.50,140,2024-02-29 00:00:00,1,0,2024-07-21 02:16:40,0,2024-07-21 02:16:40,,,
2024-02,全国,,3510.90,,2.90,141,2024-02-29 00:00:00,1,0,2024-07-21 02:16:40,0,2024-07-21 02:16:40,,,
2024-02,北京市,,,,,142,2024-02-29 00:00:00,1,0,2024-07-21 02:16:40,0,2024-07-21 02:16:40,,,
2024-02,天津市,,638.10,,6.20,143,2024-02-29 00:00:00,1,0,2024-07-21 02:16:40,0,2024-07-21 02:16:40,,,
2024-02,河北省,,78.60,,-2.00,144,2024-02-29 00:00:00,1,0,2024-07-21 02:16:40,0,2024-07-21 02:16:40,,,
2024-02,山西省,,,,,145,2024-02-29 00:00:00,1,0,2024-07-21 02:16:40,0,2024-07-21 02:16:40,,,
2024-02,内蒙古区,,33.00,,21.00,146,2024-02-29 00:00:00,1,0,2024-07-21 02:16:40,0,2024-07-21 02:16:40,,,
2024-02,辽宁省,,162.00,,-2.20,147,2024-02-29 00:00:00,1,0,2024-07-21 02:16:40,0,2024-07-21 02:16:40,,,
2024-02,吉林省,,75.30,,2.70,148,2024-02-29 00:00:00,1,0,2024-07-21 02:16:40,0,2024-07-21 02:16:40,,,
