时间,报价点,产品名称,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05-22,黄骅港,神冶2号,,,,,,929.00,平仓价,120,2024-05-22 00:00:00,1,0,2024-07-17 09:04:27,0,2024-07-17 09:04:27,,,
2024-05-22,黄骅港,建优1号,,,,,,874.00,平仓价,121,2024-05-22 00:00:00,1,0,2024-07-17 09:04:30,0,2024-07-17 09:04:30,,,
2024-05-22,黄骅港,特低灰,,,,,,977.00,平仓价,122,2024-05-22 00:00:00,1,0,2024-07-17 09:04:30,0,2024-07-17 09:04:30,,,
2024-05-22,黄骅港,神块1号,,,,,,947.00,平仓价,123,2024-05-22 00:00:00,1,0,2024-07-17 09:04:30,0,2024-07-17 09:04:30,,,
2024-05-21,巴图塔,神优3号,,,,,,724.00,车板价,124,2024-05-21 00:00:00,1,0,2024-07-17 09:04:30,0,2024-07-17 09:04:30,,,
2024-05-21,巴图塔,神优3号,,,,,,724.00,车板价,125,2024-05-21 00:00:00,1,0,2024-07-17 09:04:30,0,2024-07-17 09:04:30,,,
2024-05-21,巴图塔,神优2号,,,,,,723.00,车板价,126,2024-05-21 00:00:00,1,0,2024-07-17 09:04:30,0,2024-07-17 09:04:30,,,
2024-05-21,巴图塔,神优2号,,,,,,723.00,车板价,127,2024-05-21 00:00:00,1,0,2024-07-17 09:04:30,0,2024-07-17 09:04:30,,,
2024-05-11,黄骅港,特低灰,,,,,,962.00,平仓价,128,2024-05-11 00:00:00,1,0,2024-07-17 09:04:30,0,2024-07-17 09:04:30,,,
2024-05-11,黄骅港,神块2号,,,,,,911.00,平仓价,129,2024-05-11 00:00:00,1,0,2024-07-17 09:04:30,0,2024-07-17 09:04:30,,,
2024-05-11,黄骅港,特低灰,,,,,,962.00,平仓价,130,2024-05-11 00:00:00,1,0,2024-07-17 09:04:30,0,2024-07-17 09:04:30,,,
2024-05-11,黄骅港,神优3号,,,,,,904.00,平仓价,131,2024-05-11 00:00:00,1,0,2024-07-17 09:04:30,0,2024-07-17 09:04:30,,,
2024-05-11,黄骅港,神优2号,,,,,,911.00,平仓价,132,2024-05-11 00:00:00,1,0,2024-07-17 09:04:30,0,2024-07-17 09:04:30,,,
2024-05-11,黄骅港,神优3号,,,,,,904.00,平仓价,133,2024-05-11 00:00:00,1,0,2024-07-17 09:04:30,0,2024-07-17 09:04:30,,,
2024-05-11,黄骅港,神块1号,,,,,,932.00,平仓价,134,2024-05-11 00:00:00,1,0,2024-07-17 09:04:30,0,2024-07-17 09:04:30,,,
2024-05-11,黄骅港,疆煤5号,,,,,,790.00,平仓价,135,2024-05-11 00:00:00,1,0,2024-07-17 09:04:30,0,2024-07-17 09:04:30,,,
2024-05-11,黄骅港,建优1号,,,,,,859.00,平仓价,136,2024-05-11 00:00:00,1,0,2024-07-17 09:04:30,0,2024-07-17 09:04:30,,,
2024-05-11,黄骅港,神优2号,,,,,,911.00,平仓价,137,2024-05-11 00:00:00,1,0,2024-07-17 09:04:30,0,2024-07-17 09:04:30,,,
2024-05-11,黄骅港,建优1号,,,,,,859.00,平仓价,138,2024-05-11 00:00:00,1,0,2024-07-17 09:04:30,0,2024-07-17 09:04:30,,,
2024-05-11,黄骅港,神优1号,,,,,,936.00,平仓价,139,2024-05-11 00:00:00,1,0,2024-07-17 09:04:30,0,2024-07-17 09:04:30,,,
2024-05-11,黄骅港,神冶2号,,,,,,914.00,平仓价,140,2024-05-11 00:00:00,1,0,2024-07-17 09:04:30,0,2024-07-17 09:04:30,,,
2024-05-11,黄骅港,神块3号,,,,,,922.00,平仓价,141,2024-05-11 00:00:00,1,0,2024-07-17 09:04:30,0,2024-07-17 09:04:30,,,
2024-05-11,黄骅港,神块3号,,,,,,922.00,平仓价,142,2024-05-11 00:00:00,1,0,2024-07-17 09:04:30,0,2024-07-17 09:04:30,,,
2024-05-11,黄骅港,疆煤5号,,,,,,790.00,平仓价,143,2024-05-11 00:00:00,1,0,2024-07-17 09:04:30,0,2024-07-17 09:04:30,,,
2024-05-11,黄骅港,神块2号,,,,,,911.00,平仓价,144,2024-05-11 00:00:00,1,0,2024-07-17 09:04:30,0,2024-07-17 09:04:30,,,
2024-05-11,黄骅港,神块1号,,,,,,932.00,平仓价,145,2024-05-11 00:00:00,1,0,2024-07-17 09:04:30,0,2024-07-17 09:04:30,,,
2024-05-11,黄骅港,神冶2号,,,,,,914.00,平仓价,146,2024-05-11 00:00:00,1,0,2024-07-17 09:04:30,0,2024-07-17 09:04:30,,,
2024-05-11,黄骅港,神优1号,,,,,,936.00,平仓价,147,2024-05-11 00:00:00,1,0,2024-07-17 09:04:30,0,2024-07-17 09:04:30,,,
2024-05-10,巴图塔,神优3号,,,,,,709.00,车板价,148,2024-05-10 00:00:00,1,0,2024-07-17 09:04:30,0,2024-07-17 09:04:30,,,
2024-05-10,巴图塔,神优3号,,,,,,709.00,车板价,149,2024-05-10 00:00:00,1,0,2024-07-17 09:04:30,0,2024-07-17 09:04:30,,,
2024-05-10,巴图塔,神优2号,,,,,,708.00,车板价,150,2024-05-10 00:00:00,1,0,2024-07-17 09:04:30,0,2024-07-17 09:04:30,,,
2024-05-10,巴图塔,神优3号,,,,,,709.00,车板价,151,2024-05-10 00:00:00,1,0,2024-07-17 09:04:32,0,2024-07-17 09:04:32,,,
2024-05-09,黄骅港,神冶2号,,,,,,1802.00,平仓价,152,2024-05-09 00:00:00,1,0,2024-07-17 09:04:32,0,2024-07-17 09:04:32,,,
2024-05-09,黄骅港,神块1号,,,,,,1858.00,平仓价,153,2024-05-09 00:00:00,1,0,2024-07-17 09:04:32,0,2024-07-17 09:04:32,,,
2024-05-09,黄骅港,神块1号,,,,,,1858.00,平仓价,154,2024-05-09 00:00:00,1,0,2024-07-17 09:04:32,0,2024-07-17 09:04:32,,,
2024-05-09,黄骅港,神冶2号,,,,,,1802.00,平仓价,155,2024-05-09 00:00:00,1,0,2024-07-17 09:04:32,0,2024-07-17 09:04:32,,,
2024-05-08,黄骅港,神优1号,,,,,,918.00,平仓价,156,2024-05-08 00:00:00,1,0,2024-07-17 09:04:32,0,2024-07-17 09:04:32,,,
2024-05-08,黄骅港,神优1号,,,,,,918.00,平仓价,157,2024-05-08 00:00:00,1,0,2024-07-17 09:04:32,0,2024-07-17 09:04:32,,,
2024-05-08,黄骅港,神块2号,,,,,,894.00,平仓价,158,2024-05-08 00:00:00,1,0,2024-07-17 09:04:32,0,2024-07-17 09:04:32,,,
2024-05-08,黄骅港,神块1号,,,,,,914.00,平仓价,159,2024-05-08 00:00:00,1,0,2024-07-17 09:04:32,0,2024-07-17 09:04:32,,,
2024-05-08,黄骅港,神优2号,,,,,,894.00,平仓价,160,2024-05-08 00:00:00,1,0,2024-07-17 09:04:32,0,2024-07-17 09:04:32,,,
2024-05-08,黄骅港,神块3号,,,,,,904.00,平仓价,161,2024-05-08 00:00:00,1,0,2024-07-17 09:04:32,0,2024-07-17 09:04:32,,,
2024-05-08,黄骅港,神优3号,,,,,,887.00,平仓价,162,2024-05-08 00:00:00,1,0,2024-07-17 09:04:32,0,2024-07-17 09:04:32,,,
2024-05-08,黄骅港,疆煤5号,,,,,,790.00,平仓价,163,2024-05-08 00:00:00,1,0,2024-07-17 09:04:32,0,2024-07-17 09:04:32,,,
