时间,项目名称,累计值(万平方米),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2018-07,房地产业土地成交价款,6618.89,21.90,100,2018-07-31 00:00:00,1,0,2024-07-21 04:35:58,0,2024-07-21 04:35:58,,,
2018-06,房地产业土地购置面积,11085.11,7.20,101,2018-06-30 00:00:00,1,0,2024-07-21 04:35:58,0,2024-07-21 04:35:58,,,
2018-06,房地产业土地成交价款,5265.31,20.30,102,2018-06-30 00:00:00,1,0,2024-07-21 04:35:58,0,2024-07-21 04:35:58,,,
2018-05,房地产业土地购置面积,7741.76,2.10,103,2018-05-31 00:00:00,1,0,2024-07-21 04:35:58,0,2024-07-21 04:35:58,,,
2018-05,房地产业土地成交价款,3521.95,16.00,104,2018-05-31 00:00:00,1,0,2024-07-21 04:35:58,0,2024-07-21 04:35:58,,,
2018-04,房地产业土地购置面积,5411.56,-2.10,105,2018-04-30 00:00:00,1,0,2024-07-21 04:35:58,0,2024-07-21 04:35:58,,,
2018-04,房地产业土地成交价款,2391.37,13.60,106,2018-04-30 00:00:00,1,0,2024-07-21 04:35:58,0,2024-07-21 04:35:58,,,
2018-03,房地产业土地购置面积,3802.07,0.50,107,2018-03-31 00:00:00,1,0,2024-07-21 04:35:58,0,2024-07-21 04:35:58,,,
2018-03,房地产业土地成交价款,1633.88,20.30,108,2018-03-31 00:00:00,1,0,2024-07-21 04:35:58,0,2024-07-21 04:35:58,,,
2018-02,房地产业土地成交价款,794.25,0.00,109,2018-02-28 00:00:00,1,0,2024-07-21 04:35:58,0,2024-07-21 04:35:58,,,
2018-02,房地产业土地购置面积,2344.56,-1.20,110,2018-02-28 00:00:00,1,0,2024-07-21 04:35:58,0,2024-07-21 04:35:58,,,
2017-12,房地产业土地购置面积,25508.29,15.80,111,2017-12-31 00:00:00,1,0,2024-07-21 04:35:58,0,2024-07-21 04:35:58,,,
2017-12,房地产业土地成交价款,13643.39,49.40,112,2017-12-31 00:00:00,1,0,2024-07-21 04:35:58,0,2024-07-21 04:35:58,,,
2017-11,房地产业土地成交价款,11435.74,47.00,113,2017-11-30 00:00:00,1,0,2024-07-21 04:35:58,0,2024-07-21 04:35:58,,,
2017-11,房地产业土地购置面积,22158.24,16.30,114,2017-11-30 00:00:00,1,0,2024-07-21 04:35:58,0,2024-07-21 04:35:58,,,
2017-10,房地产业土地成交价款,9694.77,43.30,115,2017-10-31 00:00:00,1,0,2024-07-21 04:35:58,0,2024-07-21 04:35:58,,,
