时间,港口,月末库存(万吨),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2018-08,黄骅港,244.00,152,2018-08-31 00:00:00,1,0,2024-07-20 11:28:57,0,2024-07-20 11:28:57,,,
2018-08,全国主要港口,4691.00,153,2018-08-31 00:00:00,1,0,2024-07-20 11:28:57,0,2024-07-20 11:28:57,,,
2018-08,北方七港,2904.00,154,2018-08-31 00:00:00,1,0,2024-07-20 11:28:57,0,2024-07-20 11:28:57,,,
2018-07,港口外贸,1101.00,155,2018-07-31 00:00:00,1,0,2024-07-20 11:28:57,0,2024-07-20 11:28:57,,,
2018-07,秦皇岛港,693.00,156,2018-07-31 00:00:00,1,0,2024-07-20 11:28:57,0,2024-07-20 11:28:57,,,
2018-07,全国主要港口,4813.00,157,2018-07-31 00:00:00,1,0,2024-07-20 11:28:57,0,2024-07-20 11:28:57,,,
2018-07,北方七港,3065.00,158,2018-07-31 00:00:00,1,0,2024-07-20 11:28:57,0,2024-07-20 11:28:57,,,
2018-07,天津港,342.00,159,2018-07-31 00:00:00,1,0,2024-07-20 11:28:57,0,2024-07-20 11:28:57,,,
2018-07,黄骅港,207.00,160,2018-07-31 00:00:00,1,0,2024-07-20 11:28:57,0,2024-07-20 11:28:57,,,
2018-06,黄骅港,139.00,161,2018-06-30 00:00:00,1,0,2024-07-20 11:28:57,0,2024-07-20 11:28:57,,,
2018-06,港口外贸,991.20,162,2018-06-30 00:00:00,1,0,2024-07-20 11:28:57,0,2024-07-20 11:28:57,,,
2018-06,全国主要港口,4316.50,163,2018-06-30 00:00:00,1,0,2024-07-20 11:28:57,0,2024-07-20 11:28:57,,,
2018-06,北方七港,2711.20,164,2018-06-30 00:00:00,1,0,2024-07-20 11:28:57,0,2024-07-20 11:28:57,,,
2018-06,秦皇岛港,704.00,165,2018-06-30 00:00:00,1,0,2024-07-20 11:28:57,0,2024-07-20 11:28:57,,,
2018-06,天津港,309.50,166,2018-06-30 00:00:00,1,0,2024-07-20 11:28:57,0,2024-07-20 11:28:57,,,
2018-05,黄骅港,128.60,167,2018-05-31 00:00:00,1,0,2024-07-20 11:28:57,0,2024-07-20 11:28:57,,,
2018-05,秦皇岛港,522.50,168,2018-05-31 00:00:00,1,0,2024-07-20 11:28:57,0,2024-07-20 11:28:57,,,
2018-05,全国主要港口,3942.00,169,2018-05-31 00:00:00,1,0,2024-07-20 11:28:57,0,2024-07-20 11:28:57,,,
2018-05,港口外贸,1056.40,170,2018-05-31 00:00:00,1,0,2024-07-20 11:28:57,0,2024-07-20 11:28:57,,,
2018-05,天津港,220.00,171,2018-05-31 00:00:00,1,0,2024-07-20 11:28:57,0,2024-07-20 11:28:57,,,
2018-05,北方七港,2478.00,172,2018-05-31 00:00:00,1,0,2024-07-20 11:28:57,0,2024-07-20 11:28:57,,,
2018-04,港口外贸,731.00,173,2018-04-30 00:00:00,1,0,2024-07-20 11:28:57,0,2024-07-20 11:28:57,,,
2018-04,全国主要港口,3657.00,174,2018-04-30 00:00:00,1,0,2024-07-20 11:28:57,0,2024-07-20 11:28:57,,,
2018-04,黄骅港,207.00,175,2018-04-30 00:00:00,1,0,2024-07-20 11:28:57,0,2024-07-20 11:28:57,,,
2018-04,天津港,201.00,176,2018-04-30 00:00:00,1,0,2024-07-20 11:28:57,0,2024-07-20 11:28:57,,,
2018-04,北方七港,2374.00,177,2018-04-30 00:00:00,1,0,2024-07-20 11:28:57,0,2024-07-20 11:28:57,,,
2018-04,秦皇岛港,493.00,178,2018-04-30 00:00:00,1,0,2024-07-20 11:28:57,0,2024-07-20 11:28:57,,,
2018-03,黄骅港,207.70,179,2018-03-31 00:00:00,1,0,2024-07-20 11:28:57,0,2024-07-20 11:28:57,,,
2018-03,天津港,181.00,180,2018-03-31 00:00:00,1,0,2024-07-20 11:28:57,0,2024-07-20 11:28:57,,,
2018-03,天津港,181.00,181,2018-03-31 00:00:00,1,0,2024-07-20 11:29:00,0,2024-07-20 11:29:00,,,
2018-03,北方七港,2168.00,182,2018-03-31 00:00:00,1,0,2024-07-20 11:29:00,0,2024-07-20 11:29:00,,,
2018-03,秦皇岛港,648.00,183,2018-03-31 00:00:00,1,0,2024-07-20 11:29:00,0,2024-07-20 11:29:00,,,
2018-03,港口外贸,781.40,184,2018-03-31 00:00:00,1,0,2024-07-20 11:29:00,0,2024-07-20 11:29:00,,,
