时间,交易品种,成交量(吨),成交额（元）,收盘价(元/吨),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2023-10-23,BEA,15133.00,1754871.00,115.96,67,2023-10-23 00:00:00,1,0,2024-07-21 05:07:52,0,2024-07-21 05:07:52,,,
2023-10-20,BEA,10951.00,1313001.00,119.90,68,2023-10-20 00:00:00,1,0,2024-07-21 05:07:52,0,2024-07-21 05:07:52,,,
2023-10-18,BEA,11159.00,1388300.00,124.41,69,2023-10-18 00:00:00,1,0,2024-07-21 05:07:52,0,2024-07-21 05:07:52,,,
2023-10-17,BEA,4745.00,575907.00,121.37,70,2023-10-17 00:00:00,1,0,2024-07-21 05:07:52,0,2024-07-21 05:07:52,,,
2023-10-16,BEA,18182.00,2153485.00,118.44,71,2023-10-16 00:00:00,1,0,2024-07-21 05:07:52,0,2024-07-21 05:07:52,,,
2023-10-13,BEA,24154.00,2871537.60,118.88,72,2023-10-13 00:00:00,1,0,2024-07-21 05:07:52,0,2024-07-21 05:07:52,,,
2023-10-12,BEA,28547.00,2971165.40,104.08,73,2023-10-12 00:00:00,1,0,2024-07-21 05:07:52,0,2024-07-21 05:07:52,,,
2023-10-11,BEA,5248.00,633470.50,120.71,74,2023-10-11 00:00:00,1,0,2024-07-21 05:07:52,0,2024-07-21 05:07:52,,,
2023-10-10,BEA,14436.00,1519818.80,105.28,75,2023-10-10 00:00:00,1,0,2024-07-21 05:07:52,0,2024-07-21 05:07:52,,,
2023-10-09,BEA,47435.00,5544855.00,116.89,76,2023-10-09 00:00:00,1,0,2024-07-21 05:07:52,0,2024-07-21 05:07:52,,,
2023-09-28,BEA,28670.00,3527172.00,123.03,77,2023-09-28 00:00:00,1,0,2024-07-21 05:07:52,0,2024-07-21 05:07:52,,,
2023-09-27,BEA,5991.00,756375.00,126.25,78,2023-09-27 00:00:00,1,0,2024-07-21 05:07:52,0,2024-07-21 05:07:52,,,
2023-09-26,BEA,29709.00,3497415.00,117.72,79,2023-09-26 00:00:00,1,0,2024-07-21 05:07:52,0,2024-07-21 05:07:52,,,
2023-09-25,BEA,21084.00,2559082.00,121.38,80,2023-09-25 00:00:00,1,0,2024-07-21 05:07:52,0,2024-07-21 05:07:52,,,
