window,col,group,short,latest,prev,delta,pct,z,corr,down_pressure
1,输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费_天津-上海(2-3万DWT)_本期(元/吨),运费,沿海煤炭运费_天津-上海(2-3万DWT),42.3,42.3,0.0,0.0,0.0,0.17361852747073722,-0.0
1,输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费_天津-镇江(1-1.5万DWT)_本期(元/吨),运费,沿海煤炭运费_天津-镇江(1-1.5万DWT),62.8,62.8,0.0,0.0,0.0,0.15823561599494915,-0.0
1,输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费_天津-镇江(2-3万DWT)_本期(元/吨),运费,沿海煤炭运费_天津-镇江(2-3万DWT),44.4,44.4,0.0,0.0,0.0,0.17325354476297392,-0.0
1,输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费_曹妃甸-宁波(4-5万DWT)_本期(元/吨),运费,沿海煤炭运费_曹妃甸-宁波(4-5万DWT),41.5,41.5,0.0,0.0,0.0,0.16163642562123362,-0.0
1,输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费_秦皇岛-上海(4-5万DWT)_本期(元/吨),运费,沿海煤炭运费_秦皇岛-上海(4-5万DWT),39.7,39.7,0.0,0.0,0.0,0.15988636864470843,-0.0
1,输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费_秦皇岛-南京(3-4万DWT)_本期(元/吨),运费,沿海煤炭运费_秦皇岛-南京(3-4万DWT),45.7,45.7,0.0,0.0,0.0,0.1677098822485333,-0.0
1,输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费_秦皇岛-厦门(5-6万DWT)_本期(元/吨),运费,沿海煤炭运费_秦皇岛-厦门(5-6万DWT),52.9,52.9,0.0,0.0,0.0,0.16517459817135496,-0.0
1,输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费_秦皇岛-宁波(1.5-2万DWT)_本期(元/吨),运费,沿海煤炭运费_秦皇岛-宁波(1.5-2万DWT),51.9,51.9,0.0,0.0,0.0,0.17069931959719328,-0.0
1,输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费_秦皇岛-广州(5-6万DWT)_本期(元/吨),运费,沿海煤炭运费_秦皇岛-广州(5-6万DWT),60.4,60.4,0.0,0.0,0.0,0.16031430435794497,-0.0
1,输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费_秦皇岛-广州(6-7万DWT)_本期(元/吨),运费,沿海煤炭运费_秦皇岛-广州(6-7万DWT),58.1,58.1,0.0,0.0,0.0,0.15180798796250775,-0.0
1,输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费_秦皇岛-张家港(2-3万DWT)_本期(元/吨),运费,沿海煤炭运费_秦皇岛-张家港(2-3万DWT),43.6,43.6,0.0,0.0,0.0,0.17790330876753266,-0.0
1,输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费_秦皇岛-张家港(4-5万DWT)_本期(元/吨),运费,沿海煤炭运费_秦皇岛-张家港(4-5万DWT),41.3,41.3,0.0,0.0,0.0,0.15762051221506848,-0.0
1,输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费_秦皇岛-福州(3-4万DWT)_本期(元/吨),运费,沿海煤炭运费_秦皇岛-福州(3-4万DWT),49.4,49.4,0.0,0.0,0.0,0.17277923220907931,-0.0
1,输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费_黄骅-上海(3-4万DWT)_本期(元/吨),运费,沿海煤炭运费_黄骅-上海(3-4万DWT),40.1,40.1,0.0,0.0,0.0,0.16187108529716476,-0.0
1,00000259_动力煤_价格(元/吨)--原产地_南非,国际/进口相关,00000259_动力煤--原产地_南非,870.0,870.0,0.0,0.0,0.0,0.5478857864901773,-0.0
1,00000259_动力煤_价格(元/吨)--原产地_广西区,国内/其它价格,00000259_动力煤--原产地_广西区,765.0,765.0,0.0,0.0,0.0,0.5005421738965465,-0.0
1,00000259_动力煤_价格(元/吨)--原产地_澳大利亚,国际/进口相关,00000259_动力煤--原产地_澳大利亚,860.0,860.0,0.0,0.0,0.0,0.7010613014816719,-0.0
1,00000268_动力煤2#_价格(元/吨)--发热量_4500,国内/其它价格,00000268_动力煤2#--发热量_4500,360.0,360.0,0.0,0.0,0.0,0.033954428817765565,-0.0
1,00000268_动力煤2#_价格(元/吨)--发热量_5000,国内/其它价格,00000268_动力煤2#--发热量_5000,455.0,455.0,0.0,0.0,0.0,0.0431896207148004,-0.0
1,00000275_1/3焦煤_价格(元/吨)--到岸港口_京唐,国内/其它价格,00000275_1/3焦煤--到岸港口_京唐,1170.0,1170.0,0.0,0.0,0.0,0.06554370093638323,-0.0
1,00000275_1/3焦煤_价格(元/吨)--到岸港口_大连,国内/其它价格,00000275_1/3焦煤--到岸港口_大连,1160.0,1160.0,0.0,0.0,0.0,0.04928933913870228,-0.0
1,00000275_主焦煤_价格(元/吨)--到岸港口_京唐,国内/其它价格,00000275_主焦煤--到岸港口_京唐,1320.0,1320.0,0.0,0.0,0.0,0.06123581626329094,-0.0
1,00000275_主焦煤_价格(元/吨)--到岸港口_天津,国内/其它价格,00000275_主焦煤--到岸港口_天津,1300.0,1300.0,0.0,0.0,0.0,0.05508040061646205,-0.0
1,CCI4500,国内CCI目标,CCI4500,664.0,668.0,-4.0,-0.5988023952095809,-0.28106632865565295,0.6172461175754086,0.17348710014387558
1,CCI5000,国内CCI目标,CCI5000,764.0,768.0,-4.0,-0.5208333333333333,-0.25276622593769504,0.6392553644057383,0.16158216587126442
1,CCI5500,国内CCI目标,CCI5500,856.0,860.0,-4.0,-0.46511627906976744,-0.24021752455023115,0.6550639285402801,0.1573578353360956
1,CCI进口3800,进口CCI目标,CCI进口3800,574.14,578.0,-3.8600000000000136,-0.6678200692041546,-0.4295403727229144,0.9361879385905243,0.4021305160808707
1,CCI进口4700,进口CCI目标,CCI进口4700,735.98,739.83,-3.8500000000000227,-0.5203898192828113,-0.3600964520755134,0.9334322780629166,0.33612565158322033
