source,table,file,rows,latest,earliest,columns
500plus,输入00000383-A-金融期货及能源类指数_能源化工指数_中国原油综合进口到岸价格指数,输入00000383--金融期货及能源类指数_能源化工指数_中国原油综合进口到岸价格指数.csv,59,2026-03-29,2025-01-05,"时间,数据项目,本期值(点),环比增减(点),环比增幅(%)"
500plus,输入00000382-A-金融期货及能源类指数_能源化工指数_中国LNG综合进口到岸价格指数,输入00000382--金融期货及能源类指数_能源化工指数_中国LNG综合进口到岸价格指数.csv,58,2026-03-29,2025-01-05,"时间,数据项目,本期值(点),环比增减(点),环比增幅(%)"
500plus,输入00000438-A-煤炭行业_煤炭进口_煤炭进口(月)_分省份进口量_煤炭,输入00000438--煤炭行业_煤炭进口_煤炭进口(月)_分省份进口量_煤炭.csv,322,2026-02-01,2025-02-01,"时间,省份,当月数量(吨),数量环比(%),累计数量(吨),当月金额(千美元),累计金额(千美元)"
500plus,输入00000406-A-煤炭行业_煤炭库存_煤炭库存(月)_国有重点煤矿库存,输入00000406--煤炭行业_煤炭库存_煤炭库存(月)_国有重点煤矿库存.csv,312,2026-02-01,2025-02-01,"时间,地区,当月值(万吨),同比变化(万吨)"
500plus,输入00000440-A-煤炭行业_煤炭进口_煤炭进口(月)_分省份进口量_炼焦煤,输入00000440--煤炭行业_煤炭进口_煤炭进口(月)_分省份进口量_炼焦煤.csv,273,2026-02-01,2025-02-01,"时间,省份,当月数量(吨),数量环比(%),累计数量(吨),当月金额(千美元),累计金额(千美元)"
500plus,输入00000442-A-煤炭行业_煤炭进口_煤炭进口(月)_分省份进口量_褐煤,输入00000442--煤炭行业_煤炭进口_煤炭进口(月)_分省份进口量_褐煤.csv,263,2026-02-01,2025-02-01,"时间,省份,当月数量(吨),数量环比(%),累计数量(吨),当月金额(千美元),累计金额(千美元)"
500plus,输入00000424-A-煤炭行业_煤炭进口_煤炭进口(月)_分国别(地区)进口量_煤炭,输入00000424--煤炭行业_煤炭进口_煤炭进口(月)_分国别(地区)进口量_煤炭.csv,191,2026-02-01,2025-02-01,"时间,国别(地区),当月数量(吨),累计数量(吨),当月金额(千美元),累计金额(千美元)"
500plus,输入00000439-A-煤炭行业_煤炭进口_煤炭进口(月)_分省份进口量_无烟煤,输入00000439--煤炭行业_煤炭进口_煤炭进口(月)_分省份进口量_无烟煤.csv,185,2026-02-01,2025-02-01,"时间,省份,当月数量(吨),数量环比(%),累计数量(吨),当月金额(千美元),累计金额(千美元)"
500plus,输入00000427-A-煤炭行业_煤炭进口_煤炭进口(月)_分国别(地区)进口量_其他烟煤,输入00000427--煤炭行业_煤炭进口_煤炭进口(月)_分国别(地区)进口量_其他烟煤.csv,107,2026-02-01,2025-02-01,"时间,国别(地区),当月数量(吨),数量环比(%),累计数量(吨),当月金额(千美元),累计金额(千美元)"
500plus,输入00000426-A-煤炭行业_煤炭进口_煤炭进口(月)_分国别(地区)进口量_炼焦煤,输入00000426--煤炭行业_煤炭进口_煤炭进口(月)_分国别(地区)进口量_炼焦煤.csv,85,2026-02-01,2025-02-01,"时间,国别(地区),当月数量(吨),数量环比(%),累计数量(吨),当月金额(千美元),累计金额(千美元)"
500plus,输入00000423-A-煤炭行业_煤炭进口_煤炭进口(月)_分煤种进口量,输入00000423--煤炭行业_煤炭进口_煤炭进口(月)_分煤种进口量.csv,79,2026-02-01,2025-02-01,"时间,煤种,当月数量(吨),累计数量(吨),当月金额(千美元),累计金额(千美元)"
500plus,输入00000428-A-煤炭行业_煤炭进口_煤炭进口(月)_分国别(地区)进口量_褐煤,输入00000428--煤炭行业_煤炭进口_煤炭进口(月)_分国别(地区)进口量_褐煤.csv,74,2026-02-01,2025-02-01,"时间,国别(地区),当月数量(吨),数量环比(%),累计数量(吨),当月金额(千美元),累计金额(千美元)"
500plus,输入00000484-A-电力行业_电力建设(月)_电厂发电设备容量,输入00000484--电力行业_电力建设(月)_电厂发电设备容量.csv,60,2026-02-01,2025-02-01,"时间,项目名称,累计值(万千瓦),累计增长(%)"
500plus,输入00000429-A-煤炭行业_煤炭进口_煤炭进口(月)_分国别(地区)进口量_其他煤,输入00000429--煤炭行业_煤炭进口_煤炭进口(月)_分国别(地区)进口量_其他煤.csv,56,2026-02-01,2025-02-01,"时间,国别(地区),当月数量(吨),数量环比(%),累计数量(吨),当月金额(千美元),累计金额(千美元)"
500plus,输入00000410-A-煤炭行业_煤炭消费_煤炭消费(月)_四大行业商品煤消费量,输入00000410--煤炭行业_煤炭消费_煤炭消费(月)_四大行业商品煤消费量.csv,52,2026-02-01,2025-02-01,"时间,所属行业,当月值(亿吨),同比增长(%),累计值(亿吨),累计增长(%)"
500plus,输入00000425-A-煤炭行业_煤炭进口_煤炭进口(月)_分国别(地区)进口量_无烟煤,输入00000425--煤炭行业_煤炭进口_煤炭进口(月)_分国别(地区)进口量_无烟煤.csv,52,2026-02-01,2025-02-01,"时间,国别(地区),当月数量(吨),数量环比(%),累计数量(吨),当月金额(千美元),累计金额(千美元)"
500plus,输入00000422-A-煤炭行业_煤炭进口_煤炭进口(月)_煤炭进口快报数,输入00000422--煤炭行业_煤炭进口_煤炭进口(月)_煤炭进口快报数.csv,26,2026-02-01,2025-02-01,"时间,项目名称,当期值,累计值,累计增长(%)"
