window,from_date,to_date,category,feature,name,prev,latest,delta,pct,z,corr_import_mean,down_pressure
1,2026-06-24,2026-06-25,国际/进口价格指数,输入00000308--煤炭价格_国际煤价_国际港口_印度东海岸--动力煤2#--本期价格(美元/吨),国际港口_印度东海岸--动力煤2#,88.35,88.35,0.0,0.0,0.0,0.4482238271802891,-0.0
1,2026-06-24,2026-06-25,国际/进口价格指数,输入00000308--煤炭价格_国际煤价_国际港口_印度东海岸--动力煤3#--本期价格(美元/吨),国际港口_印度东海岸--动力煤3#,72.85,72.85,0.0,0.0,0.0,0.5541930341604285,-0.0
1,2026-06-24,2026-06-25,国际/进口价格指数,输入00000309--煤炭价格_国际煤价_国际港口_印度西海岸--动力煤1#--本期价格(美元/吨),国际港口_印度西海岸--动力煤1#,104.6,104.6,0.0,0.0,0.0,0.40032341665213583,-0.0
1,2026-06-24,2026-06-25,国际/进口价格指数,输入00000309--煤炭价格_国际煤价_国际港口_印度西海岸--动力煤3#--本期价格(美元/吨),国际港口_印度西海岸--动力煤3#,74.1,74.1,0.0,0.0,0.0,0.5529528609949856,-0.0
1,2026-06-24,2026-06-25,国内指数,输入00000004-易煤北方港指数_处理后_Q5000S0.8,输入00000004-易煤北方港指数_处理后_Q5000S0.8,732.0,732.0,0.0,0.0,0.0,0.08675206831445728,-0.0
1,2026-06-24,2026-06-25,国内指数,输入00000004-易煤北方港指数_处理后_Q5500S0.8,输入00000004-易煤北方港指数_处理后_Q5500S0.8,827.0,827.0,0.0,0.0,0.0,0.040812866960256114,-0.0
1,2026-06-24,2026-06-25,国内指数,输入00000005-易煤长江口指数_处理后_Q5000S0.8,输入00000005-易煤长江口指数_处理后_Q5000S0.8,766.0,766.0,0.0,0.0,0.0,0.27099840637951983,-0.0
1,2026-06-24,2026-06-25,国内指数,输入00000005-易煤长江口指数_处理后_Q5500S0.8,输入00000005-易煤长江口指数_处理后_Q5500S0.8,856.0,856.0,0.0,0.0,0.0,0.6276006665454753,-0.0
1,2026-06-24,2026-06-25,国际/进口价格指数,输入00000010-API指数_处理后_API4(6000NAR),API API4(6000NAR),118.27,118.27,0.0,0.0,0.0,0.1794425133481005,-0.0
1,2026-06-24,2026-06-25,国际/进口价格指数,输入00000010-API指数_处理后_API5(5500NAR),API API5(5500NAR),104.12,104.12,0.0,0.0,0.0,0.27982001465032397,-0.0
1,2026-06-24,2026-06-25,国际/进口价格指数,输入00000010-API指数_处理后_API8(5800GAR),API API8(5800GAR),120.13,120.13,0.0,0.0,0.0,0.3426842942847697,-0.0
1,2026-06-24,2026-06-25,国际/进口价格指数,输入00000011-ICI指数_处理后_ICI1,ICI ICI1,129.46,129.46,0.0,0.0,0.0,0.3367737786264684,-0.0
1,2026-06-24,2026-06-25,国际/进口价格指数,输入00000011-ICI指数_处理后_ICI2,ICI ICI2,108.3,108.3,0.0,0.0,0.0,0.3716116227952759,-0.0
1,2026-06-24,2026-06-25,国际/进口价格指数,输入00000011-ICI指数_处理后_ICI3,ICI ICI3,86.81,86.81,0.0,0.0,0.0,0.3866250291176416,-0.0
1,2026-06-24,2026-06-25,国际/进口价格指数,输入00000011-ICI指数_处理后_ICI4,ICI ICI4,67.79,67.79,0.0,0.0,0.0,0.38023314753497217,-0.0
1,2026-06-24,2026-06-25,国内指数,输入00000019-CCI指数_处理后_内蒙古鄂尔多斯5500,CCI 内蒙古鄂尔多斯5500,626.0,622.0,-4.0,-0.6389776357827476,-0.3542001444425735,0.5231364088754215,0.18529499158684345
1,2026-06-24,2026-06-25,国内指数,输入00000019-CCI指数_处理后_山西大同5500,CCI 山西大同5500,720.0,718.0,-2.0,-0.2777777777777778,-0.1722559733341392,0.5417146125598933,0.09331357785583053
1,2026-06-24,2026-06-25,国内指数,输入00000019-CCI指数_处理后_陕西榆林5800,CCI 陕西榆林5800,709.0,705.0,-4.0,-0.5641748942172073,-0.3356864035740359,0.4548671747447897,0.152692725993961
1,2026-06-24,2026-06-25,国内其它煤价,输入00000268-CCTD-煤炭价格_鄂尔多斯市_伊金霍洛旗_动力煤1#_价格(元/吨),输入00000268-CCTD-煤炭价格_鄂尔多斯市_伊金霍洛旗_动力煤1#,550.0,550.0,0.0,0.0,0.0,0.06436038414524387,-0.0
1,2026-06-24,2026-06-25,国内其它煤价,输入00000269-CCTD-煤炭价格_榆林市_神木县_动力煤_价格(元/吨),输入00000269-CCTD-煤炭价格_榆林市_神木县_动力煤,605.0,605.0,0.0,0.0,0.0,0.36061707820383276,-0.0
