period_id,邵武_厂级_上网电量,邵武_厂级_供电煤耗,邵武_厂级_利用小时,邵武_厂级_发电厂用电率,邵武_厂级_发电标煤量,邵武_厂级_发电用厂用电量,邵武_厂级_发电耗煤量,邵武_厂级_开机率,邵武_厂级_综合厂用电率,邵武_厂级_综合厂用电量,邵武_厂级_耗煤量,邵武_厂级_负荷率,邵武_邵武#3_上网电量,邵武_邵武#3_利用小时,邵武_邵武#3_发电厂用电率,邵武_邵武#3_发电标煤量,邵武_邵武#3_发电用厂用电量,邵武_邵武#3_开机率,邵武_邵武#3_综合厂用电率,邵武_邵武#3_综合厂用电量,邵武_邵武#3_负荷率,邵武_邵武#3_运行小时,邵武_邵武#4_上网电量,邵武_邵武#4_利用小时,邵武_邵武#4_发电厂用电率,邵武_邵武#4_发电标煤量,邵武_邵武#4_发电用厂用电量,邵武_邵武#4_开机率,邵武_邵武#4_综合厂用电率,邵武_邵武#4_综合厂用电量,邵武_邵武#4_负荷率,邵武_邵武#4_运行小时,发电量3,发电量4,总发电量
20240330,2363.295,281.440616,18.765152,4.326201,6669.692291,107.16,8497,100,4.59023,113.7,8497,78.188131,1180.6299,18.727273,4.268608,3331.147263,52.76,100,4.479782,55.3701,78.030303,24,1182.665,18.80303,4.383562,3338.545029,54.4,100,4.700645,58.335,78.34596,24,1236,1241,2477
20240331,2052.14,282.450045,16.295455,4.366341,5810.223388,93.92,8270,100,4.596002,98.86,8270,67.897727,1027.06,16.30303,4.30855,2907.60686,46.36,100,4.548327,48.94,67.929293,24,1025.08,16.287879,4.424186,2902.616528,47.56,100,4.643721,49.92,67.866162,24,1076,1075,2151
20240401,2203.81,281.423636,17.484848,4.261698,6218.449241,98.36,5780,100,4.514298,104.19,5780,72.853535,1084.64,17.181818,4.176367,3061.830256,47.36,100,4.352734,49.36,71.590909,24,1119.17,17.787879,4.344123,3156.618985,51,100,4.670358,54.83,74.116162,24,1134,1174,2308
20240402,1020.327,278.103819,8.272727,4.761905,2892.279721,52,4381,51.208333,6.563187,71.67,4381,67.312671,8.337155,0.136364,0,24.502898,0,2.416667,7.364946,0.662845,23.510972,0.58,1011.989845,16.409091,4.801477,2867.776823,52,100,6.556801,71.010155,68.371212,24,9,1083,1092
20240403,736.428,285.988503,6.022727,5.605031,2146.17212,44.56,2856,50,7.367296,58.57,2856,50.189394,0,0,0,0,0,0,0,0,0,0,736.428,12.045455,5.605031,2146.17212,44.56,100,7.367547,58.572,50.189394,24,0,795,795
20240404,714.75,284.863136,5.840909,5.405966,2077.563825,41.68,3681,50,7.29572,56.25,3681,48.674242,0,0,0,0,0,0,0,0,0,0,714.75,11.681818,5.405966,2077.563825,41.68,100,7.29572,56.25,48.674242,24,0,771,771
20240405,780.09,281.878187,6.310606,5.258103,2224.582653,43.8,3249,50,6.351741,52.91,3249,52.588384,0,0,0,0,0,0,0,0,0,0,780.09,12.621212,5.258103,2224.582653,43.8,100,6.351741,52.91,52.588384,24,0,833,833
20240406,888.95,282.753015,7.151515,5.09322,2533.240815,48.08,4395,50,5.831568,55.05,4395,59.59596,0,0,0,0,0,0,0,0,0,0,888.95,14.30303,5.09322,2533.240815,48.08,100,5.831568,55.05,59.59596,24,0,944,944
20240407,695.9,289.109739,5.643939,5.702013,2031.05374,42.48,3724,50,6.590604,49.1,3724,47.032828,0,0,0,0,0,0,0,0,0,0,695.9,11.287879,5.702013,2031.05374,42.48,100,6.590604,49.1,47.032828,24,0,745,745
20240408,901.329,282.634222,7.25,4.982236,2570.049511,47.68,3319,50,5.817137,55.67,3319,60.416667,0,0,0,0,0,0,0,0,0,0,901.329,14.5,4.982236,2570.049511,47.68,100,5.817241,55.671,60.416667,24,0,957,957
